time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4841D6,B737,TRA6834,50.87769,4.58488,24950,364,311,-2048
20.0,4841D6,B737,TRA6834,50.90306,4.54132,24175,359,312,-2048
40.0,4841D6,B737,TRA6834,50.91316,4.52399,23850,358,313,-2112
60.0,4841D6,B737,TRA6834,50.94677,4.47632,22925,362,320,-2112
80.0,4841D6,B737,TRA6834,50.97157,4.44427,22250,360,321,-2112
100.0,4841D6,B737,TRA6834,51.01087,4.41406,20675,404,348,-4096
120.0,4841D6,B737,TRA6834,51.02586,4.41132,20250,417,359,-2240
140.0,4841D6,B737,TRA6834,51.06963,4.42059,19500,416,10,-2048
160.0,4841D6,B737,TRA6834,51.10514,4.43138,18775,410,10,-2368
180.0,4841D6,B737,TRA6834,51.14818,4.44375,18000,404,10,-1024
200.0,4841D6,B737,TRA6834,51.174,4.45095,17575,398,9,-2048
220.0,4841D6,B737,TRA6834,51.2411,4.4698,16275,388,9,-2240
240.0,4841D6,B737,TRA6834,51.24577,4.47077,16175,388,9,-2048
260.0,4841D6,B737,TRA6834,51.28185,4.48112,15400,386,9,-3008
280.0,4841D6,B737,TRA6834,51.31732,4.49127,14425,390,10,-2688
300.0,4841D6,B737,TRA6834,51.36062,4.50371,13450,387,10,-2368
320.0,4841D6,B737,TRA6834,51.38725,4.51172,12975,380,10,-1728
340.0,4841D6,B737,TRA6834,51.42272,4.52164,12300,374,10,-1856
360.0,4841D6,B737,TRA6834,51.46147,4.53283,11625,364,10,-1856
380.0,4841D6,B737,TRA6834,51.48985,4.54071,11025,361,9,-2368
400.0,4841D6,B737,TRA6834,51.52094,4.5496,10175,363,10,-2688
420.0,4841D6,B737,TRA6834,51.55483,4.55994,9325,358,10,-3136
440.0,4841D6,B737,TRA6834,51.58649,4.56846,8675,345,9,-1536
460.0,4841D6,B737,TRA6834,51.6181,4.57748,8175,328,9,-1280
480.0,4841D6,B737,TRA6834,51.64618,4.5856,7775,315,10,-1216
500.0,4841D6,B737,TRA6834,51.68207,4.59659,7225,299,10,-1280
520.0,4841D6,B737,TRA6834,51.70259,4.60297,6850,291,10,-1280
540.0,4841D6,B737,TRA6834,51.72739,4.6101,6450,280,9,-1600
560.0,4841D6,B737,TRA6834,51.75324,4.61754,5875,278,9,-1856
580.0,4841D6,B737,TRA6834,51.77806,4.62435,5250,277,10,-2048
