time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,485871,E190,KLM84X,50.90392,4.53802,24950,419,327,-1856
20.0,485871,E190,KLM84X,50.94156,4.50043,24250,418,327,-1856
40.0,485871,E190,KLM84X,50.9686,4.47314,23725,415,327,-1856
60.0,485871,E190,KLM84X,51.00366,4.43993,23075,412,331,-1856
80.0,485871,E190,KLM84X,51.03658,4.41613,22500,413,339,-1856
100.0,485871,E190,KLM84X,51.07344,4.39949,21875,420,348,-1856
120.0,485871,E190,KLM84X,51.11092,4.38763,21275,416,348,-1920
140.0,485871,E190,KLM84X,51.15157,4.37501,20600,412,348,-1856
160.0,485871,E190,KLM84X,51.18755,4.36372,20000,411,348,-1856
180.0,485871,E190,KLM84X,51.2233,4.35259,19425,410,348,-1792
200.0,485871,E190,KLM84X,51.26047,4.34094,18825,408,348,-1856
220.0,485871,E190,KLM84X,51.29919,4.32869,18200,407,348,-1856
240.0,485871,E190,KLM84X,51.33716,4.31671,17575,406,348,-1792
260.0,485871,E190,KLM84X,51.37472,4.30489,16950,402,348,-1792
280.0,485871,E190,KLM84X,51.40745,4.29451,16425,399,348,-1792
300.0,485871,E190,KLM84X,51.44441,4.28276,15800,395,348,-1792
320.0,485871,E190,KLM84X,51.47863,4.27193,15250,392,348,-1792
340.0,485871,E190,KLM84X,51.51517,4.26032,14650,392,348,-1728
360.0,485871,E190,KLM84X,51.55302,4.24822,14050,393,348,-1792
380.0,485871,E190,KLM84X,51.58658,4.23752,13475,384,348,-1728
400.0,485871,E190,KLM84X,51.61977,4.22699,12950,373,348,-1664
420.0,485871,E190,KLM84X,51.65469,4.21578,12375,366,348,-1600
440.0,485871,E190,KLM84X,51.68651,4.20554,11850,363,348,-1600
460.0,485871,E190,KLM84X,51.71992,4.19477,11325,360,348,-1600
480.0,485871,E190,KLM84X,51.75183,4.1846,10800,356,348,-1600
500.0,485871,E190,KLM84X,51.7841,4.17414,10275,353,348,-1536
520.0,485871,E190,KLM84X,51.81592,4.16389,9750,350,348,-1600
540.0,485871,E190,KLM84X,51.84727,4.15387,9225,349,348,-1536
560.0,485871,E190,KLM84X,51.87886,4.14363,8725,343,348,-1600
580.0,485871,E190,KLM84X,51.90994,4.14307,8200,334,12,-1472
600.0,485871,E190,KLM84X,51.93654,4.16618,7800,324,38,-1216
620.0,485871,E190,KLM84X,51.95865,4.19762,7400,312,42,-1152
640.0,485871,E190,KLM84X,51.98332,4.22012,7050,293,14,-1088
660.0,485871,E190,KLM84X,52.00868,4.22935,6700,283,11,-1024
680.0,485871,E190,KLM84X,52.03413,4.23805,6375,280,11,-1024
700.0,485871,E190,KLM84X,52.05936,4.24683,6025,278,12,-1024
720.0,485871,E190,KLM84X,52.08423,4.25595,5700,277,12,-1024
740.0,485871,E190,KLM84X,52.10944,4.26529,5375,277,12,-1024
760.0,485871,E190,KLM84X,52.13448,4.27422,5050,277,12,-1024
