time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,48455A,B738,KLM86N,50.86093,3.30199,24350,347,30,-896
20.0,48455A,B738,KLM86N,50.88327,3.32247,24125,342,30,-896
40.0,48455A,B738,KLM86N,50.90957,3.34663,23850,342,30,-768
60.0,48455A,B738,KLM86N,50.95291,3.38745,23475,339,30,-704
80.0,48455A,B738,KLM86N,50.96104,3.39633,23400,339,30,-704
100.0,48455A,B738,KLM86N,50.98883,3.42172,23175,337,30,-704
120.0,48455A,B738,KLM86N,51.01859,3.44956,22900,335,30,-704
140.0,48455A,B738,KLM86N,51.03848,3.4684,22725,334,30,-704
160.0,48455A,B738,KLM86N,51.08801,3.51593,22300,329,30,-704
180.0,48455A,B738,KLM86N,51.10393,3.53081,22150,330,30,-704
200.0,48455A,B738,KLM86N,51.12021,3.54703,22000,329,30,-704
220.0,48455A,B738,KLM86N,51.14764,3.57323,21750,329,30,-704
240.0,48455A,B738,KLM86N,51.1847,3.60832,21425,332,30,-640
260.0,48455A,B738,KLM86N,51.20508,3.62712,21250,332,30,-640
280.0,48455A,B738,KLM86N,51.23776,3.65399,20950,324,22,-768
300.0,48455A,B738,KLM86N,51.25717,3.66513,20750,312,16,-832
320.0,48455A,B738,KLM86N,51.27814,3.67456,20525,303,14,-832
340.0,48455A,B738,KLM86N,51.3123,3.68851,20225,289,14,-640
360.0,48455A,B738,KLM86N,51.34103,3.70046,20000,281,14,-576
380.0,48455A,B738,KLM86N,51.36746,3.71109,19775,275,14,-640
400.0,48455A,B738,KLM86N,51.38278,3.71761,19600,274,14,-896
420.0,48455A,B738,KLM86N,51.40572,3.72659,19300,272,14,-1088
440.0,48455A,B738,KLM86N,51.43063,3.73711,18950,269,14,-960
460.0,48455A,B738,KLM86N,51.45332,3.74649,18625,267,14,-1024
480.0,48455A,B738,KLM86N,51.47933,3.75679,18275,265,14,-960
500.0,48455A,B738,KLM86N,51.50204,3.76656,17950,264,14,-1024
520.0,48455A,B738,KLM86N,51.52501,3.77581,17625,263,14,-960
540.0,48455A,B738,KLM86N,51.54939,3.78609,17275,262,14,-1024
560.0,48455A,B738,KLM86N,51.57207,3.79526,16950,260,14,-960
580.0,48455A,B738,KLM86N,51.59477,3.80498,16650,259,14,-960
600.0,48455A,B738,KLM86N,51.61816,3.81463,16300,258,14,-960
620.0,48455A,B738,KLM86N,51.64077,3.82378,16000,258,14,-896
640.0,48455A,B738,KLM86N,51.66422,3.83386,15700,258,14,-896
660.0,48455A,B738,KLM86N,51.68732,3.843,15400,259,14,-896
680.0,48455A,B738,KLM86N,51.71049,3.85331,15125,257,16,-896
700.0,48455A,B738,KLM86N,51.73196,3.87179,14825,268,36,-896
720.0,48455A,B738,KLM86N,51.75049,3.89732,14525,271,41,-896
740.0,48455A,B738,KLM86N,51.76982,3.92546,14200,269,41,-1024
760.0,48455A,B738,KLM86N,51.7876,3.95065,13875,267,41,-1024
780.0,48455A,B738,KLM86N,51.80617,3.97705,13525,264,41,-960
800.0,48455A,B738,KLM86N,51.82466,4.00481,13200,266,41,-1024
820.0,48455A,B738,KLM86N,51.84352,4.03154,12875,267,41,-1024
840.0,48455A,B738,KLM86N,51.8616,4.05833,12525,269,41,-960
860.0,48455A,B738,KLM86N,51.88005,4.08528,12200,268,41,-960
880.0,48455A,B738,KLM86N,51.89834,4.11061,11875,264,41,-960
900.0,48455A,B738,KLM86N,51.91631,4.13714,11550,264,42,-960
920.0,48455A,B738,KLM86N,51.92935,4.17025,11250,275,77,-1024
940.0,48455A,B738,KLM86N,51.92413,4.21027,10900,279,121,-960
960.0,48455A,B738,KLM86N,51.90509,4.23882,10550,267,152,-960
980.0,48455A,B738,KLM86N,51.88228,4.24721,10250,253,184,-896
1000.0,48455A,B738,KLM86N,51.86282,4.2334,9925,228,225,-896
1020.0,48455A,B738,KLM86N,51.85583,4.2019,9600,218,270,-896
1040.0,48455A,B738,KLM86N,51.86427,4.17458,9300,221,316,-704
1060.0,48455A,B738,KLM86N,51.88396,4.16306,9050,240,0,-768
1080.0,48455A,B738,KLM86N,51.90505,4.17661,8775,260,36,-896
1100.0,48455A,B738,KLM86N,51.92418,4.20197,8500,260,38,-768
1120.0,48455A,B738,KLM86N,51.94299,4.22592,8225,258,37,-832
1140.0,48455A,B738,KLM86N,51.95733,4.25555,7975,271,66,-896
1160.0,48455A,B738,KLM86N,51.96678,4.29354,7700,272,68,-768
1180.0,48455A,B738,KLM86N,51.97595,4.3316,7425,272,68,-768
1200.0,48455A,B738,KLM86N,51.98707,4.37664,7100,268,68,-832
1220.0,48455A,B738,KLM86N,51.99463,4.40819,6900,266,68,-768
1240.0,48455A,B738,KLM86N,52.00378,4.44534,6625,265,68,-704
1260.0,48455A,B738,KLM86N,52.01285,4.48235,6350,265,68,-832
1280.0,48455A,B738,KLM86N,52.02164,4.51935,6100,261,69,-832
1300.0,48455A,B738,KLM86N,52.03001,4.55605,5875,261,69,-576
1320.0,48455A,B738,KLM86N,52.03812,4.59282,5675,259,69,-576
1340.0,48455A,B738,KLM86N,52.04649,4.62959,5475,261,69,-640
1360.0,48455A,B738,KLM86N,52.05515,4.66637,5275,260,69,-640
1380.0,48455A,B738,KLM86N,52.06477,4.70858,5025,260,69,-576
