time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,AB1979,A333,DAL160,53.02621,2.59105,24975,365,120,-1152
20.0,AB1979,A333,DAL160,53.02221,2.60227,24900,359,120,-960
40.0,AB1979,A333,DAL160,53.00647,2.64656,24575,341,120,-832
60.0,AB1979,A333,DAL160,52.99032,2.69236,24225,333,120,-1280
80.0,AB1979,A333,DAL160,52.97449,2.73669,23800,329,120,-1408
100.0,AB1979,A333,DAL160,52.95946,2.77893,23275,327,120,-1856
120.0,AB1979,A333,DAL160,52.94403,2.82219,22625,329,120,-1856
140.0,AB1979,A333,DAL160,52.92842,2.86583,22050,329,120,-1536
160.0,AB1979,A333,DAL160,52.91286,2.90942,21550,327,120,-1536
180.0,AB1979,A333,DAL160,52.89782,2.95132,21025,326,120,-1792
200.0,AB1979,A333,DAL160,52.88205,2.99507,20425,328,120,-1600
220.0,AB1979,A333,DAL160,52.867,3.03693,19975,325,120,-1280
240.0,AB1979,A333,DAL160,52.8502,3.08355,19525,320,120,-1280
260.0,AB1979,A333,DAL160,52.83664,3.12103,19100,317,120,-1472
280.0,AB1979,A333,DAL160,52.82149,3.16299,18625,315,120,-1344
300.0,AB1979,A333,DAL160,52.80629,3.20496,18150,313,120,-1344
320.0,AB1979,A333,DAL160,52.79045,3.24409,17750,307,130,-1024
340.0,AB1979,A333,DAL160,52.76957,3.27652,17425,298,138,-1152
360.0,AB1979,A333,DAL160,52.74969,3.30539,16975,296,138,-1408
380.0,AB1979,A333,DAL160,52.72842,3.33631,16525,293,138,-1408
400.0,AB1979,A333,DAL160,52.70872,3.36503,16100,290,138,-1216
420.0,AB1979,A333,DAL160,52.6895,3.39313,15675,286,138,-1344
440.0,AB1979,A333,DAL160,52.66929,3.42263,15200,286,138,-1600
460.0,AB1979,A333,DAL160,52.64988,3.45151,14750,283,137,-1216
480.0,AB1979,A333,DAL160,52.63094,3.47992,14325,281,137,-1536
500.0,AB1979,A333,DAL160,52.61444,3.51341,13800,286,118,-1536
520.0,AB1979,A333,DAL160,52.60428,3.55354,13325,288,109,-1152
540.0,AB1979,A333,DAL160,52.59621,3.5959,13000,286,106,-1024
560.0,AB1979,A333,DAL160,52.58858,3.63708,12675,285,107,-960
580.0,AB1979,A333,DAL160,52.58075,3.67851,12350,286,107,-960
600.0,AB1979,A333,DAL160,52.57292,3.71971,11925,288,107,-1536
620.0,AB1979,A333,DAL160,52.56488,3.76211,11425,289,107,-1472
640.0,AB1979,A333,DAL160,52.55681,3.80424,10925,289,107,-1472
660.0,AB1979,A333,DAL160,52.54882,3.84608,10450,289,107,-1152
680.0,AB1979,A333,DAL160,52.54088,3.88763,10150,286,107,-1088
700.0,AB1979,A333,DAL160,52.53318,3.92785,9850,279,107,-960
720.0,AB1979,A333,DAL160,52.52531,3.96828,9400,278,109,-1472
740.0,AB1979,A333,DAL160,52.51595,4.00734,9000,274,112,-1152
760.0,AB1979,A333,DAL160,52.5065,4.04587,8550,273,111,-1408
780.0,AB1979,A333,DAL160,52.49702,4.08455,8100,272,111,-1216
800.0,AB1979,A333,DAL160,52.48779,4.12262,7700,270,111,-1088
820.0,AB1979,A333,DAL160,52.47815,4.16209,7300,266,111,-1408
840.0,AB1979,A333,DAL160,52.46947,4.19754,6900,265,111,-1024
860.0,AB1979,A333,DAL160,52.46125,4.23452,6500,265,102,-1600
880.0,AB1979,A333,DAL160,52.46434,4.27536,5875,285,66,-1728
900.0,AB1979,A333,DAL160,52.4794,4.31099,5550,282,52,-1088
920.0,AB1979,A333,DAL160,52.49519,4.34486,5325,274,52,-448
940.0,AB1979,A333,DAL160,52.50985,4.3768,5200,263,53,-384
960.0,AB1979,A333,DAL160,52.5241,4.40819,5050,252,53,-640
