time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,39CEA2,B738,TRA64V,51.59296,3.75526,24950,334,25,-1728
20.0,39CEA2,B738,TRA64V,51.61784,3.77388,24450,331,24,-1728
40.0,39CEA2,B738,TRA64V,51.646,3.79511,23875,329,25,-1728
60.0,39CEA2,B738,TRA64V,51.67323,3.81582,23325,326,25,-1664
80.0,39CEA2,B738,TRA64V,51.70033,3.83638,22775,323,25,-1728
100.0,39CEA2,B738,TRA64V,51.72698,3.85658,22200,320,25,-1664
120.0,39CEA2,B738,TRA64V,51.75339,3.87661,21650,317,25,-1664
140.0,39CEA2,B738,TRA64V,51.78029,3.89702,21100,314,25,-1664
160.0,39CEA2,B738,TRA64V,51.80594,3.91647,20575,309,25,-1536
180.0,39CEA2,B738,TRA64V,51.83163,3.93608,20050,306,25,-1600
200.0,39CEA2,B738,TRA64V,51.85687,3.95523,19525,303,25,-1536
220.0,39CEA2,B738,TRA64V,51.88257,3.9749,19000,301,25,-1600
240.0,39CEA2,B738,TRA64V,51.9077,3.99422,18475,299,25,-1600
260.0,39CEA2,B738,TRA64V,51.93256,4.01338,17950,296,25,-1536
280.0,39CEA2,B738,TRA64V,51.95682,4.03206,17425,293,25,-1536
300.0,39CEA2,B738,TRA64V,51.9808,4.05045,16925,289,25,-1536
320.0,39CEA2,B738,TRA64V,52.00495,4.06887,16400,287,25,-1536
340.0,39CEA2,B738,TRA64V,52.02902,4.08731,15900,283,25,-1472
360.0,39CEA2,B738,TRA64V,52.05276,4.10567,15375,280,25,-1536
380.0,39CEA2,B738,TRA64V,52.07613,4.12348,14875,278,24,-1472
400.0,39CEA2,B738,TRA64V,52.09946,4.14101,14400,276,24,-1472
420.0,39CEA2,B738,TRA64V,52.12245,4.15848,13925,276,24,-1408
440.0,39CEA2,B738,TRA64V,52.14555,4.17618,13425,277,25,-1472
460.0,39CEA2,B738,TRA64V,52.16844,4.19364,12950,277,25,-1472
480.0,39CEA2,B738,TRA64V,52.19181,4.21137,12450,275,24,-1472
500.0,39CEA2,B738,TRA64V,52.21481,4.22882,11950,275,25,-1472
520.0,39CEA2,B738,TRA64V,52.23866,4.24721,11450,274,25,-1472
540.0,39CEA2,B738,TRA64V,52.26057,4.26395,10975,272,24,-1472
560.0,39CEA2,B738,TRA64V,52.28338,4.28137,10475,271,25,-1472
580.0,39CEA2,B738,TRA64V,52.30623,4.29893,10075,267,25,-512
600.0,39CEA2,B738,TRA64V,52.32765,4.31564,9775,260,25,-1408
620.0,39CEA2,B738,TRA64V,52.34939,4.33238,9350,258,24,-1152
640.0,39CEA2,B738,TRA64V,52.37099,4.34878,8925,257,25,-1280
660.0,39CEA2,B738,TRA64V,52.39275,4.36539,8500,256,25,-1280
680.0,39CEA2,B738,TRA64V,52.41465,4.38237,8075,256,25,-1280
700.0,39CEA2,B738,TRA64V,52.43532,4.39796,7675,255,25,-1280
720.0,39CEA2,B738,TRA64V,52.45683,4.41483,7250,255,25,-1216
740.0,39CEA2,B738,TRA64V,52.47803,4.43115,6825,254,25,-1280
760.0,39CEA2,B738,TRA64V,52.49954,4.44794,6400,253,25,-1280
780.0,39CEA2,B738,TRA64V,52.52051,4.46422,6025,251,25,-640
800.0,39CEA2,B738,TRA64V,52.541,4.48022,5850,242,25,-576
820.0,39CEA2,B738,TRA64V,52.56075,4.49547,5650,233,25,-512
840.0,39CEA2,B738,TRA64V,52.57805,4.51538,5500,235,48,-576
860.0,39CEA2,B738,TRA64V,52.58401,4.54826,5150,234,89,-1280
