time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,48405E,B744,KLM644,52.79918,2.45654,24950,383,106,-1664
20.0,48405E,B744,KLM644,52.78908,2.51488,24375,380,106,-1536
40.0,48405E,B744,KLM644,52.78711,2.52594,24275,379,105,-1536
60.0,48405E,B744,KLM644,52.77725,2.58289,23725,376,106,-1664
80.0,48405E,B744,KLM644,52.76799,2.63586,23175,373,106,-1664
100.0,48405E,B744,KLM644,52.75891,2.68768,22700,370,106,-1536
120.0,48405E,B744,KLM644,52.74983,2.73921,22175,366,106,-1600
140.0,48405E,B744,KLM644,52.74065,2.79106,21650,364,106,-1600
160.0,48405E,B744,KLM644,52.72618,2.87253,20875,357,107,-1024
200.0,48405E,B744,KLM644,52.68938,2.95158,20250,317,138,-1088
220.0,48405E,B744,KLM644,52.67647,2.9705,20000,315,138,-1280
240.0,48405E,B744,KLM644,52.65797,2.99805,19650,311,137,-1216
260.0,48405E,B744,KLM644,52.63614,3.03055,19200,307,137,-1280
280.0,48405E,B744,KLM644,52.61562,3.06103,18800,304,137,-1280
300.0,48405E,B744,KLM644,52.59444,3.0921,18350,301,138,-1216
320.0,48405E,B744,KLM644,52.57301,3.12286,17925,297,138,-1280
340.0,48405E,B744,KLM644,52.55319,3.15132,17500,296,138,-1344
360.0,48405E,B744,KLM644,52.53209,3.18161,17025,293,138,-1280
380.0,48405E,B744,KLM644,52.51231,3.20984,16625,291,139,-1280
400.0,48405E,B744,KLM644,52.49272,3.23853,16225,290,134,-1408
420.0,48405E,B744,KLM644,52.47787,3.27934,15700,302,111,-1280
440.0,48405E,B744,KLM644,52.47173,3.32438,15225,310,91,-1344
460.0,48405E,B744,KLM644,52.4741,3.37076,14800,312,83,-1344
480.0,48405E,B744,KLM644,52.47773,3.41526,14375,311,81,-1280
500.0,48405E,B744,KLM644,52.48215,3.46258,14000,307,81,-896
520.0,48405E,B744,KLM644,52.48644,3.50817,13575,305,81,-1152
540.0,48405E,B744,KLM644,52.49094,3.55659,13150,303,81,-1216
560.0,48405E,B744,KLM644,52.49496,3.60171,12750,301,81,-1088
580.0,48405E,B744,KLM644,52.49863,3.64296,12400,297,81,-1216
600.0,48405E,B744,KLM644,52.50241,3.68787,12025,295,82,-1088
620.0,48405E,B744,KLM644,52.50599,3.73229,11650,291,82,-1152
640.0,48405E,B744,KLM644,52.5097,3.77548,11275,289,81,-1088
660.0,48405E,B744,KLM644,52.51332,3.81866,10875,286,82,-1152
680.0,48405E,B744,KLM644,52.51684,3.86122,10500,283,82,-1152
700.0,48405E,B744,KLM644,52.52051,3.90635,10100,281,82,-1216
720.0,48405E,B744,KLM644,52.52359,3.94621,9725,277,85,-1344
740.0,48405E,B744,KLM644,52.52033,3.98851,9275,272,106,-1344
760.0,48405E,B744,KLM644,52.5119,4.02542,8900,268,111,-1152
780.0,48405E,B744,KLM644,52.50245,4.06463,8525,265,111,-1216
800.0,48405E,B744,KLM644,52.49327,4.10057,8100,264,113,-1408
820.0,48405E,B744,KLM644,52.48338,4.13765,7700,263,112,-960
840.0,48405E,B744,KLM644,52.47499,4.17488,7350,259,109,-960
860.0,48405E,B744,KLM644,52.46735,4.21043,7050,256,109,-1152
880.0,48405E,B744,KLM644,52.45879,4.24967,6550,259,110,-1216
900.0,48405E,B744,KLM644,52.45088,4.28444,6300,255,110,-640
920.0,48405E,B744,KLM644,52.4425,4.32137,5975,253,110,-1280
940.0,48405E,B744,KLM644,52.43435,4.35577,5650,252,110,-704
960.0,48405E,B744,KLM644,52.43188,4.39304,5350,257,78,-896
980.0,48405E,B744,KLM644,52.44496,4.42741,5025,256,39,-576
