time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,48520B,B738,TRA558,52.37576,5.95581,24975,332,299,-1792
20.0,48520B,B738,TRA558,52.37759,5.95062,24900,332,299,-1792
40.0,48520B,B738,TRA558,52.39245,5.90837,24300,328,299,-1920
60.0,48520B,B738,TRA558,52.40726,5.86632,23700,325,300,-1792
80.0,48520B,B738,TRA558,52.4221,5.82401,23100,322,299,-1792
100.0,48520B,B738,TRA558,52.43756,5.78022,22475,318,299,-1792
120.0,48520B,B738,TRA558,52.45656,5.72578,21700,314,299,-1792
140.0,48520B,B738,TRA558,52.47354,5.67734,20975,312,299,-1792
160.0,48520B,B738,TRA558,52.48243,5.65168,20625,310,299,-1792
180.0,48520B,B738,TRA558,52.49431,5.61747,20100,308,299,-1792
200.0,48520B,B738,TRA558,52.50842,5.57678,19525,305,299,-1728
220.0,48520B,B738,TRA558,52.52202,5.52551,18800,305,292,-1792
240.0,48520B,B738,TRA558,52.53067,5.4908,18325,304,292,-1792
260.0,48520B,B738,TRA558,52.54124,5.44868,17725,303,292,-1792
280.0,48520B,B738,TRA558,52.55168,5.40665,17150,301,291,-1728
300.0,48520B,B738,TRA558,52.56207,5.36453,16575,301,292,-1728
320.0,48520B,B738,TRA558,52.57289,5.32052,15975,299,291,-1728
340.0,48520B,B738,TRA558,52.58286,5.27977,15400,296,291,-1728
360.0,48520B,B738,TRA558,52.59329,5.23773,14825,294,292,-1664
380.0,48520B,B738,TRA558,52.60332,5.1973,14275,291,291,-1664
400.0,48520B,B738,TRA558,52.61311,5.15714,13700,287,291,-1728
420.0,48520B,B738,TRA558,52.62279,5.11735,13350,278,291,-640
440.0,48520B,B738,TRA558,52.63239,5.0782,12800,275,291,-1792
460.0,48520B,B738,TRA558,52.64177,5.0396,12225,275,291,-1728
480.0,48520B,B738,TRA558,52.65123,5.00074,11650,275,291,-1728
500.0,48520B,B738,TRA558,52.66087,4.96158,11075,275,291,-1728
520.0,48520B,B738,TRA558,52.67024,4.92355,10525,275,292,-1664
540.0,48520B,B738,TRA558,52.67981,4.88449,10075,272,291,-576
560.0,48520B,B738,TRA558,52.68685,4.84576,9725,267,281,-1536
580.0,48520B,B738,TRA558,52.6881,4.80518,9225,270,269,-1472
600.0,48520B,B738,TRA558,52.68819,4.76463,8750,268,270,-1408
620.0,48520B,B738,TRA558,52.68828,4.72404,8275,266,270,-1472
640.0,48520B,B738,TRA558,52.68828,4.68353,7775,265,270,-1408
660.0,48520B,B738,TRA558,52.68824,4.64321,7350,262,270,-1344
680.0,48520B,B738,TRA558,52.68815,4.60366,6900,259,269,-1344
700.0,48520B,B738,TRA558,52.68599,4.56467,6475,260,254,-1344
720.0,48520B,B738,TRA558,52.67253,4.53163,6075,263,224,-704
740.0,48520B,B738,TRA558,52.65088,4.51492,5900,258,193,-512
760.0,48520B,B738,TRA558,52.62698,4.51385,5725,252,179,-512
780.0,48520B,B738,TRA558,52.60277,4.51876,5550,242,158,-512
800.0,48520B,B738,TRA558,52.58853,4.54041,5400,234,122,-832
