time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,48506C,B788,TFL338,52.14372,2.36504,24950,382,68,-1664
20.0,48506C,B788,TFL338,52.14563,2.37273,24875,382,68,-1664
40.0,48506C,B788,TFL338,52.15851,2.42622,24300,379,68,-1728
60.0,48506C,B788,TFL338,52.17133,2.47867,23750,375,68,-1600
80.0,48506C,B788,TFL338,52.18427,2.53141,23200,372,68,-1600
100.0,48506C,B788,TFL338,52.19698,2.58304,22675,368,68,-1600
120.0,48506C,B788,TFL338,52.20968,2.63476,22150,365,68,-1536
140.0,48506C,B788,TFL338,52.22369,2.69173,21550,361,68,-1600
160.0,48506C,B788,TFL338,52.23441,2.73605,21100,359,68,-1600
180.0,48506C,B788,TFL338,52.24631,2.78503,20600,355,68,-1536
200.0,48506C,B788,TFL338,52.25894,2.83738,20050,352,68,-1536
220.0,48506C,B788,TFL338,52.27025,2.88407,19575,350,68,-1536
240.0,48506C,B788,TFL338,52.28249,2.93445,19050,348,68,-1536
260.0,48506C,B788,TFL338,52.2939,2.98161,18575,345,68,-1536
280.0,48506C,B788,TFL338,52.30577,3.03116,18075,343,68,-1536
300.0,48506C,B788,TFL338,52.31795,3.08212,17550,341,68,-1472
320.0,48506C,B788,TFL338,52.32839,3.12585,17100,340,68,-1536
340.0,48506C,B788,TFL338,52.33983,3.17375,16625,337,68,-1472
360.0,48506C,B788,TFL338,52.35095,3.22052,16150,335,68,-1472
380.0,48506C,B788,TFL338,52.3621,3.26788,15650,334,68,-1472
400.0,48506C,B788,TFL338,52.37315,3.31459,15175,332,68,-1472
420.0,48506C,B788,TFL338,52.3843,3.36142,14700,330,68,-1472
440.0,48506C,B788,TFL338,52.39552,3.40882,14225,328,68,-1472
460.0,48506C,B788,TFL338,52.40609,3.45379,13750,327,68,-1472
480.0,48506C,B788,TFL338,52.41703,3.5004,13275,326,69,-1472
500.0,48506C,B788,TFL338,52.42854,3.5495,12775,326,69,-1472
520.0,48506C,B788,TFL338,52.43891,3.59386,12325,325,69,-1472
540.0,48506C,B788,TFL338,52.44937,3.63869,11875,326,69,-1472
560.0,48506C,B788,TFL338,52.46009,3.68497,11400,324,69,-1408
580.0,48506C,B788,TFL338,52.47057,3.72986,10950,321,69,-1472
600.0,48506C,B788,TFL338,52.48104,3.77482,10500,318,69,-1472
620.0,48506C,B788,TFL338,52.49147,3.81955,10025,315,69,-1408
640.0,48506C,B788,TFL338,52.5018,3.86452,9575,312,69,-1408
660.0,48506C,B788,TFL338,52.51246,3.91027,9100,309,69,-1408
680.0,48506C,B788,TFL338,52.52107,3.95508,8675,303,81,-1408
700.0,48506C,B788,TFL338,52.51819,3.99675,8225,291,108,-1344
720.0,48506C,B788,TFL338,52.50815,4.03862,7800,287,111,-1216
740.0,48506C,B788,TFL338,52.49922,4.07867,7350,288,104,-1408
760.0,48506C,B788,TFL338,52.50041,4.12231,7000,293,75,-896
780.0,48506C,B788,TFL338,52.50893,4.1642,6700,289,70,-960
800.0,48506C,B788,TFL338,52.51758,4.20502,6375,284,70,-1152
820.0,48506C,B788,TFL338,52.52619,4.24614,5975,282,71,-1216
840.0,48506C,B788,TFL338,52.53448,4.28616,5600,280,71,-960
860.0,48506C,B788,TFL338,52.54286,4.3261,5375,271,71,-640
880.0,48506C,B788,TFL338,52.55058,4.36394,5200,263,71,-512
900.0,48506C,B788,TFL338,52.56038,4.39995,5050,254,60,-448
