time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484174,B744,KLM602,52.79805,2.51984,24900,424,117,-2176
20.0,484174,B744,KLM602,52.78899,2.5515,24600,418,115,-1280
40.0,484174,B744,KLM602,52.77204,2.604,24275,402,120,-896
60.0,484174,B744,KLM602,52.75174,2.65587,24050,383,123,-640
80.0,484174,B744,KLM602,52.72972,2.71009,23775,364,123,-896
100.0,484174,B744,KLM602,52.71588,2.74445,23475,356,123,-1152
120.0,484174,B744,KLM602,52.69364,2.80049,23050,343,123,-832
140.0,484174,B744,KLM602,52.68112,2.83196,22875,333,123,-704
160.0,484174,B744,KLM602,52.66459,2.87363,22525,324,123,-1472
180.0,484174,B744,KLM602,52.64746,2.91624,21925,321,123,-1728
200.0,484174,B744,KLM602,52.63165,2.95494,21400,319,124,-1600
220.0,484174,B744,KLM602,52.61435,2.99606,20800,317,127,-1920
240.0,484174,B744,KLM602,52.59295,3.03505,20150,316,135,-1792
260.0,484174,B744,KLM602,52.57384,3.06602,19625,315,135,-1600
280.0,484174,B744,KLM602,52.55443,3.09753,19150,311,135,-1472
300.0,484174,B744,KLM602,52.53365,3.13141,18650,309,135,-1472
320.0,484174,B744,KLM602,52.51236,3.16612,18125,305,135,-1408
340.0,484174,B744,KLM602,52.49364,3.19687,17675,301,134,-1344
360.0,484174,B744,KLM602,52.47457,3.22849,17225,297,134,-1600
380.0,484174,B744,KLM602,52.45523,3.26027,16675,297,134,-1600
400.0,484174,B744,KLM602,52.43674,3.29308,16225,294,126,-1152
420.0,484174,B744,KLM602,52.42518,3.33678,15800,293,101,-1408
440.0,484174,B744,KLM602,52.4257,3.37921,15300,300,78,-1600
460.0,484174,B744,KLM602,52.43286,3.42256,14775,301,74,-1600
480.0,484174,B744,KLM602,52.44054,3.46666,14250,300,73,-1600
500.0,484174,B744,KLM602,52.44809,3.50937,13725,300,73,-1600
520.0,484174,B744,KLM602,52.45578,3.55293,13200,300,73,-1472
540.0,484174,B744,KLM602,52.46363,3.59881,12700,297,74,-1472
560.0,484174,B744,KLM602,52.47061,3.64021,12225,297,74,-1536
580.0,484174,B744,KLM602,52.47858,3.68797,11650,297,74,-1536
600.0,484174,B744,KLM602,52.48508,3.72658,11225,296,74,-1408
620.0,484174,B744,KLM602,52.49245,3.76991,10750,295,74,-1344
640.0,484174,B744,KLM602,52.49975,3.8132,10300,293,74,-1472
660.0,484174,B744,KLM602,52.50705,3.85651,9800,292,74,-1408
680.0,484174,B744,KLM602,52.514,3.89818,9375,290,74,-1280
700.0,484174,B744,KLM602,52.52188,3.95325,8750,285,85,-1536
720.0,484174,B744,KLM602,52.52,3.98757,8375,278,104,-1344
740.0,484174,B744,KLM602,52.51204,4.02443,7975,273,110,-1152
760.0,484174,B744,KLM602,52.50316,4.06166,7600,269,112,-1344
780.0,484174,B744,KLM602,52.49398,4.099,7150,268,111,-1344
800.0,484174,B744,KLM602,52.48388,4.14059,6650,267,111,-1408
820.0,484174,B744,KLM602,52.4755,4.17488,6225,266,112,-1408
840.0,484174,B744,KLM602,52.46647,4.21161,5750,266,111,-1408
860.0,484174,B744,KLM602,52.45734,4.24888,5275,266,112,-1536
