time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,343046,A320,VLG2SQ,51.06065,3.50575,24925,397,23,-960
40.0,343046,A320,VLG2SQ,51.123,3.54962,24300,395,24,-1024
60.0,343046,A320,VLG2SQ,51.16164,3.57739,23775,392,24,-2048
80.0,343046,A320,VLG2SQ,51.18169,3.59194,23375,390,24,-1984
120.0,343046,A320,VLG2SQ,51.26962,3.65592,21600,382,24,-2048
160.0,343046,A320,VLG2SQ,51.32887,3.69926,20425,373,24,-1792
180.0,343046,A320,VLG2SQ,51.3441,3.71048,20125,370,24,-1792
200.0,343046,A320,VLG2SQ,51.37564,3.73357,19550,366,24,-1664
220.0,343046,A320,VLG2SQ,51.42118,3.76686,18700,357,24,-1664
240.0,343046,A320,VLG2SQ,51.43387,3.77618,18475,355,24,-1664
260.0,343046,A320,VLG2SQ,51.47186,3.80402,17775,347,24,-1600
280.0,343046,A320,VLG2SQ,51.49397,3.82027,17350,346,24,-1600
300.0,343046,A320,VLG2SQ,51.52322,3.8418,16825,344,24,-1600
320.0,343046,A320,VLG2SQ,51.55092,3.86229,16300,343,24,-1600
340.0,343046,A320,VLG2SQ,51.58383,3.88664,15700,341,24,-1600
360.0,343046,A320,VLG2SQ,51.60988,3.90586,15225,340,24,-1600
380.0,343046,A320,VLG2SQ,51.63908,3.92746,14675,338,24,-1600
400.0,343046,A320,VLG2SQ,51.6646,3.94638,14200,336,24,-1600
420.0,343046,A320,VLG2SQ,51.69315,3.96762,13650,333,24,-1600
440.0,343046,A320,VLG2SQ,51.72089,3.98834,13125,331,24,-1536
460.0,343046,A320,VLG2SQ,51.74876,4.00912,12625,328,24,-1600
480.0,343046,A320,VLG2SQ,51.77628,4.02961,12100,326,24,-1536
500.0,343046,A320,VLG2SQ,51.8037,4.05014,11575,320,24,-1536
520.0,343046,A320,VLG2SQ,51.82988,4.06991,11075,314,25,-1728
540.0,343046,A320,VLG2SQ,51.85593,4.08944,10475,312,24,-1920
560.0,343046,A320,VLG2SQ,51.88228,4.10904,10075,304,24,-704
580.0,343046,A320,VLG2SQ,51.90797,4.12888,9750,294,26,-1152
600.0,343046,A320,VLG2SQ,51.93127,4.14764,9350,287,26,-1536
620.0,343046,A320,VLG2SQ,51.95476,4.16656,8800,288,26,-1472
640.0,343046,A320,VLG2SQ,51.97846,4.18556,8325,284,26,-1664
660.0,343046,A320,VLG2SQ,52.00237,4.20502,7675,289,26,-1728
680.0,343046,A320,VLG2SQ,52.0258,4.22401,7275,286,26,-960
700.0,343046,A320,VLG2SQ,52.04992,4.24386,6950,285,26,-960
720.0,343046,A320,VLG2SQ,52.07287,4.2627,6650,283,26,-960
740.0,343046,A320,VLG2SQ,52.09644,4.28207,6325,282,26,-1024
760.0,343046,A320,VLG2SQ,52.11993,4.30146,5975,280,26,-1024
780.0,343046,A320,VLG2SQ,52.14253,4.32007,5675,277,26,-960
800.0,343046,A320,VLG2SQ,52.16555,4.33866,5325,275,26,-960
820.0,343046,A320,VLG2SQ,52.18794,4.35647,5125,265,26,-576
