time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4CA215,A320,EIN84L,52.19083,2.22198,24800,402,71,-2624
20.0,4CA215,A320,EIN84L,52.20065,2.27072,24050,400,71,-2560
40.0,4CA215,A320,EIN84L,52.21756,2.35527,22775,396,72,-2368
60.0,4CA215,A320,EIN84L,52.2223,2.37917,22425,393,72,-2432
80.0,4CA215,A320,EIN84L,52.23324,2.43488,21625,390,72,-2048
100.0,4CA215,A320,EIN84L,52.24893,2.51414,20975,373,72,-1280
120.0,4CA215,A320,EIN84L,52.2561,2.55043,20675,368,72,-1408
140.0,4CA215,A320,EIN84L,52.26723,2.60696,20150,363,72,-1408
160.0,4CA215,A320,EIN84L,52.27588,2.651,19750,363,72,-1472
180.0,4CA215,A320,EIN84L,52.28603,2.70256,19250,363,72,-1472
200.0,4CA215,A320,EIN84L,52.29562,2.75153,18775,362,72,-1472
220.0,4CA215,A320,EIN84L,52.30614,2.80502,18275,360,72,-1408
240.0,4CA215,A320,EIN84L,52.31703,2.86102,17750,356,72,-1472
260.0,4CA215,A320,EIN84L,52.32578,2.90604,17300,355,72,-1472
280.0,4CA215,A320,EIN84L,52.33521,2.95502,16850,354,72,-1408
300.0,4CA215,A320,EIN84L,52.34548,3.00798,16325,351,72,-1472
320.0,4CA215,A320,EIN84L,52.3553,3.05855,15825,348,72,-1536
340.0,4CA215,A320,EIN84L,52.36456,3.10631,15400,339,72,-1088
360.0,4CA215,A320,EIN84L,52.37384,3.15483,15075,344,72,-1280
380.0,4CA215,A320,EIN84L,52.38501,3.21373,14500,342,72,-1472
400.0,4CA215,A320,EIN84L,52.39444,3.26286,14000,339,72,-1408
420.0,4CA215,A320,EIN84L,52.40218,3.30367,13625,338,72,-1408
440.0,4CA215,A320,EIN84L,52.41135,3.35193,13125,337,72,-1472
460.0,4CA215,A320,EIN84L,52.42047,3.40003,12625,335,72,-1472
480.0,4CA215,A320,EIN84L,52.43006,3.45104,12125,335,73,-1408
500.0,4CA215,A320,EIN84L,52.43861,3.49731,11675,334,73,-1472
520.0,4CA215,A320,EIN84L,52.44752,3.54521,11175,332,73,-1472
540.0,4CA215,A320,EIN84L,52.45715,3.59673,10650,331,72,-1408
560.0,4CA215,A320,EIN84L,52.46605,3.64424,10150,329,72,-1536
580.0,4CA215,A320,EIN84L,52.47438,3.68842,9700,328,73,-1472
600.0,4CA215,A320,EIN84L,52.48334,3.7368,9200,329,72,-1472
620.0,4CA215,A320,EIN84L,52.4924,3.78503,8775,328,73,-1088
640.0,4CA215,A320,EIN84L,52.5018,3.83533,8425,325,73,-960
660.0,4CA215,A320,EIN84L,52.50985,3.87904,8125,322,73,-960
680.0,4CA215,A320,EIN84L,52.51837,3.92573,7800,321,73,-960
700.0,4CA215,A320,EIN84L,52.52248,3.97888,7400,313,98,-1024
720.0,4CA215,A320,EIN84L,52.51437,4.01668,7150,308,112,-896
740.0,4CA215,A320,EIN84L,52.50324,4.06133,6825,305,112,-960
760.0,4CA215,A320,EIN84L,52.49272,4.1037,6500,301,112,-896
780.0,4CA215,A320,EIN84L,52.48229,4.14569,6050,298,112,-1920
800.0,4CA215,A320,EIN84L,52.47208,4.18709,5325,300,111,-2368
