time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,AB599B,A333,DAL162,52.80171,2.48703,24950,345,106,-2688
20.0,AB599B,A333,DAL162,52.79415,2.52968,24150,351,106,-1600
40.0,AB599B,A333,DAL162,52.78098,2.60254,23600,342,106,-1152
60.0,AB599B,A333,DAL162,52.7791,2.61299,23525,341,106,-1152
80.0,AB599B,A333,DAL162,52.76678,2.68105,23050,329,106,-1536
100.0,AB599B,A333,DAL162,52.76221,2.70632,22750,327,106,-1984
120.0,AB599B,A333,DAL162,52.75136,2.76611,21875,327,106,-1856
140.0,AB599B,A333,DAL162,52.74266,2.81376,21275,329,106,-1792
160.0,AB599B,A333,DAL162,52.73602,2.85004,20875,331,106,-1600
180.0,AB599B,A333,DAL162,52.72553,2.90706,20350,328,106,-1344
200.0,AB599B,A333,DAL162,52.71721,2.95258,19900,325,106,-1344
220.0,AB599B,A333,DAL162,52.70705,3.00774,19375,322,106,-1408
260.0,AB599B,A333,DAL162,52.69102,3.09448,18500,319,106,-1408
280.0,AB599B,A333,DAL162,52.68338,3.13576,18100,317,107,-1344
300.0,AB599B,A333,DAL162,52.67488,3.1818,17675,314,107,-1216
320.0,AB599B,A333,DAL162,52.66697,3.22433,17275,312,107,-1216
340.0,AB599B,A333,DAL162,52.65854,3.26937,16925,305,107,-1216
360.0,AB599B,A333,DAL162,52.64988,3.3156,16400,304,107,-1472
380.0,AB599B,A333,DAL162,52.64206,3.35719,15975,302,107,-1280
400.0,AB599B,A333,DAL162,52.63376,3.40118,15575,297,107,-1280
420.0,AB599B,A333,DAL162,52.6235,3.45558,14975,296,107,-1600
440.0,AB599B,A333,DAL162,52.61739,3.48792,14600,296,107,-1344
460.0,AB599B,A333,DAL162,52.60968,3.5289,14200,294,107,-1152
480.0,AB599B,A333,DAL162,52.60103,3.57452,13750,290,107,-1216
500.0,AB599B,A333,DAL162,52.5927,3.61816,13325,287,107,-1344
520.0,AB599B,A333,DAL162,52.58556,3.65555,12925,287,107,-1344
540.0,AB599B,A333,DAL162,52.57768,3.69682,12450,286,107,-1408
560.0,AB599B,A333,DAL162,52.56981,3.73779,11975,286,107,-1472
580.0,AB599B,A333,DAL162,52.56209,3.77804,11500,286,107,-1472
600.0,AB599B,A333,DAL162,52.55352,3.82261,11025,285,107,-1344
620.0,AB599B,A333,DAL162,52.54605,3.86116,10600,284,107,-1344
640.0,AB599B,A333,DAL162,52.53783,3.90383,10150,283,107,-1088
660.0,AB599B,A333,DAL162,52.53024,3.94315,9775,278,107,-1152
680.0,AB599B,A333,DAL162,52.52172,3.98341,9300,277,111,-1728
700.0,AB599B,A333,DAL162,52.51254,4.021,8750,280,111,-1664
720.0,AB599B,A333,DAL162,52.50279,4.06105,8300,280,111,-832
740.0,AB599B,A333,DAL162,52.49323,4.10041,8000,273,111,-1216
760.0,AB599B,A333,DAL162,52.48406,4.13792,7600,271,111,-1152
780.0,AB599B,A333,DAL162,52.4748,4.17559,7225,268,112,-1344
800.0,AB599B,A333,DAL162,52.46558,4.2131,6800,267,111,-1280
820.0,AB599B,A333,DAL162,52.45632,4.25077,6425,263,112,-1280
840.0,AB599B,A333,DAL162,52.44715,4.28796,5925,265,111,-1600
860.0,AB599B,A333,DAL162,52.43784,4.32571,5400,268,112,-1344
880.0,AB599B,A333,DAL162,52.42882,4.36226,5150,261,112,-576
