time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4074E5,B752,BCS1443,52.12398,2.31953,24675,438,94,-3712
20.0,4074E5,B752,BCS1443,52.12086,2.38082,23425,430,94,-4160
60.0,4074E5,B752,BCS1443,52.12771,2.51289,22000,405,71,-1472
80.0,4074E5,B752,BCS1443,52.14214,2.57653,21475,398,69,-1792
100.0,4074E5,B752,BCS1443,52.15196,2.61826,21100,394,68,-1280
120.0,4074E5,B752,BCS1443,52.1657,2.67227,20675,388,66,-1280
140.0,4074E5,B752,BCS1443,52.18011,2.72507,20250,383,65,-1280
160.0,4074E5,B752,BCS1443,52.19316,2.771,19875,378,64,-1280
180.0,4074E5,B752,BCS1443,52.20824,2.82278,19425,373,64,-1280
200.0,4074E5,B752,BCS1443,52.22467,2.87905,18950,373,64,-1280
220.0,4074E5,B752,BCS1443,52.23762,2.92354,18600,372,64,-1280
240.0,4074E5,B752,BCS1443,52.25249,2.97569,18150,371,65,-1280
260.0,4074E5,B752,BCS1443,52.26783,3.03003,17700,367,65,-1280
280.0,4074E5,B752,BCS1443,52.28063,3.07547,17325,366,65,-1280
300.0,4074E5,B752,BCS1443,52.29524,3.12759,16900,367,65,-1280
320.0,4074E5,B752,BCS1443,52.30888,3.17665,16475,365,65,-1216
340.0,4074E5,B752,BCS1443,52.32335,3.22868,16050,359,65,-1216
360.0,4074E5,B752,BCS1443,52.33598,3.27432,15675,353,65,-1216
380.0,4074E5,B752,BCS1443,52.35095,3.3284,15225,353,65,-1216
400.0,4074E5,B752,BCS1443,52.36299,3.37181,14875,355,65,-1152
420.0,4074E5,B752,BCS1443,52.37856,3.42804,14400,355,65,-1216
440.0,4074E5,B752,BCS1443,52.39212,3.47725,14000,351,65,-1216
460.0,4074E5,B752,BCS1443,52.40302,3.51712,13675,345,65,-1216
480.0,4074E5,B752,BCS1443,52.41633,3.56585,13275,339,65,-1152
500.0,4074E5,B752,BCS1443,52.42891,3.61153,12900,341,65,-1152
520.0,4074E5,B752,BCS1443,52.44191,3.65913,12500,346,66,-1152
540.0,4074E5,B752,BCS1443,52.45496,3.70682,12100,345,65,-1216
560.0,4074E5,B752,BCS1443,52.46782,3.75397,11700,339,66,-1472
580.0,4074E5,B752,BCS1443,52.48087,3.80219,11175,329,66,-1280
600.0,4074E5,B752,BCS1443,52.49263,3.84598,10800,316,66,-1024
620.0,4074E5,B752,BCS1443,52.50417,3.88885,10475,303,66,-1280
640.0,4074E5,B752,BCS1443,52.51586,3.93342,9925,303,70,-1792
660.0,4074E5,B752,BCS1443,52.51959,3.9756,9450,310,93,-1216
680.0,4074E5,B752,BCS1443,52.51268,4.02069,9075,305,110,-1216
700.0,4074E5,B752,BCS1443,52.49905,4.0651,8675,305,127,-896
720.0,4074E5,B752,BCS1443,52.4816,4.09866,8375,306,131,-1024
740.0,4074E5,B752,BCS1443,52.46302,4.13361,7975,304,131,-1344
760.0,4074E5,B752,BCS1443,52.4453,4.16664,7525,302,131,-1536
780.0,4074E5,B752,BCS1443,52.42621,4.20151,7025,300,132,-1408
800.0,4074E5,B752,BCS1443,52.40762,4.23515,6525,295,131,-1344
820.0,4074E5,B752,BCS1443,52.38984,4.26772,6100,290,131,-1024
840.0,4074E5,B752,BCS1443,52.37196,4.30054,5725,274,131,-1344
860.0,4074E5,B752,BCS1443,52.35617,4.32945,5275,259,132,-1728
