time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484132,B738,KLM24E,52.78451,2.59756,24975,391,102,-2240
20.0,484132,B738,KLM24E,52.7806,2.62032,24600,386,106,-2304
40.0,484132,B738,KLM24E,52.77143,2.67054,24000,379,107,-1984
60.0,484132,B738,KLM24E,52.76096,2.72532,23300,373,107,-1920
80.0,484132,B738,KLM24E,52.75002,2.7848,22550,366,106,-1984
100.0,484132,B738,KLM24E,52.73872,2.84599,21775,361,106,-1920
120.0,484132,B738,KLM24E,52.73074,2.89058,21175,358,106,-2240
140.0,484132,B738,KLM24E,52.72232,2.93759,20500,357,106,-2048
160.0,484132,B738,KLM24E,52.71236,2.99194,19800,354,106,-2304
180.0,484132,B738,KLM24E,52.69713,3.07123,18725,348,107,-1856
200.0,484132,B738,KLM24E,52.69304,3.0941,18450,345,107,-1856
220.0,484132,B738,KLM24E,52.68173,3.15414,17725,342,107,-1920
240.0,484132,B738,KLM24E,52.6719,3.20612,17075,339,107,-1920
260.0,484132,B738,KLM24E,52.66557,3.24018,16675,334,107,-1600
280.0,484132,B738,KLM24E,52.65645,3.2886,16075,330,107,-1984
300.0,484132,B738,KLM24E,52.64704,3.33623,15400,325,107,-1984
320.0,484132,B738,KLM24E,52.63843,3.3834,14850,324,107,-1408
340.0,484132,B738,KLM24E,52.62982,3.43048,14325,321,106,-1536
360.0,484132,B738,KLM24E,52.62088,3.47725,13725,321,107,-1664
380.0,484132,B738,KLM24E,52.61213,3.52355,13225,319,107,-1536
400.0,484132,B738,KLM24E,52.60207,3.57401,12650,315,107,-1600
420.0,484132,B738,KLM24E,52.59328,3.6196,12150,314,107,-1536
440.0,484132,B738,KLM24E,52.58527,3.66049,11675,313,107,-1600
460.0,484132,B738,KLM24E,52.57614,3.70569,11125,313,107,-1344
480.0,484132,B738,KLM24E,52.56735,3.75097,10650,312,107,-1536
500.0,484132,B738,KLM24E,52.55892,3.79554,10225,306,107,-1472
520.0,484132,B738,KLM24E,52.55035,3.83972,9775,304,107,-1664
540.0,484132,B738,KLM24E,52.54198,3.88153,9275,303,107,-1472
560.0,484132,B738,KLM24E,52.53318,3.9273,8800,300,108,-1472
580.0,484132,B738,KLM24E,52.52412,3.97263,8300,298,110,-1664
600.0,484132,B738,KLM24E,52.5136,4.01459,7750,297,111,-1536
620.0,484132,B738,KLM24E,52.50385,4.05435,7250,296,111,-1536
640.0,484132,B738,KLM24E,52.49412,4.09617,6800,295,111,-1280
660.0,484132,B738,KLM24E,52.48397,4.13745,6375,292,111,-1344
680.0,484132,B738,KLM24E,52.474,4.17648,5900,290,112,-1408
700.0,484132,B738,KLM24E,52.46386,4.21906,5425,288,111,-1408
