time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484174,B744,KLM86,52.89102,2.43842,24975,439,110,-2048
20.0,484174,B744,KLM86,52.88921,2.44642,24900,439,110,-1984
40.0,484174,B744,KLM86,52.87552,2.50567,24300,433,110,-1920
60.0,484174,B744,KLM86,52.86002,2.57261,23625,427,110,-1664
80.0,484174,B744,KLM86,52.84753,2.6265,23100,422,110,-1792
100.0,484174,B744,KLM86,52.83353,2.68661,22475,417,111,-1792
120.0,484174,B744,KLM86,52.81766,2.75412,21825,410,111,-1856
140.0,484174,B744,KLM86,52.80597,2.80396,21325,405,111,-1728
160.0,484174,B744,KLM86,52.79178,2.86423,20725,400,111,-1600
180.0,484174,B744,KLM86,52.7792,2.91797,20175,397,111,-1728
200.0,484174,B744,KLM86,52.76626,2.97298,19625,393,111,-1664
220.0,484174,B744,KLM86,52.7531,3.02864,19100,388,111,-1664
240.0,484174,B744,KLM86,52.73978,3.08502,18500,385,111,-1664
260.0,484174,B744,KLM86,52.7271,3.13812,17975,380,111,-1536
280.0,484174,B744,KLM86,52.71428,3.19183,17450,377,111,-1664
300.0,484174,B744,KLM86,52.70114,3.24669,16875,373,111,-1536
320.0,484174,B744,KLM86,52.68768,3.3028,16325,369,111,-1472
340.0,484174,B744,KLM86,52.6761,3.35106,15850,369,111,-1600
360.0,484174,B744,KLM86,52.66388,3.40164,15350,371,111,-1600
380.0,484174,B744,KLM86,52.65114,3.45426,14800,374,111,-1600
400.0,484174,B744,KLM86,52.63811,3.50853,14250,372,111,-1536
420.0,484174,B744,KLM86,52.62579,3.55965,13750,368,111,-1600
440.0,484174,B744,KLM86,52.61315,3.61183,13225,364,111,-1536
460.0,484174,B744,KLM86,52.60082,3.66308,12675,361,111,-1856
480.0,484174,B744,KLM86,52.58843,3.7133,12125,359,112,-1408
500.0,484174,B744,KLM86,52.57591,3.76345,11675,353,112,-1600
520.0,484174,B744,KLM86,52.56362,3.81249,11125,349,112,-1472
540.0,484174,B744,KLM86,52.55164,3.86154,10650,343,111,-1408
560.0,484174,B744,KLM86,52.53923,3.91223,10150,338,111,-1216
580.0,484174,B744,KLM86,52.52824,3.95712,9850,329,111,-896
600.0,484174,B744,KLM86,52.51698,4.00337,9550,319,111,-960
620.0,484174,B744,KLM86,52.50599,4.04799,9225,312,112,-1024
640.0,484174,B744,KLM86,52.49542,4.09065,8875,306,112,-1152
660.0,484174,B744,KLM86,52.48512,4.132,8475,302,111,-1344
680.0,484174,B744,KLM86,52.47473,4.17572,8000,301,110,-1344
700.0,484174,B744,KLM86,52.46516,4.21781,7575,298,110,-1152
720.0,484174,B744,KLM86,52.45543,4.25963,7225,293,111,-1152
740.0,484174,B744,KLM86,52.44557,4.30153,6800,290,110,-1216
760.0,484174,B744,KLM86,52.43598,4.34258,6425,286,110,-1152
780.0,484174,B744,KLM86,52.42708,4.38158,5975,285,110,-1536
800.0,484174,B744,KLM86,52.41815,4.42208,5475,286,108,-1344
820.0,484174,B744,KLM86,52.40986,4.46351,5125,280,107,-704
