time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484CB4,B738,KLM72Z,52.80579,2.50542,24975,387,109,-1728
20.0,484CB4,B738,KLM72Z,52.79466,2.56405,24350,382,107,-1984
40.0,484CB4,B738,KLM72Z,52.78459,2.61696,23775,381,107,-1792
60.0,484CB4,B738,KLM72Z,52.77371,2.67509,23225,376,107,-1664
80.0,484CB4,B738,KLM72Z,52.76527,2.72148,22825,371,107,-1600
100.0,484CB4,B738,KLM72Z,52.75146,2.79382,22100,365,107,-1728
120.0,484CB4,B738,KLM72Z,52.74494,2.83078,21725,363,107,-1664
140.0,484CB4,B738,KLM72Z,52.73552,2.88078,21175,359,107,-1664
160.0,484CB4,B738,KLM72Z,52.72525,2.93586,20575,357,107,-1856
180.0,484CB4,B738,KLM72Z,52.7157,2.98538,19975,357,107,-1792
200.0,484CB4,B738,KLM72Z,52.7059,3.03711,19400,354,107,-1792
220.0,484CB4,B738,KLM72Z,52.69537,3.09395,18725,355,107,-1920
240.0,484CB4,B738,KLM72Z,52.68526,3.14552,18125,354,107,-1728
260.0,484CB4,B738,KLM72Z,52.67609,3.19412,17625,351,107,-1600
280.0,484CB4,B738,KLM72Z,52.6665,3.24497,17125,347,107,-1472
300.0,484CB4,B738,KLM72Z,52.65715,3.29239,16650,343,107,-1600
320.0,484CB4,B738,KLM72Z,52.64718,3.34447,16100,339,107,-1600
340.0,484CB4,B738,KLM72Z,52.63685,3.39878,15450,340,107,-1728
360.0,484CB4,B738,KLM72Z,52.62872,3.44078,14975,340,107,-1600
380.0,484CB4,B738,KLM72Z,52.61902,3.48999,14475,341,107,-1408
400.0,484CB4,B738,KLM72Z,52.60945,3.53935,14050,339,107,-1280
420.0,484CB4,B738,KLM72Z,52.59854,3.5952,13550,332,107,-1536
440.0,484CB4,B738,KLM72Z,52.59011,3.63836,13100,332,107,-1536
460.0,484CB4,B738,KLM72Z,52.58098,3.68408,12600,330,107,-1344
480.0,484CB4,B738,KLM72Z,52.57224,3.73177,12175,327,107,-1472
500.0,484CB4,B738,KLM72Z,52.56232,3.78087,11525,321,108,-2624
520.0,484CB4,B738,KLM72Z,52.55328,3.82507,10825,321,108,-2240
540.0,484CB4,B738,KLM72Z,52.54298,3.87634,9800,327,108,-2880
560.0,484CB4,B738,KLM72Z,52.53442,3.91914,9100,328,107,-1664
580.0,484CB4,B738,KLM72Z,52.52554,3.9653,8750,311,108,-1216
600.0,484CB4,B738,KLM72Z,52.51515,4.00879,8250,302,111,-1664
620.0,484CB4,B738,KLM72Z,52.50459,4.05301,7700,295,111,-1536
640.0,484CB4,B738,KLM72Z,52.49496,4.09233,7125,293,111,-1856
660.0,484CB4,B738,KLM72Z,52.48476,4.13353,6525,293,111,-1792
680.0,484CB4,B738,KLM72Z,52.47469,4.17473,6075,288,112,-768
700.0,484CB4,B738,KLM72Z,52.46484,4.21448,5750,276,111,-1280
720.0,484CB4,B738,KLM72Z,52.4545,4.25674,5325,271,111,-1024
