time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,48455E,B77W,KLM428,52.23537,6.75209,24950,366,291,-1216
20.0,48455E,B77W,KLM428,52.23871,6.7382,24825,365,291,-1216
40.0,48455E,B77W,KLM428,52.25121,6.68597,24425,364,291,-1216
60.0,48455E,B77W,KLM428,52.26317,6.63574,24025,365,291,-1216
80.0,48455E,B77W,KLM428,52.27649,6.5801,23600,364,291,-1216
100.0,48455E,B77W,KLM428,52.28796,6.53191,23225,360,291,-1152
120.0,48455E,B77W,KLM428,52.29995,6.48131,22825,352,291,-1152
140.0,48455E,B77W,KLM428,52.3119,6.43044,22425,350,291,-1152
160.0,48455E,B77W,KLM428,52.32378,6.37984,22025,352,290,-1152
180.0,48455E,B77W,KLM428,52.33466,6.33347,21675,350,290,-1152
200.0,48455E,B77W,KLM428,52.34601,6.28548,21300,345,291,-1152
220.0,48455E,B77W,KLM428,52.3575,6.2365,20925,340,290,-1152
240.0,48455E,B77W,KLM428,52.3683,6.19034,20550,339,290,-1152
260.0,48455E,B77W,KLM428,52.3796,6.14191,20175,334,290,-1088
280.0,48455E,B77W,KLM428,52.39799,6.06257,19575,331,290,-1088
300.0,48455E,B77W,KLM428,52.40143,6.04774,19450,330,290,-1088
320.0,48455E,B77W,KLM428,52.41312,5.9977,19075,325,290,-1088
340.0,48455E,B77W,KLM428,52.4279,5.93353,18575,322,290,-1088
360.0,48455E,B77W,KLM428,52.43649,5.89628,18275,323,290,-1088
380.0,48455E,B77W,KLM428,52.4436,5.86525,18050,323,290,-1024
400.0,48455E,B77W,KLM428,52.45497,5.81577,17650,325,290,-1088
420.0,48455E,B77W,KLM428,52.46494,5.77202,17325,327,290,-832
440.0,48455E,B77W,KLM428,52.47556,5.72594,17075,316,290,-640
460.0,48455E,B77W,KLM428,52.4864,5.67841,16725,309,290,-1280
480.0,48455E,B77W,KLM428,52.49652,5.63362,16225,319,290,-1536
500.0,48455E,B77W,KLM428,52.5065,5.58975,15725,320,290,-1536
520.0,48455E,B77W,KLM428,52.51614,5.54778,15300,318,291,-960
540.0,48455E,B77W,KLM428,52.52815,5.50054,15100,316,292,-320
560.0,48455E,B77W,KLM428,52.53886,5.45853,14950,316,292,-1088
580.0,48455E,B77W,KLM428,52.54999,5.41412,14600,314,292,-1088
600.0,48455E,B77W,KLM428,52.56078,5.37074,14250,310,292,-1088
620.0,48455E,B77W,KLM428,52.57149,5.32735,13900,309,292,-1088
640.0,48455E,B77W,KLM428,52.58234,5.28293,13550,308,291,-1024
660.0,48455E,B77W,KLM428,52.59279,5.24017,13225,306,291,-1024
680.0,48455E,B77W,KLM428,52.60333,5.19708,12875,303,292,-1088
700.0,48455E,B77W,KLM428,52.61371,5.15471,12550,302,291,-1024
720.0,48455E,B77W,KLM428,52.62401,5.11246,12225,297,291,-1024
740.0,48455E,B77W,KLM428,52.63417,5.07111,11875,294,292,-896
760.0,48455E,B77W,KLM428,52.64444,5.02915,11550,296,291,-896
780.0,48455E,B77W,KLM428,52.65472,4.98654,11275,297,291,-704
800.0,48455E,B77W,KLM428,52.66466,4.94568,10950,293,292,-1216
820.0,48455E,B77W,KLM428,52.67468,4.90448,10575,286,291,-1216
840.0,48455E,B77W,KLM428,52.68391,4.86443,10200,278,286,-1088
860.0,48455E,B77W,KLM428,52.68787,4.82308,9875,267,272,-1280
880.0,48455E,B77W,KLM428,52.6881,4.78165,9400,266,270,-1408
900.0,48455E,B77W,KLM428,52.68832,4.74182,8925,266,270,-1408
920.0,48455E,B77W,KLM428,52.68842,4.702,8475,265,270,-1408
940.0,48455E,B77W,KLM428,52.68842,4.66156,8000,265,269,-1408
960.0,48455E,B77W,KLM428,52.68824,4.62171,7550,265,269,-1408
980.0,48455E,B77W,KLM428,52.68815,4.58146,7050,264,268,-1472
1000.0,48455E,B77W,KLM428,52.68149,4.54332,6575,262,237,-1536
1020.0,48455E,B77W,KLM428,52.66287,4.51774,6100,266,203,-1216
1040.0,48455E,B77W,KLM428,52.63871,4.51256,5800,265,180,-512
1060.0,48455E,B77W,KLM428,52.61504,4.51431,5650,252,167,-384
1080.0,48455E,B77W,KLM428,52.59457,4.53201,5500,251,137,-704
1100.0,48455E,B77W,KLM428,52.58373,4.56545,5100,263,99,-1024
