time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484007,B744,KLM714,52.09021,2.3246,24900,409,76,-1600
20.0,484007,B744,KLM714,52.09424,2.35123,24600,406,76,-2240
40.0,484007,B744,KLM714,52.10312,2.41035,23900,404,76,-2176
60.0,484007,B744,KLM714,52.11209,2.46552,23225,400,73,-2048
80.0,484007,B744,KLM714,52.12235,2.51336,22700,394,68,-1472
100.0,484007,B744,KLM714,52.13692,2.56719,22150,385,65,-1792
120.0,484007,B744,KLM714,52.15294,2.62306,21525,380,64,-1728
140.0,484007,B744,KLM714,52.16528,2.66609,21025,376,65,-1728
160.0,484007,B744,KLM714,52.18158,2.72255,20425,369,64,-1664
180.0,484007,B744,KLM714,52.19558,2.77169,19900,364,65,-1664
200.0,484007,B744,KLM714,52.21115,2.82684,19300,362,65,-1600
220.0,484007,B744,KLM714,52.2237,2.87096,18825,371,65,-1664
240.0,484007,B744,KLM714,52.23697,2.91763,18300,376,65,-1728
260.0,484007,B744,KLM714,52.25175,2.97043,17725,375,65,-1664
280.0,484007,B744,KLM714,52.26587,3.02093,17175,370,65,-1472
300.0,484007,B744,KLM714,52.27963,3.07045,16650,364,65,-1536
320.0,484007,B744,KLM714,52.29332,3.11989,16125,361,65,-1664
340.0,484007,B744,KLM714,52.30971,3.17856,15475,355,65,-1536
360.0,484007,B744,KLM714,52.32113,3.21946,15025,353,65,-1600
380.0,484007,B744,KLM714,52.33412,3.26639,14525,349,65,-1600
400.0,484007,B744,KLM714,52.34767,3.31512,14000,345,65,-1536
420.0,484007,B744,KLM714,52.36093,3.36299,13475,347,65,-1600
440.0,484007,B744,KLM714,52.37384,3.40973,12975,349,65,-1536
460.0,484007,B744,KLM714,52.38707,3.45779,12475,348,65,-1664
480.0,484007,B744,KLM714,52.40025,3.50548,11925,344,66,-1536
500.0,484007,B744,KLM714,52.41399,3.55591,11400,340,66,-1472
520.0,484007,B744,KLM714,52.42569,3.59896,10950,335,66,-1536
540.0,484007,B744,KLM714,52.43854,3.64628,10425,332,65,-1472
560.0,484007,B744,KLM714,52.45102,3.69164,9950,327,65,-1280
580.0,484007,B744,KLM714,52.4633,3.73645,9675,314,65,-704
600.0,484007,B744,KLM714,52.47457,3.77773,9425,302,66,-960
620.0,484007,B744,KLM714,52.48553,3.81866,9000,291,66,-1728
640.0,484007,B744,KLM714,52.49675,3.86032,8375,288,66,-1920
660.0,484007,B744,KLM714,52.50748,3.90015,7750,286,66,-1792
680.0,484007,B744,KLM714,52.51791,3.93985,7175,284,70,-1920
700.0,484007,B744,KLM714,52.52046,3.98117,6650,290,96,-1408
720.0,484007,B744,KLM714,52.51265,4.02311,6125,292,111,-1664
740.0,484007,B744,KLM714,52.50174,4.06784,5725,292,112,-768
760.0,484007,B744,KLM714,52.49213,4.10591,5500,290,112,-704
780.0,484007,B744,KLM714,52.48118,4.14961,5250,285,112,-704
