time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484560,B77W,KLM808,52.63955,6.15022,24325,328,274,-256
20.0,484560,B77W,KLM808,52.64062,6.12564,24300,322,274,-192
80.0,484560,B77W,KLM808,52.64735,5.96298,22800,311,273,-1536
100.0,484560,B77W,KLM808,52.64872,5.93011,22450,309,273,-1536
120.0,484560,B77W,KLM808,52.65039,5.88954,22000,306,273,-1472
140.0,484560,B77W,KLM808,52.65212,5.84645,21550,304,273,-1472
160.0,484560,B77W,KLM808,52.65491,5.77576,20800,298,273,-1472
180.0,484560,B77W,KLM808,52.65555,5.7592,20625,297,273,-1472
200.0,484560,B77W,KLM808,52.65742,5.71368,20125,294,273,-1472
220.0,484560,B77W,KLM808,52.65921,5.66849,19625,292,273,-1472
240.0,484560,B77W,KLM808,52.66081,5.62592,19175,289,273,-1408
260.0,484560,B77W,KLM808,52.66255,5.58167,18700,286,273,-1408
280.0,484560,B77W,KLM808,52.66417,5.53758,18225,284,273,-1408
300.0,484560,B77W,KLM808,52.66566,5.49637,17775,281,273,-1408
320.0,484560,B77W,KLM808,52.66731,5.45326,17300,279,273,-1408
340.0,484560,B77W,KLM808,52.66891,5.411,16850,276,273,-1408
360.0,484560,B77W,KLM808,52.67043,5.36926,16375,272,273,-1344
380.0,484560,B77W,KLM808,52.6719,5.32837,15925,270,273,-1472
400.0,484560,B77W,KLM808,52.67336,5.28679,15450,267,273,-1472
420.0,484560,B77W,KLM808,52.67477,5.24712,14975,265,273,-1408
440.0,484560,B77W,KLM808,52.67609,5.20744,14525,263,273,-1536
460.0,484560,B77W,KLM808,52.67749,5.16765,14025,262,273,-1536
480.0,484560,B77W,KLM808,52.67884,5.12755,13525,263,273,-1536
500.0,484560,B77W,KLM808,52.68027,5.08789,13025,262,273,-1344
520.0,484560,B77W,KLM808,52.68163,5.04728,12525,262,273,-1536
540.0,484560,B77W,KLM808,52.68289,5.00733,12025,262,272,-1536
560.0,484560,B77W,KLM808,52.68419,4.96723,11525,262,273,-1472
580.0,484560,B77W,KLM808,52.6855,4.92807,11075,261,272,-1408
600.0,484560,B77W,KLM808,52.68675,4.88884,10600,259,273,-1472
620.0,484560,B77W,KLM808,52.68791,4.84962,10150,256,273,-832
640.0,484560,B77W,KLM808,52.68866,4.81162,9925,247,269,-1088
660.0,484560,B77W,KLM808,52.68843,4.77403,9500,246,269,-1344
680.0,484560,B77W,KLM808,52.68814,4.73595,9050,246,269,-1280
700.0,484560,B77W,KLM808,52.68819,4.69841,8600,246,270,-1408
720.0,484560,B77W,KLM808,52.68814,4.66133,8175,245,270,-1344
740.0,484560,B77W,KLM808,52.68814,4.62395,7725,245,270,-1344
760.0,484560,B77W,KLM808,52.6882,4.58687,7300,245,270,-1280
780.0,484560,B77W,KLM808,52.68582,4.54967,6850,244,251,-1280
800.0,484560,B77W,KLM808,52.67162,4.5215,6425,250,211,-1152
820.0,484560,B77W,KLM808,52.64904,4.51263,6050,261,180,-832
840.0,484560,B77W,KLM808,52.6252,4.51256,5700,255,179,-704
860.0,484560,B77W,KLM808,52.60286,4.52164,5525,247,149,-384
880.0,484560,B77W,KLM808,52.5872,4.54865,5275,249,116,-1472
