time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484C5A,B738,TRA34J,51.21158,3.47339,24950,399,41,-1536
20.0,484C5A,B738,TRA34J,51.24047,3.51433,24575,397,41,-1024
40.0,484C5A,B738,TRA34J,51.26561,3.54935,24275,395,41,-1024
60.0,484C5A,B738,TRA34J,51.29343,3.59001,23900,393,41,-1344
80.0,484C5A,B738,TRA34J,51.32007,3.62823,23200,388,41,-2368
100.0,484C5A,B738,TRA34J,51.34653,3.66624,22425,383,41,-2368
120.0,484C5A,B738,TRA34J,51.37285,3.70388,21625,380,41,-2368
140.0,484C5A,B738,TRA34J,51.39995,3.74129,20800,376,41,-2432
160.0,484C5A,B738,TRA34J,51.43327,3.78895,20175,363,41,-1024
180.0,484C5A,B738,TRA34J,51.45204,3.81723,19950,352,42,-960
200.0,484C5A,B738,TRA34J,51.47388,3.84789,19650,339,41,-960
220.0,484C5A,B738,TRA34J,51.49681,3.8807,19225,330,41,-2112
240.0,484C5A,B738,TRA34J,51.51924,3.91336,18725,325,42,-1280
260.0,484C5A,B738,TRA34J,51.54112,3.94535,18250,320,41,-1536
280.0,484C5A,B738,TRA34J,51.56314,3.97698,17700,317,41,-1728
300.0,484C5A,B738,TRA34J,51.58754,4.01097,17050,315,38,-1984
320.0,484C5A,B738,TRA34J,51.61006,4.02953,16500,301,20,-1728
340.0,484C5A,B738,TRA34J,51.63647,4.03941,15950,291,11,-1728
360.0,484C5A,B738,TRA34J,51.66246,4.04762,15450,288,11,-1536
380.0,484C5A,B738,TRA34J,51.68849,4.0564,14950,285,11,-1536
400.0,484C5A,B738,TRA34J,51.71446,4.06509,14400,285,11,-1792
420.0,484C5A,B738,TRA34J,51.74112,4.07437,13850,284,11,-1600
440.0,484C5A,B738,TRA34J,51.76607,4.08291,13375,279,11,-1600
460.0,484C5A,B738,TRA34J,51.79156,4.09152,12800,279,11,-1728
480.0,484C5A,B738,TRA34J,51.8166,4.09973,12275,279,11,-1280
500.0,484C5A,B738,TRA34J,51.84174,4.10866,11775,276,11,-1536
520.0,484C5A,B738,TRA34J,51.86659,4.11667,11275,275,11,-1472
540.0,484C5A,B738,TRA34J,51.89136,4.12491,10825,270,12,-1472
560.0,484C5A,B738,TRA34J,51.91506,4.13941,10325,277,27,-1472
580.0,484C5A,B738,TRA34J,51.93582,4.16445,9900,282,42,-1408
600.0,484C5A,B738,TRA34J,51.95544,4.19441,9325,284,41,-1536
620.0,484C5A,B738,TRA34J,51.97481,4.22272,8925,280,42,-1024
640.0,484C5A,B738,TRA34J,51.99368,4.24912,8550,274,41,-1472
660.0,484C5A,B738,TRA34J,52.0128,4.27803,8000,276,41,-1600
680.0,484C5A,B738,TRA34J,52.02729,4.31104,7400,290,69,-1664
700.0,484C5A,B738,TRA34J,52.03162,4.35404,6950,290,82,-1024
720.0,484C5A,B738,TRA34J,52.0351,4.39926,6475,288,82,-1408
740.0,484C5A,B738,TRA34J,52.03853,4.44191,6025,286,82,-1472
760.0,484C5A,B738,TRA34J,52.04164,4.48456,5600,283,83,-1152
780.0,484C5A,B738,TRA34J,52.04471,4.52675,5200,280,83,-1088
