time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,48418A,B739,KLM12H,51.0719,3.55667,24975,429,20,-1408
20.0,48418A,B739,KLM12H,51.08134,3.56224,24850,429,20,-1728
40.0,48418A,B739,KLM12H,51.11742,3.58459,24375,422,21,-1536
60.0,48418A,B739,KLM12H,51.16132,3.61116,23750,413,20,-1856
80.0,48418A,B739,KLM12H,51.19154,3.62953,23275,408,20,-1536
100.0,48418A,B739,KLM12H,51.22571,3.65097,22750,403,20,-1600
120.0,48418A,B739,KLM12H,51.26132,3.66745,22175,396,14,-2240
140.0,48418A,B739,KLM12H,51.3121,3.68807,21250,388,14,-1984
160.0,48418A,B739,KLM12H,51.33171,3.69576,20950,383,14,-1088
180.0,48418A,B739,KLM12H,51.36593,3.69911,20650,351,350,-768
200.0,48418A,B739,KLM12H,51.39381,3.68628,20400,328,342,-1728
220.0,48418A,B739,KLM12H,51.42535,3.6704,19900,321,342,-1088
240.0,48418A,B739,KLM12H,51.45058,3.65778,19525,314,342,-1344
260.0,48418A,B739,KLM12H,51.47845,3.64382,19100,309,342,-1536
280.0,48418A,B739,KLM12H,51.5067,3.63016,18600,310,342,-1536
300.0,48418A,B739,KLM12H,51.53302,3.61673,18100,311,343,-1600
320.0,48418A,B739,KLM12H,51.56085,3.60322,17600,310,343,-1536
340.0,48418A,B739,KLM12H,51.58823,3.58986,17150,309,343,-1344
360.0,48418A,B739,KLM12H,51.61588,3.57657,16700,307,343,-1280
380.0,48418A,B739,KLM12H,51.64293,3.56365,16275,304,343,-1216
400.0,48418A,B739,KLM12H,51.66939,3.55081,15875,300,343,-1280
420.0,48418A,B739,KLM12H,51.69594,3.53782,15400,299,342,-1536
440.0,48418A,B739,KLM12H,51.72569,3.52654,14875,310,359,-1472
460.0,48418A,B739,KLM12H,51.75055,3.53841,14450,319,31,-1472
480.0,48418A,B739,KLM12H,51.77147,3.57182,13950,318,57,-1536
500.0,48418A,B739,KLM12H,51.78278,3.6148,13500,311,68,-1216
520.0,48418A,B739,KLM12H,51.79367,3.658,13075,309,67,-1408
540.0,48418A,B739,KLM12H,51.80493,3.7012,12775,322,67,-704
560.0,48418A,B739,KLM12H,51.8167,3.74649,12525,335,67,-768
580.0,48418A,B739,KLM12H,51.82837,3.7934,12250,339,67,-896
600.0,48418A,B739,KLM12H,51.84041,3.84032,11875,337,67,-1152
620.0,48418A,B739,KLM12H,51.85185,3.88671,11500,333,68,-1216
640.0,48418A,B739,KLM12H,51.8633,3.93296,11100,331,68,-1216
660.0,48418A,B739,KLM12H,51.87492,3.97883,10700,329,68,-1216
680.0,48418A,B739,KLM12H,51.88618,4.02456,10300,328,68,-1280
700.0,48418A,B739,KLM12H,51.89749,4.07036,9925,328,68,-960
720.0,48418A,B739,KLM12H,51.90944,4.11545,9600,327,62,-960
740.0,48418A,B739,KLM12H,51.92775,4.15344,9300,322,41,-960
760.0,48418A,B739,KLM12H,51.95398,4.17557,8950,311,19,-1024
780.0,48418A,B739,KLM12H,51.98103,4.19106,8625,309,19,-1024
800.0,48418A,B739,KLM12H,52.0074,4.20624,8300,307,18,-1024
820.0,48418A,B739,KLM12H,52.03445,4.22127,7950,306,19,-960
840.0,48418A,B739,KLM12H,52.06133,4.2363,7650,306,18,-960
860.0,48418A,B739,KLM12H,52.08842,4.2511,7300,307,18,-1024
880.0,48418A,B739,KLM12H,52.1153,4.26605,6975,303,19,-1024
900.0,48418A,B739,KLM12H,52.14198,4.28123,6625,302,19,-1024
920.0,48418A,B739,KLM12H,52.16867,4.29649,6275,301,19,-896
940.0,48418A,B739,KLM12H,52.19426,4.31175,5975,298,19,-1088
960.0,48418A,B739,KLM12H,52.21985,4.32709,5625,296,20,-960
980.0,48418A,B739,KLM12H,52.24557,4.34258,5300,292,20,-1024
