time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4CA737,B738,RYR3LN,50.88364,3.61673,24950,316,23,-1024
20.0,4CA737,B738,RYR3LN,50.89635,3.62556,24800,313,23,-1024
40.0,4CA737,B738,RYR3LN,50.91733,3.64033,24525,312,23,-1024
60.0,4CA737,B738,RYR3LN,50.94211,3.65807,24200,312,24,-1024
80.0,4CA737,B738,RYR3LN,50.97698,3.68332,23525,305,24,-1600
100.0,4CA737,B738,RYR3LN,50.9978,3.69831,23100,302,24,-1600
120.0,4CA737,B738,RYR3LN,51.01877,3.7133,22675,299,24,-1600
140.0,4CA737,B738,RYR3LN,51.04518,3.7323,22100,296,24,-1472
160.0,4CA737,B738,RYR3LN,51.06785,3.75511,21775,298,38,-960
180.0,4CA737,B738,RYR3LN,51.09048,3.79288,21350,307,49,-1152
200.0,4CA737,B738,RYR3LN,51.1057,3.82111,21050,306,49,-1088
220.0,4CA737,B738,RYR3LN,51.12362,3.85429,20700,307,49,-1088
240.0,4CA737,B738,RYR3LN,51.14287,3.8902,20325,309,49,-1088
260.0,4CA737,B738,RYR3LN,51.16091,3.9238,19950,309,49,-1088
280.0,4CA737,B738,RYR3LN,51.18013,3.95946,19575,302,49,-1088
300.0,4CA737,B738,RYR3LN,51.19745,3.9917,19225,303,49,-1088
320.0,4CA737,B738,RYR3LN,51.21617,4.02664,18850,305,49,-1088
340.0,4CA737,B738,RYR3LN,51.23432,4.06067,18500,304,49,-1088
360.0,4CA737,B738,RYR3LN,51.25266,4.09515,18125,302,49,-1088
380.0,4CA737,B738,RYR3LN,51.27031,4.12834,17750,301,49,-1088
400.0,4CA737,B738,RYR3LN,51.28899,4.16345,17375,298,49,-1152
420.0,4CA737,B738,RYR3LN,51.30583,4.1951,17025,297,49,-1088
440.0,4CA737,B738,RYR3LN,51.32382,4.22899,16650,295,49,-1088
460.0,4CA737,B738,RYR3LN,51.34153,4.26239,16275,292,49,-1152
480.0,4CA737,B738,RYR3LN,51.35843,4.29424,15925,289,49,-1088
500.0,4CA737,B738,RYR3LN,51.37582,4.32713,15550,289,49,-1088
520.0,4CA737,B738,RYR3LN,51.3929,4.35935,15175,290,49,-1088
540.0,4CA737,B738,RYR3LN,51.4119,4.39513,14800,291,49,-1088
560.0,4CA737,B738,RYR3LN,51.42828,4.42578,14450,292,49,-1088
580.0,4CA737,B738,RYR3LN,51.4459,4.45908,14075,296,50,-1024
600.0,4CA737,B738,RYR3LN,51.46321,4.49259,13725,294,50,-1088
620.0,4CA737,B738,RYR3LN,51.48063,4.52629,13350,293,50,-1088
640.0,4CA737,B738,RYR3LN,51.49771,4.55849,13000,288,49,-1088
660.0,4CA737,B738,RYR3LN,51.51545,4.59229,12625,284,50,-1088
680.0,4CA737,B738,RYR3LN,51.53146,4.62346,12275,280,50,-1088
700.0,4CA737,B738,RYR3LN,51.54799,4.65523,11900,278,50,-1088
720.0,4CA737,B738,RYR3LN,51.56461,4.68715,11525,277,50,-1088
740.0,4CA737,B738,RYR3LN,51.58123,4.72107,11150,279,57,-1344
760.0,4CA737,B738,RYR3LN,51.59125,4.7599,10550,296,75,-1792
780.0,4CA737,B738,RYR3LN,51.59674,4.80117,10125,294,78,-1472
800.0,4CA737,B738,RYR3LN,51.60236,4.84352,9650,291,77,-1344
820.0,4CA737,B738,RYR3LN,51.60809,4.88579,9250,286,77,-1536
840.0,4CA737,B738,RYR3LN,51.61359,4.92707,8750,285,78,-1472
860.0,4CA737,B738,RYR3LN,51.61876,4.96782,8375,274,78,-896
880.0,4CA737,B738,RYR3LN,51.62406,5.00755,8200,259,77,-576
900.0,4CA737,B738,RYR3LN,51.62938,5.04421,7925,252,76,-832
920.0,4CA737,B738,RYR3LN,51.63556,5.08741,7500,250,79,-1280
940.0,4CA737,B738,RYR3LN,51.6362,5.11725,7175,259,96,-1216
960.0,4CA737,B738,RYR3LN,51.63002,5.15704,6750,262,105,-1152
980.0,4CA737,B738,RYR3LN,51.62352,5.19772,6325,262,101,-1152
1000.0,4CA737,B738,RYR3LN,51.62187,5.23071,6025,257,90,-1088
1020.0,4CA737,B738,RYR3LN,51.62141,5.27114,5625,256,91,-1024
1040.0,4CA737,B738,RYR3LN,51.62075,5.31479,5200,254,91,-1088
