time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,AA6B9F,B772,UAL20,52.81403,2.54875,24900,425,107,-2048
20.0,AA6B9F,B772,UAL20,52.80286,2.60536,24275,424,108,-1984
40.0,AA6B9F,B772,UAL20,52.7926,2.65724,23725,423,108,-1984
60.0,AA6B9F,B772,UAL20,52.7791,2.72537,22875,422,108,-2816
80.0,AA6B9F,B772,UAL20,52.76825,2.78023,22100,422,108,-2240
100.0,AA6B9F,B772,UAL20,52.75588,2.84287,21325,418,108,-2304
120.0,AA6B9F,B772,UAL20,52.74355,2.90455,20550,415,108,-2240
140.0,AA6B9F,B772,UAL20,52.7325,2.96013,19850,411,108,-2304
160.0,AA6B9F,B772,UAL20,52.7206,3.01956,19075,404,108,-2240
180.0,AA6B9F,B772,UAL20,52.709,3.07743,18350,398,108,-2176
200.0,AA6B9F,B772,UAL20,52.69753,3.13416,17625,395,108,-2112
220.0,AA6B9F,B772,UAL20,52.6861,3.19051,16925,394,108,-2176
240.0,AA6B9F,B772,UAL20,52.67381,3.25111,16150,387,108,-2112
260.0,AA6B9F,B772,UAL20,52.66315,3.30376,15475,369,108,-2048
280.0,AA6B9F,B772,UAL20,52.65285,3.35403,14825,354,108,-1920
300.0,AA6B9F,B772,UAL20,52.64239,3.40506,14175,332,108,-1856
320.0,AA6B9F,B772,UAL20,52.6328,3.45183,13575,324,108,-1792
340.0,AA6B9F,B772,UAL20,52.6235,3.49701,13000,320,108,-1664
360.0,AA6B9F,B772,UAL20,52.61329,3.54639,12375,316,108,-1792
380.0,AA6B9F,B772,UAL20,52.60455,3.58887,11825,311,109,-1728
400.0,AA6B9F,B772,UAL20,52.59489,3.63518,11250,308,108,-1728
420.0,AA6B9F,B772,UAL20,52.58601,3.67791,10700,305,108,-1664
440.0,AA6B9F,B772,UAL20,52.57661,3.72327,10125,301,108,-1664
460.0,AA6B9F,B772,UAL20,52.56809,3.76447,9600,295,108,-1600
480.0,AA6B9F,B772,UAL20,52.55952,3.80543,9075,291,108,-1600
500.0,AA6B9F,B772,UAL20,52.55007,3.85024,8500,292,109,-1600
520.0,AA6B9F,B772,UAL20,52.54197,3.88908,8000,293,108,-1600
540.0,AA6B9F,B772,UAL20,52.53314,3.93158,7450,291,108,-1600
560.0,AA6B9F,B772,UAL20,52.52971,3.97522,7000,291,86,-960
580.0,AA6B9F,B772,UAL20,52.53262,4.01794,6775,289,83,-768
600.0,AA6B9F,B772,UAL20,52.53569,4.06125,6375,286,83,-1344
620.0,AA6B9F,B772,UAL20,52.53877,4.1053,5875,289,83,-1664
640.0,AA6B9F,B772,UAL20,52.54152,4.14864,5350,293,84,-1472
