time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4CA213,A320,EIN60A,52.8049,2.44948,24975,384,106,-704
20.0,4CA213,A320,EIN60A,52.80396,2.45506,24950,383,105,-768
40.0,4CA213,A320,EIN60A,52.79368,2.52929,24475,369,101,-1280
60.0,4CA213,A320,EIN60A,52.78802,2.57393,24025,365,101,-1920
80.0,4CA213,A320,EIN60A,52.78237,2.61789,23500,365,101,-1984
100.0,4CA213,A320,EIN60A,52.77493,2.67578,22875,364,102,-1536
120.0,4CA213,A320,EIN60A,52.76797,2.72903,22275,360,101,-1984
140.0,4CA213,A320,EIN60A,52.76106,2.78137,21675,360,102,-1344
160.0,4CA213,A320,EIN60A,52.75388,2.83607,21250,353,102,-1792
180.0,4CA213,A320,EIN60A,52.74666,2.89042,20575,354,102,-1600
200.0,4CA213,A320,EIN60A,52.73987,2.94182,20100,348,102,-1408
220.0,4CA213,A320,EIN60A,52.73088,2.99801,19575,340,112,-1536
240.0,4CA213,A320,EIN60A,52.71721,3.03986,19100,330,120,-1344
260.0,4CA213,A320,EIN60A,52.70197,3.08276,18650,327,120,-1408
280.0,4CA213,A320,EIN60A,52.68712,3.12506,18175,328,120,-1408
300.0,4CA213,A320,EIN60A,52.67253,3.16635,17675,329,120,-1472
320.0,4CA213,A320,EIN60A,52.65682,3.21107,17150,327,119,-1408
340.0,4CA213,A320,EIN60A,52.64211,3.25321,16625,323,120,-1728
360.0,4CA213,A320,EIN60A,52.62372,3.30532,15925,319,120,-1728
380.0,4CA213,A320,EIN60A,52.61138,3.34031,15450,319,120,-1856
400.0,4CA213,A320,EIN60A,52.59531,3.38593,14800,319,120,-1792
420.0,4CA213,A320,EIN60A,52.58531,3.41942,14350,322,109,-1728
440.0,4CA213,A320,EIN60A,52.57894,3.4705,13825,325,99,-1280
460.0,4CA213,A320,EIN60A,52.5733,3.52661,13350,318,99,-1216
480.0,4CA213,A320,EIN60A,52.56926,3.5659,13000,315,99,-1216
500.0,4CA213,A320,EIN60A,52.56454,3.61107,12650,314,99,-1088
520.0,4CA213,A320,EIN60A,52.55946,3.65807,12250,314,100,-1216
540.0,4CA213,A320,EIN60A,52.55422,3.70655,11825,312,99,-1152
560.0,4CA213,A320,EIN60A,52.5493,3.75206,11475,313,100,-1152
580.0,4CA213,A320,EIN60A,52.54399,3.80035,11075,315,100,-1152
600.0,4CA213,A320,EIN60A,52.53895,3.84576,10675,311,100,-1280
620.0,4CA213,A320,EIN60A,52.53364,3.8945,10250,305,100,-1152
640.0,4CA213,A320,EIN60A,52.52857,3.94087,9875,307,100,-1152
660.0,4CA213,A320,EIN60A,52.52224,3.98199,9475,303,110,-1280
680.0,4CA213,A320,EIN60A,52.51051,4.02971,9050,300,112,-1088
700.0,4CA213,A320,EIN60A,52.50324,4.06706,8625,304,98,-1792
720.0,4CA213,A320,EIN60A,52.50764,4.11285,8100,313,65,-1216
740.0,4CA213,A320,EIN60A,52.52461,4.15111,7750,306,49,-1152
760.0,4CA213,A320,EIN60A,52.54337,4.18603,7250,304,48,-1664
780.0,4CA213,A320,EIN60A,52.56213,4.2211,6675,306,48,-1792
800.0,4CA213,A320,EIN60A,52.5965,4.28535,6025,307,48,-64
820.0,4CA213,A320,EIN60A,52.6051,4.30168,5975,305,49,-704
840.0,4CA213,A320,EIN60A,52.61739,4.32555,5750,304,51,-1472
860.0,4CA213,A320,EIN60A,52.62831,4.36783,5150,303,82,-1536
