time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,485A32,B738,KLM74S,51.06459,3.45876,24275,448,36,-2048
20.0,485A32,B738,KLM74S,51.07972,3.47626,23975,447,36,-1984
40.0,485A32,B738,KLM74S,51.11813,3.52081,23200,443,36,-1984
60.0,485A32,B738,KLM74S,51.14758,3.55489,22625,440,36,-1984
80.0,485A32,B738,KLM74S,51.17935,3.59171,21975,438,36,-1664
100.0,485A32,B738,KLM74S,51.2108,3.62757,21650,433,33,-960
120.0,485A32,B738,KLM74S,51.24563,3.65715,21325,424,23,-960
140.0,485A32,B738,KLM74S,51.28596,3.6779,20800,410,14,-1600
160.0,485A32,B738,KLM74S,51.32277,3.69319,20275,405,14,-1600
180.0,485A32,B738,KLM74S,51.35741,3.70758,19750,399,14,-1600
200.0,485A32,B738,KLM74S,51.39496,3.7231,19125,395,14,-1728
220.0,485A32,B738,KLM74S,51.425,3.73535,18625,391,14,-1792
240.0,485A32,B738,KLM74S,51.46019,3.74968,18050,389,14,-1728
260.0,485A32,B738,KLM74S,51.4966,3.76457,17425,383,14,-1728
280.0,485A32,B738,KLM74S,51.5289,3.77777,16900,379,14,-1728
300.0,485A32,B738,KLM74S,51.56405,3.79234,16300,375,14,-1728
320.0,485A32,B738,KLM74S,51.59674,3.80595,15750,371,14,-1664
340.0,485A32,B738,KLM74S,51.63099,3.82004,15175,365,15,-1536
360.0,485A32,B738,KLM74S,51.66116,3.83934,14650,368,26,-1408
380.0,485A32,B738,KLM74S,51.68999,3.86808,14050,371,35,-2176
400.0,485A32,B738,KLM74S,51.71744,3.9006,13475,369,36,-1344
420.0,485A32,B738,KLM74S,51.74495,3.93311,13050,360,36,-1536
440.0,485A32,B738,KLM74S,51.77154,3.96477,12550,355,36,-1344
460.0,485A32,B738,KLM74S,51.79765,3.99574,12050,350,36,-1600
480.0,485A32,B738,KLM74S,51.82448,4.02745,11450,347,36,-1856
500.0,485A32,B738,KLM74S,51.84915,4.0567,10900,346,36,-1600
520.0,485A32,B738,KLM74S,51.87529,4.0878,10375,343,36,-1280
540.0,485A32,B738,KLM74S,51.9017,4.11972,9875,338,36,-832
560.0,485A32,B738,KLM74S,51.92432,4.14894,9700,324,37,-704
580.0,485A32,B738,KLM74S,51.95081,4.16986,9300,313,20,-1280
600.0,485A32,B738,KLM74S,51.97728,4.18549,8900,310,20,-1216
620.0,485A32,B738,KLM74S,52.00406,4.20151,8500,308,20,-1152
640.0,485A32,B738,KLM74S,52.03102,4.21738,8050,306,19,-1408
660.0,485A32,B738,KLM74S,52.05757,4.23271,7575,306,19,-1344
680.0,485A32,B738,KLM74S,52.08418,4.24755,7200,303,18,-1344
700.0,485A32,B738,KLM74S,52.11095,4.26246,6725,303,18,-1216
720.0,485A32,B738,KLM74S,52.13736,4.27681,6325,299,18,-1152
740.0,485A32,B738,KLM74S,52.16359,4.29131,5950,296,18,-1280
760.0,485A32,B738,KLM74S,52.18886,4.30557,5550,294,19,-1088
780.0,485A32,B738,KLM74S,52.21445,4.32007,5100,292,18,-1408
