time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484164,B738,KLM90A,50.81905,4.5859,24900,346,340,-2112
20.0,484164,B738,KLM90A,50.82578,4.58168,24800,344,340,-1152
40.0,484164,B738,KLM90A,50.86763,4.55788,24350,341,338,-960
60.0,484164,B738,KLM90A,50.88835,4.54092,24100,341,329,-1024
80.0,484164,B738,KLM90A,50.91479,4.50928,23750,342,317,-1024
100.0,484164,B738,KLM90A,50.93074,4.48131,23500,342,308,-1024
120.0,484164,B738,KLM90A,50.95994,4.42497,23000,337,308,-1024
140.0,484164,B738,KLM90A,50.97052,4.40388,22825,335,308,-1024
160.0,484164,B738,KLM90A,50.98947,4.36566,22500,332,308,-1024
180.0,484164,B738,KLM90A,51.00906,4.32728,22175,332,308,-960
200.0,484164,B738,KLM90A,51.02742,4.2892,21850,330,308,-960
220.0,484164,B738,KLM90A,51.04642,4.25119,21525,328,308,-1024
240.0,484164,B738,KLM90A,51.07027,4.20403,21100,324,309,-1088
260.0,484164,B738,KLM90A,51.08708,4.17122,20775,317,309,-1088
280.0,484164,B738,KLM90A,51.103,4.14058,20475,315,308,-1024
300.0,484164,B738,KLM90A,51.12108,4.1048,20150,312,309,-1024
320.0,484164,B738,KLM90A,51.14099,4.06583,19775,311,309,-1024
340.0,484164,B738,KLM90A,51.15877,4.03214,19450,311,309,-1024
360.0,484164,B738,KLM90A,51.17596,3.99858,19150,311,309,-960
380.0,484164,B738,KLM90A,51.19427,3.96302,18825,311,309,-1024
400.0,484164,B738,KLM90A,51.21291,3.92553,18475,310,308,-960
420.0,484164,B738,KLM90A,51.22993,3.89154,18175,308,308,-960
440.0,484164,B738,KLM90A,51.2477,3.85598,17850,306,308,-1024
460.0,484164,B738,KLM90A,51.26733,3.82287,17525,300,320,-1024
480.0,484164,B738,KLM90A,51.28844,3.79481,17200,302,321,-960
500.0,484164,B738,KLM90A,51.31046,3.76683,16850,300,321,-1024
520.0,484164,B738,KLM90A,51.33255,3.73764,16525,297,321,-1024
540.0,484164,B738,KLM90A,51.35367,3.71145,16175,295,321,-1024
560.0,484164,B738,KLM90A,51.37579,3.68462,15850,290,334,-896
580.0,484164,B738,KLM90A,51.40379,3.68101,15500,295,12,-1024
600.0,484164,B738,KLM90A,51.42691,3.69452,15200,297,20,-1024
620.0,484164,B738,KLM90A,51.45337,3.7093,14875,297,18,-1024
640.0,484164,B738,KLM90A,51.47919,3.72333,14550,294,18,-1024
660.0,484164,B738,KLM90A,51.505,3.73721,14200,294,18,-1024
680.0,484164,B738,KLM90A,51.53174,3.75183,13875,294,19,-960
700.0,484164,B738,KLM90A,51.55573,3.76942,13550,299,30,-1024
720.0,484164,B738,KLM90A,51.5788,3.79303,13225,297,32,-1024
740.0,484164,B738,KLM90A,51.60205,3.81641,12900,292,32,-1024
760.0,484164,B738,KLM90A,51.62521,3.83942,12550,287,32,-1024
780.0,484164,B738,KLM90A,51.64742,3.86207,12225,286,32,-1088
800.0,484164,B738,KLM90A,51.67017,3.88493,11900,289,32,-960
820.0,484164,B738,KLM90A,51.69287,3.90794,11575,288,32,-1024
840.0,484164,B738,KLM90A,51.71494,3.9308,11250,285,32,-1024
860.0,484164,B738,KLM90A,51.73723,3.95352,10925,283,32,-1024
880.0,484164,B738,KLM90A,51.75966,3.97571,10550,275,31,-1088
900.0,484164,B738,KLM90A,51.78067,3.99724,10200,269,32,-1088
920.0,484164,B738,KLM90A,51.80154,4.01884,9825,265,32,-1088
940.0,484164,B738,KLM90A,51.82228,4.04,9475,263,32,-1024
960.0,484164,B738,KLM90A,51.84306,4.06078,9150,262,31,-1024
980.0,484164,B738,KLM90A,51.8638,4.08187,8825,264,32,-960
1000.0,484164,B738,KLM90A,51.88422,4.10317,8500,266,32,-960
1020.0,484164,B738,KLM90A,51.9055,4.12392,8150,262,25,-896
1040.0,484164,B738,KLM90A,51.92816,4.13666,7825,257,17,-960
1060.0,484164,B738,KLM90A,51.95064,4.14879,7500,257,18,-960
1080.0,484164,B738,KLM90A,51.97334,4.16115,7150,258,18,-960
1100.0,484164,B738,KLM90A,51.99596,4.17313,6825,255,18,-1024
1120.0,484164,B738,KLM90A,52.01862,4.18503,6475,256,17,-960
1140.0,484164,B738,KLM90A,52.04141,4.19678,6150,258,17,-960
1160.0,484164,B738,KLM90A,52.06389,4.20845,5825,249,17,-640
1180.0,484164,B738,KLM90A,52.08513,4.21982,5650,236,18,-384
1200.0,484164,B738,KLM90A,52.10545,4.23073,5475,226,18,-512
1220.0,484164,B738,KLM90A,52.12505,4.24141,5300,221,18,-576
1240.0,484164,B738,KLM90A,52.14441,4.25201,5125,220,18,-512
