time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484442,B738,KLM46G,50.89865,4.54062,24900,358,342,-1088
20.0,484442,B738,KLM46G,50.93069,4.52748,24525,355,346,-1152
40.0,484442,B738,KLM46G,50.95105,4.5192,24275,353,345,-1408
60.0,484442,B738,KLM46G,50.98123,4.50722,23775,350,345,-1536
80.0,484442,B738,KLM46G,51.01904,4.49244,23175,348,346,-1536
100.0,484442,B738,KLM46G,51.04262,4.48311,22800,348,346,-1472
120.0,484442,B738,KLM46G,51.07353,4.47075,22325,347,346,-1408
140.0,484442,B738,KLM46G,51.10789,4.45732,21825,345,346,-1408
160.0,484442,B738,KLM46G,51.13449,4.44694,21425,344,346,-1408
180.0,484442,B738,KLM46G,51.16534,4.43469,20950,341,345,-1408
200.0,484442,B738,KLM46G,51.20197,4.41977,20400,339,346,-1408
220.0,484442,B738,KLM46G,51.22632,4.41012,20000,336,346,-1472
240.0,484442,B738,KLM46G,51.259,4.39713,19500,334,346,-1344
260.0,484442,B738,KLM46G,51.2899,4.3854,19075,332,346,-1280
280.0,484442,B738,KLM46G,51.31631,4.37486,18700,330,346,-1280
300.0,484442,B738,KLM46G,51.34616,4.36358,18250,327,346,-1344
320.0,484442,B738,KLM46G,51.37654,4.35219,17800,325,347,-1344
340.0,484442,B738,KLM46G,51.40517,4.3412,17400,323,346,-1344
360.0,484442,B738,KLM46G,51.4335,4.33017,16950,321,345,-1344
380.0,484442,B738,KLM46G,51.46387,4.3177,16525,321,345,-1280
400.0,484442,B738,KLM46G,51.49031,4.30642,16125,318,345,-1344
420.0,484442,B738,KLM46G,51.51897,4.29469,15675,317,345,-1344
440.0,484442,B738,KLM46G,51.54739,4.28303,15250,314,345,-1344
460.0,484442,B738,KLM46G,51.57582,4.27153,14800,313,345,-1344
480.0,484442,B738,KLM46G,51.60397,4.25987,14375,310,345,-1280
500.0,484442,B738,KLM46G,51.63248,4.24782,13950,308,345,-1344
520.0,484442,B738,KLM46G,51.65886,4.23716,13525,305,345,-1280
540.0,484442,B738,KLM46G,51.68642,4.22602,13125,303,345,-1216
560.0,484442,B738,KLM46G,51.71442,4.2144,12700,304,345,-1216
580.0,484442,B738,KLM46G,51.74062,4.20383,12325,303,345,-1216
600.0,484442,B738,KLM46G,51.76804,4.19255,11925,302,345,-1152
620.0,484442,B738,KLM46G,51.79514,4.18141,11575,302,346,-1024
640.0,484442,B738,KLM46G,51.82219,4.17035,11200,300,345,-1152
660.0,484442,B738,KLM46G,51.84883,4.15914,10850,301,345,-1088
680.0,484442,B738,KLM46G,51.87625,4.14942,10475,300,355,-1152
700.0,484442,B738,KLM46G,51.90385,4.1552,10075,294,11,-1088
720.0,484442,B738,KLM46G,51.93022,4.16405,9800,284,11,-704
740.0,484442,B738,KLM46G,51.95535,4.17297,9575,278,12,-640
760.0,484442,B738,KLM46G,51.98026,4.18175,9175,277,12,-1536
780.0,484442,B738,KLM46G,52.0052,4.19044,8675,279,11,-1536
800.0,484442,B738,KLM46G,52.03061,4.19907,8175,279,11,-1600
820.0,484442,B738,KLM46G,52.05638,4.20769,7625,278,12,-1600
840.0,484442,B738,KLM46G,52.08165,4.21661,7125,278,12,-1536
860.0,484442,B738,KLM46G,52.10641,4.22577,6750,278,12,-1088
880.0,484442,B738,KLM46G,52.13141,4.23515,6375,277,13,-1088
900.0,484442,B738,KLM46G,52.15622,4.24515,6025,276,13,-1088
920.0,484442,B738,KLM46G,52.1808,4.25522,5675,271,13,-960
940.0,484442,B738,KLM46G,52.20557,4.26483,5350,267,13,-1024
