time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,48418C,B739,KLM1706,50.96375,3.39559,24800,401,25,-1024
20.0,48418C,B739,KLM1706,50.99323,3.41853,24500,405,25,-960
40.0,48418C,B739,KLM1706,51.02838,3.44559,24175,407,25,-1024
60.0,48418C,B739,KLM1706,51.05452,3.46507,23900,406,25,-1024
80.0,48418C,B739,KLM1706,51.09196,3.49358,23550,410,25,-1088
100.0,48418C,B739,KLM1706,51.14314,3.53307,23025,415,25,-1024
120.0,48418C,B739,KLM1706,51.16352,3.54759,22825,417,25,-960
140.0,48418C,B739,KLM1706,51.20406,3.57956,22450,414,25,-1024
160.0,48418C,B739,KLM1706,51.22664,3.59683,22225,412,25,-1024
180.0,48418C,B739,KLM1706,51.25786,3.62051,21625,409,25,-2560
200.0,48418C,B739,KLM1706,51.2941,3.64807,20650,411,25,-2880
220.0,48418C,B739,KLM1706,51.34405,3.68782,19625,407,25,-1920
240.0,48418C,B739,KLM1706,51.36099,3.70087,19325,405,25,-1856
260.0,48418C,B739,KLM1706,51.39465,3.72673,18700,398,25,-1856
280.0,48418C,B739,KLM1706,51.42696,3.75072,18125,393,25,-1664
300.0,48418C,B739,KLM1706,51.46207,3.77818,17500,386,25,-1664
320.0,48418C,B739,KLM1706,51.49231,3.80188,16975,381,25,-1664
340.0,48418C,B739,KLM1706,51.52322,3.82532,16450,376,26,-1600
360.0,48418C,B739,KLM1706,51.5546,3.85101,15875,371,26,-1600
380.0,48418C,B739,KLM1706,51.58475,3.87372,15350,366,25,-1664
400.0,48418C,B739,KLM1706,51.61519,3.8974,14800,362,26,-1600
420.0,48418C,B739,KLM1706,51.64531,3.92086,14250,357,25,-1472
440.0,48418C,B739,KLM1706,51.6747,3.94409,13725,358,25,-1536
460.0,48418C,B739,KLM1706,51.7045,3.96703,13150,353,25,-1728
480.0,48418C,B739,KLM1706,51.73476,3.99117,12600,348,26,-1600
500.0,48418C,B739,KLM1706,51.76231,4.0129,12075,345,26,-1600
520.0,48418C,B739,KLM1706,51.79244,4.03687,11500,347,26,-1664
540.0,48418C,B739,KLM1706,51.81985,4.05863,10975,345,26,-1792
560.0,48418C,B739,KLM1706,51.84865,4.0809,10475,339,23,-1152
580.0,48418C,B739,KLM1706,51.87813,4.09441,10125,322,9,-1024
600.0,48418C,B739,KLM1706,51.90651,4.09821,9950,303,3,-832
620.0,48418C,B739,KLM1706,51.93448,4.1011,9600,298,3,-1024
640.0,48418C,B739,KLM1706,51.96181,4.10431,9250,296,4,-960
660.0,48418C,B739,KLM1706,51.989,4.10751,8925,293,3,-1024
680.0,48418C,B739,KLM1706,52.01605,4.11049,8575,286,4,-960
700.0,48418C,B739,KLM1706,52.04228,4.11362,8250,282,5,-768
720.0,48418C,B739,KLM1706,52.06787,4.12132,8225,285,14,64
740.0,48418C,B739,KLM1706,52.093,4.13567,8250,288,23,0
760.0,48418C,B739,KLM1706,52.11749,4.15398,8250,289,24,-64
780.0,48418C,B739,KLM1706,52.14175,4.17252,8250,290,25,0
800.0,48418C,B739,KLM1706,52.16583,4.19106,8250,286,25,0
820.0,48418C,B739,KLM1706,52.18987,4.20937,8250,287,24,0
840.0,48418C,B739,KLM1706,52.21453,4.22856,8250,289,24,0
860.0,48418C,B739,KLM1706,52.23878,4.24716,8250,289,24,0
880.0,48418C,B739,KLM1706,52.26289,4.2656,8250,286,25,0
900.0,48418C,B739,KLM1706,52.2865,4.28307,8250,284,25,0
920.0,48418C,B739,KLM1706,52.31026,4.3013,8250,286,24,0
940.0,48418C,B739,KLM1706,52.33443,4.31976,8100,288,25,0
960.0,48418C,B739,KLM1706,52.35878,4.33838,8100,288,25,0
980.0,48418C,B739,KLM1706,52.38304,4.35699,8125,289,25,0
1000.0,48418C,B739,KLM1706,52.40703,4.37576,8025,287,25,-1088
1020.0,48418C,B739,KLM1706,52.43088,4.39438,7600,285,25,-1024
1040.0,48418C,B739,KLM1706,52.45488,4.41336,7425,271,25,-384
1060.0,48418C,B739,KLM1706,52.47722,4.43055,7250,259,25,-704
1080.0,48418C,B739,KLM1706,52.49849,4.44687,7000,252,24,-896
1100.0,48418C,B739,KLM1706,52.51909,4.46228,6675,248,25,-1088
1120.0,48418C,B739,KLM1706,52.54062,4.47928,6275,246,25,-1216
1140.0,48418C,B739,KLM1706,52.5607,4.49463,5900,246,25,-1024
1160.0,48418C,B739,KLM1706,52.57846,4.51683,5575,253,55,-960
1180.0,48418C,B739,KLM1706,52.58401,4.55619,5200,262,92,-704
