time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4850F5,B77W,KLM590,51.01683,3.63716,24975,442,18,-2112
20.0,4850F5,B77W,KLM590,51.05063,3.65532,24375,439,18,-2048
40.0,4850F5,B77W,KLM590,51.0888,3.67607,23675,435,18,-2048
60.0,4850F5,B77W,KLM590,51.12758,3.69713,22975,431,18,-2048
80.0,4850F5,B77W,KLM590,51.16512,3.71754,22325,427,18,-1472
100.0,4850F5,B77W,KLM590,51.20234,3.73779,22000,424,18,-384
120.0,4850F5,B77W,KLM590,51.23949,3.75694,21625,416,17,-2048
140.0,4850F5,B77W,KLM590,51.2764,3.77455,20925,414,16,-2176
160.0,4850F5,B77W,KLM590,51.31233,3.79065,20225,412,15,-2176
180.0,4850F5,B77W,KLM590,51.34904,3.80661,19525,410,15,-1984
200.0,4850F5,B77W,KLM590,51.38576,3.8222,18875,407,14,-1920
220.0,4850F5,B77W,KLM590,51.42174,3.83728,18225,404,14,-1920
240.0,4850F5,B77W,KLM590,51.45791,3.85254,17600,401,14,-1920
260.0,4850F5,B77W,KLM590,51.49497,3.8681,16925,398,14,-1920
280.0,4850F5,B77W,KLM590,51.52863,3.88241,16325,396,14,-1856
300.0,4850F5,B77W,KLM590,51.56415,3.89755,15750,391,14,-1152
320.0,4850F5,B77W,KLM590,51.59901,3.91243,15425,380,14,-704
340.0,4850F5,B77W,KLM590,51.6319,3.92657,15250,365,15,-384
360.0,4850F5,B77W,KLM590,51.66408,3.94053,15075,355,15,-960
380.0,4850F5,B77W,KLM590,51.69571,3.95411,14825,352,14,-640
400.0,4850F5,B77W,KLM590,51.72656,3.96755,14375,349,15,-1536
420.0,4850F5,B77W,KLM590,51.75752,3.98109,13900,346,15,-1408
440.0,4850F5,B77W,KLM590,51.78825,3.99452,13450,341,14,-1408
460.0,4850F5,B77W,KLM590,51.8194,4.00793,12975,338,14,-1344
480.0,4850F5,B77W,KLM590,51.84901,4.02085,12525,334,15,-1408
500.0,4850F5,B77W,KLM590,51.87842,4.03366,12050,332,15,-1408
520.0,4850F5,B77W,KLM590,51.90797,4.04655,11575,329,15,-1408
540.0,4850F5,B77W,KLM590,51.93741,4.05945,11125,327,15,-1344
560.0,4850F5,B77W,KLM590,51.9665,4.07224,10675,323,15,-1344
580.0,4850F5,B77W,KLM590,51.99508,4.08472,10200,319,15,-1344
600.0,4850F5,B77W,KLM590,52.02429,4.09752,10000,318,15,-128
620.0,4850F5,B77W,KLM590,52.05148,4.10965,10025,310,16,128
640.0,4850F5,B77W,KLM590,52.07913,4.1259,9975,318,22,64
660.0,4850F5,B77W,KLM590,52.10582,4.14597,10000,318,25,0
680.0,4850F5,B77W,KLM590,52.13269,4.16633,10000,318,25,0
700.0,4850F5,B77W,KLM590,52.15915,4.18655,9975,312,25,64
720.0,4850F5,B77W,KLM590,52.18464,4.20612,10025,300,25,-128
740.0,4850F5,B77W,KLM590,52.20931,4.22487,10000,297,25,0
760.0,4850F5,B77W,KLM590,52.23398,4.24378,10000,297,25,0
780.0,4850F5,B77W,KLM590,52.25903,4.26285,10000,297,25,0
800.0,4850F5,B77W,KLM590,52.28444,4.28223,10000,298,25,0
820.0,4850F5,B77W,KLM590,52.30898,4.30107,9700,294,24,-1280
840.0,4850F5,B77W,KLM590,52.333,4.31951,9375,280,25,-960
860.0,4850F5,B77W,KLM590,52.35599,4.33723,9075,263,25,-1280
880.0,4850F5,B77W,KLM590,52.37782,4.35402,8600,259,25,-1472
900.0,4850F5,B77W,KLM590,52.39966,4.37073,8075,258,24,-1536
920.0,4850F5,B77W,KLM590,52.42168,4.3819,7650,252,7,-832
940.0,4850F5,B77W,KLM590,52.44649,4.38545,7275,248,4,-1024
960.0,4850F5,B77W,KLM590,52.46759,4.38805,6975,246,4,-960
980.0,4850F5,B77W,KLM590,52.49011,4.39079,6625,244,4,-1024
1000.0,4850F5,B77W,KLM590,52.51297,4.39359,6300,242,4,-1024
1020.0,4850F5,B77W,KLM590,52.5352,4.39659,5950,241,4,-1088
1040.0,4850F5,B77W,KLM590,52.5572,4.39955,5575,240,4,-896
1060.0,4850F5,B77W,KLM590,52.5807,4.40773,5500,249,33,128
1080.0,4850F5,B77W,KLM590,52.59328,4.43581,5500,259,75,64
1100.0,4850F5,B77W,KLM590,52.59146,4.47418,5500,259,104,-64
1120.0,4850F5,B77W,KLM590,52.58601,4.51334,5450,262,99,-1152
1140.0,4850F5,B77W,KLM590,52.58448,4.55234,5075,258,91,-832
