time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,A63DFF,A359,DAL134,52.10271,2.18788,24925,459,69,-1536
20.0,A63DFF,A359,DAL134,52.12276,2.2776,24250,449,70,-1280
40.0,A63DFF,A359,DAL134,52.12943,2.30768,24100,445,70,-832
60.0,A63DFF,A359,DAL134,52.14519,2.37808,24000,435,69,-64
80.0,A63DFF,A359,DAL134,52.15787,2.43473,24000,434,69,0
100.0,A63DFF,A359,DAL134,52.17206,2.49809,24000,439,70,64
120.0,A63DFF,A359,DAL134,52.18501,2.55589,24000,456,69,0
140.0,A63DFF,A359,DAL134,52.20163,2.62405,24000,463,67,-64
160.0,A63DFF,A359,DAL134,52.21792,2.68883,23650,460,67,-1984
180.0,A63DFF,A359,DAL134,52.23271,2.74788,22950,451,67,-3200
200.0,A63DFF,A359,DAL134,52.24842,2.81117,21600,444,68,-4096
220.0,A63DFF,A359,DAL134,52.26327,2.87136,20275,434,68,-4224
240.0,A63DFF,A359,DAL134,52.27821,2.93241,18900,424,68,-3968
260.0,A63DFF,A359,DAL134,52.29264,2.99134,17600,411,68,-3968
280.0,A63DFF,A359,DAL134,52.30779,3.05351,16025,405,68,-4352
300.0,A63DFF,A359,DAL134,52.32033,3.10493,14825,398,68,-3648
320.0,A63DFF,A359,DAL134,52.33379,3.16053,13675,392,68,-3328
340.0,A63DFF,A359,DAL134,52.34679,3.21426,12750,381,68,-2752
360.0,A63DFF,A359,DAL134,52.3596,3.26752,12000,377,68,-1664
380.0,A63DFF,A359,DAL134,52.37233,3.32024,11500,369,68,-1792
400.0,A63DFF,A359,DAL134,52.385,3.3728,10825,369,68,-1920
420.0,A63DFF,A359,DAL134,52.39833,3.42834,10250,363,68,-1536
440.0,A63DFF,A359,DAL134,52.40927,3.47412,9750,359,68,-1856
460.0,A63DFF,A359,DAL134,52.42181,3.52669,9050,358,68,-1856
480.0,A63DFF,A359,DAL134,52.43353,3.5762,8475,355,68,-1728
500.0,A63DFF,A359,DAL134,52.44538,3.62596,7875,352,68,-1792
520.0,A63DFF,A359,DAL134,52.45706,3.67532,7500,342,68,-704
540.0,A63DFF,A359,DAL134,52.46805,3.72177,7300,329,68,-512
560.0,A63DFF,A359,DAL134,52.4789,3.76768,7150,314,68,-512
580.0,A63DFF,A359,DAL134,52.48901,3.81081,7000,302,69,-128
600.0,A63DFF,A359,DAL134,52.4991,3.85377,7000,295,68,0
620.0,A63DFF,A359,DAL134,52.5086,3.89426,7000,295,68,0
640.0,A63DFF,A359,DAL134,52.51851,3.93664,7000,296,69,0
660.0,A63DFF,A359,DAL134,52.52312,3.97949,6850,292,97,-1344
680.0,A63DFF,A359,DAL134,52.51293,4.02461,6275,293,114,-1024
700.0,A63DFF,A359,DAL134,52.50284,4.06158,6050,287,113,-768
720.0,A63DFF,A359,DAL134,52.49244,4.10269,5650,284,111,-1344
740.0,A63DFF,A359,DAL134,52.487,4.14459,5200,287,86,-1280
