time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484F6C,B738,TRA75H,51.08047,3.50783,24400,350,31,-1024
80.0,484F6C,B738,TRA75H,51.17767,3.60138,23225,345,30,-1024
100.0,484F6C,B738,TRA75H,51.20123,3.62363,22925,348,30,-896
120.0,484F6C,B738,TRA75H,51.24939,3.6606,22525,320,19,-640
140.0,484F6C,B738,TRA75H,51.25223,3.66208,22500,318,18,-704
160.0,484F6C,B738,TRA75H,51.29973,3.68362,22150,293,14,-576
200.0,484F6C,B738,TRA75H,51.33539,3.6982,21950,274,14,-448
240.0,484F6C,B738,TRA75H,51.38214,3.7113,21250,251,352,-960
260.0,484F6C,B738,TRA75H,51.40466,3.70477,20850,248,349,-1280
280.0,484F6C,B738,TRA75H,51.42929,3.69772,20350,247,350,-1280
300.0,484F6C,B738,TRA75H,51.44801,3.69252,19975,247,350,-1408
320.0,484F6C,B738,TRA75H,51.47026,3.68628,19525,247,350,-1344
340.0,484F6C,B738,TRA75H,51.49246,3.6802,19100,247,350,-1280
360.0,484F6C,B738,TRA75H,51.51535,3.67411,18625,247,350,-1408
380.0,484F6C,B738,TRA75H,51.54203,3.66707,18125,246,350,-1216
400.0,484F6C,B738,TRA75H,51.562,3.66203,17725,245,350,-1344
420.0,484F6C,B738,TRA75H,51.58237,3.65644,17300,244,350,-1344
440.0,484F6C,B738,TRA75H,51.6075,3.64961,16825,243,350,-1280
460.0,484F6C,B738,TRA75H,51.62691,3.6439,16475,241,349,-1088
480.0,484F6C,B738,TRA75H,51.6492,3.63744,16050,240,349,-1152
500.0,484F6C,B738,TRA75H,51.6714,3.63106,15625,239,349,-1344
520.0,484F6C,B738,TRA75H,51.69264,3.62475,15200,239,349,-1344
540.0,484F6C,B738,TRA75H,51.7153,3.61814,14775,239,349,-1280
560.0,484F6C,B738,TRA75H,51.74748,3.60738,14150,238,348,-1152
580.0,484F6C,B738,TRA75H,51.76143,3.60275,13925,237,348,-1216
600.0,484F6C,B738,TRA75H,51.77985,3.59683,13550,237,348,-1216
620.0,484F6C,B738,TRA75H,51.8015,3.58993,13125,238,348,-1344
640.0,484F6C,B738,TRA75H,51.82386,3.58307,12750,238,350,-768
660.0,484F6C,B738,TRA75H,51.84471,3.58355,12375,249,13,-576
680.0,484F6C,B738,TRA75H,51.8632,3.60686,12000,264,54,-832
700.0,484F6C,B738,TRA75H,51.86948,3.64561,11550,275,88,-1024
720.0,484F6C,B738,TRA75H,51.86934,3.68673,11225,275,90,-1024
740.0,484F6C,B738,TRA75H,51.86902,3.72763,10875,273,90,-1088
760.0,484F6C,B738,TRA75H,51.86874,3.76824,10525,270,90,-1088
780.0,484F6C,B738,TRA75H,51.86833,3.80847,10125,270,91,-1088
800.0,484F6C,B738,TRA75H,51.86774,3.849,10000,270,91,64
820.0,484F6C,B738,TRA75H,51.86705,3.88916,9700,270,91,-1344
840.0,484F6C,B738,TRA75H,51.86646,3.92962,9275,271,91,-1216
860.0,484F6C,B738,TRA75H,51.8658,3.97209,8925,269,91,-1088
880.0,484F6C,B738,TRA75H,51.86508,4.01008,8600,268,91,-960
900.0,484F6C,B738,TRA75H,51.86426,4.05017,8225,267,91,-1088
920.0,484F6C,B738,TRA75H,51.86343,4.09203,7825,267,91,-1088
940.0,484F6C,B738,TRA75H,51.86279,4.12997,7525,266,91,-1024
960.0,484F6C,B738,TRA75H,51.86655,4.16827,7150,257,67,-1280
980.0,484F6C,B738,TRA75H,51.88211,4.19448,7000,233,30,-192
1000.0,484F6C,B738,TRA75H,51.90211,4.19876,7000,210,349,-128
1020.0,484F6C,B738,TRA75H,51.91754,4.18228,7000,200,313,0
1040.0,484F6C,B738,TRA75H,51.93031,4.16008,7000,208,314,64
1060.0,484F6C,B738,TRA75H,51.94844,4.14719,7000,230,356,128
1080.0,484F6C,B738,TRA75H,51.96973,4.15764,7000,251,31,256
1100.0,484F6C,B738,TRA75H,51.98625,4.18465,7000,256,46,0
1120.0,484F6C,B738,TRA75H,52.00319,4.21227,7000,255,45,0
