time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,485061,B738,TRA412B,50.66496,4.88292,24700,311,317,-1088
60.0,485061,B738,TRA412B,50.72379,4.79739,23650,307,317,-1152
80.0,485061,B738,TRA412B,50.74434,4.76747,23275,304,317,-1152
100.0,485061,B738,TRA412B,50.76247,4.74251,22925,299,317,-1216
120.0,485061,B738,TRA412B,50.78929,4.70259,22400,297,317,-1216
140.0,485061,B738,TRA412B,50.80446,4.68033,22075,298,317,-1152
160.0,485061,B738,TRA412B,50.83723,4.63318,21500,297,317,-960
200.0,485061,B738,TRA412B,50.86702,4.59043,21025,297,317,-960
220.0,485061,B738,TRA412B,50.89919,4.54208,20475,289,315,-1024
240.0,485061,B738,TRA412B,50.90616,4.53104,20350,289,311,-1024
260.0,485061,B738,TRA412B,50.93387,4.47655,20000,289,308,0
280.0,485061,B738,TRA412B,50.93732,4.46983,20000,288,308,0
300.0,485061,B738,TRA412B,50.95357,4.4368,20000,288,308,64
320.0,485061,B738,TRA412B,50.97335,4.39713,20000,287,308,0
340.0,485061,B738,TRA412B,50.98636,4.37234,20000,287,308,0
360.0,485061,B738,TRA412B,51.0027,4.33945,20000,286,308,0
380.0,485061,B738,TRA412B,51.01972,4.30496,20000,286,308,0
400.0,485061,B738,TRA412B,51.03589,4.27361,20000,286,308,0
420.0,485061,B738,TRA412B,51.05347,4.23709,20000,286,308,0
440.0,485061,B738,TRA412B,51.06866,4.20739,20000,287,308,0
460.0,485061,B738,TRA412B,51.0928,4.15924,20000,289,308,0
480.0,485061,B738,TRA412B,51.10439,4.13567,20000,291,308,0
500.0,485061,B738,TRA412B,51.11998,4.10362,20000,291,308,0
520.0,485061,B738,TRA412B,51.13536,4.07326,20000,291,308,0
540.0,485061,B738,TRA412B,51.15504,4.0328,20000,291,308,0
560.0,485061,B738,TRA412B,51.16887,4.00608,20000,287,308,-64
580.0,485061,B738,TRA412B,51.18878,3.972,19950,295,324,-448
600.0,485061,B738,TRA412B,51.22501,3.95935,19525,313,4,-960
620.0,485061,B738,TRA412B,51.24177,3.96393,19350,315,9,-832
640.0,485061,B738,TRA412B,51.27082,3.97156,19075,335,8,-1088
660.0,485061,B738,TRA412B,51.30336,3.97926,18625,350,8,-1280
680.0,485061,B738,TRA412B,51.33539,3.9872,18150,356,8,-1408
700.0,485061,B738,TRA412B,51.36821,3.99536,17675,354,8,-1472
720.0,485061,B738,TRA412B,51.39972,4.00337,17200,350,8,-1472
740.0,485061,B738,TRA412B,51.43273,4.01146,16700,350,8,-1472
760.0,485061,B738,TRA412B,51.46341,4.01947,16200,350,8,-1472
780.0,485061,B738,TRA412B,51.49539,4.0274,15700,346,8,-1536
800.0,485061,B738,TRA412B,51.5269,4.03519,15200,346,8,-1472
820.0,485061,B738,TRA412B,51.55797,4.04275,14725,348,8,-1472
840.0,485061,B738,TRA412B,51.58974,4.05076,14225,346,8,-1536
860.0,485061,B738,TRA412B,51.62173,4.05863,13700,347,8,-1536
880.0,485061,B738,TRA412B,51.65282,4.06687,13225,347,9,-1472
900.0,485061,B738,TRA412B,51.68459,4.07504,12725,345,9,-1472
920.0,485061,B738,TRA412B,51.71626,4.08283,12200,342,8,-1472
940.0,485061,B738,TRA412B,51.74693,4.0904,11625,338,8,-1792
960.0,485061,B738,TRA412B,51.77797,4.09797,11025,335,8,-1792
980.0,485061,B738,TRA412B,51.80818,4.10577,10450,332,8,-1664
1000.0,485061,B738,TRA412B,51.83835,4.11341,10100,321,9,-960
1020.0,485061,B738,TRA412B,51.86696,4.12091,9775,308,8,-1024
1040.0,485061,B738,TRA412B,51.89474,4.12811,9425,299,11,-1152
1060.0,485061,B738,TRA412B,51.92043,4.14482,9075,299,31,-1280
1080.0,485061,B738,TRA412B,51.94185,4.17336,8750,298,42,-960
1100.0,485061,B738,TRA412B,51.96204,4.20326,8425,295,41,-960
1120.0,485061,B738,TRA412B,51.98236,4.23286,8100,292,42,-1024
1140.0,485061,B738,TRA412B,52.00356,4.25842,7775,277,24,-832
1160.0,485061,B738,TRA412B,52.02754,4.27094,7425,271,16,-1024
1180.0,485061,B738,TRA412B,52.05176,4.28253,7100,269,16,-960
1200.0,485061,B738,TRA412B,52.07641,4.29463,6750,270,16,-960
1220.0,485061,B738,TRA412B,52.09978,4.3055,6425,272,15,-1024
1240.0,485061,B738,TRA412B,52.12413,4.31686,6100,270,16,-960
1260.0,485061,B738,TRA412B,52.14793,4.328,5775,271,15,-1024
1280.0,485061,B738,TRA412B,52.17252,4.33914,5425,270,15,-1024
1300.0,485061,B738,TRA412B,52.19641,4.35036,5100,268,16,-1024
