time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484F15,B737,KLM22A,51.04715,3.44971,24850,414,34,-1024
20.0,484F15,B737,KLM22A,51.08903,3.49602,24400,412,34,-1024
40.0,484F15,B737,KLM22A,51.09853,3.50632,24300,412,34,-1024
60.0,484F15,B737,KLM22A,51.14224,3.55423,23800,411,34,-1088
80.0,484F15,B737,KLM22A,51.16342,3.57405,23575,404,28,-1152
100.0,484F15,B737,KLM22A,51.19446,3.59639,23250,393,24,-1088
120.0,484F15,B737,KLM22A,51.24019,3.62979,22750,383,24,-1088
140.0,484F15,B737,KLM22A,51.26048,3.64502,22525,379,24,-1088
160.0,484F15,B737,KLM22A,51.29402,3.66951,22150,376,24,-1088
180.0,484F15,B737,KLM22A,51.32158,3.69029,21850,374,24,-1024
200.0,484F15,B737,KLM22A,51.3669,3.72375,21375,371,24,-1024
220.0,484F15,B737,KLM22A,51.38475,3.73647,21175,371,24,-1024
240.0,484F15,B737,KLM22A,51.41936,3.76178,20800,371,24,-1024
260.0,484F15,B737,KLM22A,51.44669,3.78249,20500,369,24,-1024
280.0,484F15,B737,KLM22A,51.4801,3.80773,20125,365,24,-1280
300.0,484F15,B737,KLM22A,51.50752,3.82814,19475,359,25,-2432
320.0,484F15,B737,KLM22A,51.5414,3.85279,18600,359,24,-2496
340.0,484F15,B737,KLM22A,51.57426,3.87743,17700,359,24,-2496
360.0,484F15,B737,KLM22A,51.59889,3.89532,17025,358,25,-2496
380.0,484F15,B737,KLM22A,51.62801,3.91789,16200,354,25,-2496
400.0,484F15,B737,KLM22A,51.65771,3.94031,15375,350,25,-2496
420.0,484F15,B737,KLM22A,51.69031,3.96428,14475,344,24,-2496
440.0,484F15,B737,KLM22A,51.71603,3.98366,13750,341,24,-2432
460.0,484F15,B737,KLM22A,51.74405,4.00504,12950,337,25,-2432
480.0,484F15,B737,KLM22A,51.77252,4.0259,12275,330,25,-1536
500.0,484F15,B737,KLM22A,51.7993,4.04661,11850,313,25,-1152
520.0,484F15,B737,KLM22A,51.82489,4.06613,11400,304,24,-1344
540.0,484F15,B737,KLM22A,51.8502,4.08491,11050,293,24,-576
560.0,484F15,B737,KLM22A,51.87419,4.10287,10900,277,24,-448
580.0,484F15,B737,KLM22A,51.89703,4.11987,10600,268,24,-1152
600.0,484F15,B737,KLM22A,51.91827,4.14085,10150,274,35,-1088
620.0,484F15,B737,KLM22A,51.93791,4.16832,9550,281,41,-1920
640.0,484F15,B737,KLM22A,51.95782,4.19678,8900,287,41,-1664
660.0,484F15,B737,KLM22A,51.97728,4.22577,8350,288,42,-1280
680.0,484F15,B737,KLM22A,51.99738,4.25461,7900,284,42,-1280
700.0,484F15,B737,KLM22A,52.0178,4.28388,7425,279,41,-1408
720.0,484F15,B737,KLM22A,52.03661,4.30984,7050,276,40,-896
740.0,484F15,B737,KLM22A,52.05537,4.33716,7000,275,41,-64
760.0,484F15,B737,KLM22A,52.07474,4.36447,7000,273,42,0
780.0,484F15,B737,KLM22A,52.09314,4.39201,7000,273,42,0
800.0,484F15,B737,KLM22A,52.11195,4.41963,7000,273,42,0
820.0,484F15,B737,KLM22A,52.13026,4.44695,6975,262,42,-64
840.0,484F15,B737,KLM22A,52.14734,4.47281,7000,248,43,-64
860.0,484F15,B737,KLM22A,52.16377,4.49814,7000,243,43,0
880.0,484F15,B737,KLM22A,52.18085,4.52332,7000,244,43,0
900.0,484F15,B737,KLM22A,52.19696,4.54872,7000,244,43,0
920.0,484F15,B737,KLM22A,52.21335,4.57405,7000,244,43,0
940.0,484F15,B737,KLM22A,52.22955,4.59953,7000,244,43,0
960.0,484F15,B737,KLM22A,52.24635,4.62479,7000,243,43,0
980.0,484F15,B737,KLM22A,52.26457,4.65233,7000,243,43,0
1000.0,484F15,B737,KLM22A,52.27899,4.67491,7000,244,42,0
1020.0,484F15,B737,KLM22A,52.29607,4.69994,6875,245,42,-1024
1040.0,484F15,B737,KLM22A,52.31264,4.72542,6500,248,42,-1088
1060.0,484F15,B737,KLM22A,52.33049,4.75198,6125,247,42,-1024
1080.0,484F15,B737,KLM22A,52.34637,4.77577,5875,243,42,-1216
1100.0,484F15,B737,KLM22A,52.36317,4.80049,5550,242,42,-1024
1120.0,484F15,B737,KLM22A,52.38193,4.82888,5175,239,42,-1024
