time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,346188,A319,VLG6814,50.85237,4.5666,24250,376,340,-2432
20.0,346188,A319,VLG6814,50.89087,4.54233,23225,371,331,-2560
40.0,346188,A319,VLG6814,50.91009,4.51981,22650,367,317,-2496
60.0,346188,A319,VLG6814,50.93784,4.46698,21800,359,309,-1024
80.0,346188,A319,VLG6814,50.95253,4.43818,21575,351,308,-960
100.0,346188,A319,VLG6814,50.97693,4.38995,21175,345,308,-960
120.0,346188,A319,VLG6814,50.98997,4.36409,20950,345,308,-960
140.0,346188,A319,VLG6814,51.01231,4.31969,20600,346,308,-1024
160.0,346188,A319,VLG6814,51.03019,4.28383,20275,347,308,-1024
180.0,346188,A319,VLG6814,51.05058,4.24309,20025,346,308,-128
200.0,346188,A319,VLG6814,51.06976,4.20441,20000,348,308,0
220.0,346188,A319,VLG6814,51.09462,4.15451,20000,348,308,0
240.0,346188,A319,VLG6814,51.11063,4.12231,20000,347,308,0
260.0,346188,A319,VLG6814,51.13023,4.08291,20000,346,308,0
280.0,346188,A319,VLG6814,51.16314,4.01634,20000,346,308,0
300.0,346188,A319,VLG6814,51.16896,4.00459,20025,346,308,0
320.0,346188,A319,VLG6814,51.19936,3.94714,19875,348,317,-1088
340.0,346188,A319,VLG6814,51.21996,3.92709,19600,350,336,-1024
360.0,346188,A319,VLG6814,51.25525,3.92093,19250,356,6,-960
380.0,346188,A319,VLG6814,51.28038,3.9285,19025,356,11,-960
400.0,346188,A319,VLG6814,51.3089,3.93734,18725,354,11,-960
420.0,346188,A319,VLG6814,51.34372,3.94829,18375,352,11,-1024
440.0,346188,A319,VLG6814,51.3744,3.95798,18050,349,11,-960
460.0,346188,A319,VLG6814,51.40475,3.96774,17725,348,11,-960
480.0,346188,A319,VLG6814,51.43631,3.97789,17400,345,11,-1024
500.0,346188,A319,VLG6814,51.48038,3.99205,16925,342,11,-1024
520.0,346188,A319,VLG6814,51.50267,3.9991,16675,340,11,-1024
540.0,346188,A319,VLG6814,51.52937,4.00772,16400,340,11,-896
560.0,346188,A319,VLG6814,51.56075,4.01787,15950,339,11,-1472
580.0,346188,A319,VLG6814,51.59038,4.02738,15400,339,11,-1728
600.0,346188,A319,VLG6814,51.62201,4.03748,14850,338,11,-1600
620.0,346188,A319,VLG6814,51.6546,4.04809,14300,336,11,-1600
640.0,346188,A319,VLG6814,51.68394,4.05767,13775,335,11,-1664
660.0,346188,A319,VLG6814,51.71429,4.06747,13225,333,11,-1664
680.0,346188,A319,VLG6814,51.74318,4.07674,12625,331,11,-1536
700.0,346188,A319,VLG6814,51.7728,4.08647,12075,325,11,-1600
720.0,346188,A319,VLG6814,51.80175,4.09607,11725,313,11,-832
740.0,346188,A319,VLG6814,51.82938,4.10518,11475,301,11,-704
760.0,346188,A319,VLG6814,51.85666,4.11401,11200,287,11,-1408
780.0,346188,A319,VLG6814,51.88205,4.12254,10625,287,11,-1472
800.0,346188,A319,VLG6814,51.90761,4.13251,10175,284,21,-1728
820.0,346188,A319,VLG6814,51.93022,4.15848,9675,287,41,-512
840.0,346188,A319,VLG6814,51.94918,4.18595,9525,286,41,-512
860.0,346188,A319,VLG6814,51.96882,4.21412,9350,286,41,-512
880.0,346188,A319,VLG6814,51.98847,4.24253,9175,286,41,-512
900.0,346188,A319,VLG6814,52.00849,4.27148,9000,286,41,-448
920.0,346188,A319,VLG6814,52.02827,4.30016,8850,286,41,-512
940.0,346188,A319,VLG6814,52.0475,4.32816,8700,286,42,-448
960.0,346188,A319,VLG6814,52.06828,4.3586,8525,286,42,-512
980.0,346188,A319,VLG6814,52.08705,4.38614,8350,286,42,-512
1000.0,346188,A319,VLG6814,52.10783,4.41658,8175,286,42,-512
1020.0,346188,A319,VLG6814,52.12622,4.44381,8025,285,42,-512
1040.0,346188,A319,VLG6814,52.14591,4.47348,7850,288,42,-512
1060.0,346188,A319,VLG6814,52.16547,4.50279,7675,290,42,-512
1080.0,346188,A319,VLG6814,52.1852,4.53233,7525,290,42,-512
1100.0,346188,A319,VLG6814,52.20503,4.56176,7350,289,42,-448
1120.0,346188,A319,VLG6814,52.22472,4.59142,7200,290,42,-576
1140.0,346188,A319,VLG6814,52.24484,4.62189,7025,283,43,-256
1160.0,346188,A319,VLG6814,52.2628,4.64949,7000,264,43,0
1180.0,346188,A319,VLG6814,52.27961,4.67555,7000,246,43,0
1200.0,346188,A319,VLG6814,52.29584,4.70085,7025,239,43,0
1220.0,346188,A319,VLG6814,52.31168,4.72572,7000,239,43,0
1240.0,346188,A319,VLG6814,52.32811,4.75119,7000,239,43,0
1260.0,346188,A319,VLG6814,52.34431,4.77654,7000,240,43,0
1280.0,346188,A319,VLG6814,52.3597,4.80034,7000,241,43,0
1300.0,346188,A319,VLG6814,52.37595,4.82559,7000,240,43,0
1320.0,346188,A319,VLG6814,52.39208,4.85078,7000,240,43,0
1340.0,346188,A319,VLG6814,52.40817,4.87579,7000,241,43,0
1360.0,346188,A319,VLG6814,52.42419,4.90074,7000,240,43,0
1380.0,346188,A319,VLG6814,52.44352,4.93098,7000,239,43,0
1400.0,346188,A319,VLG6814,52.45898,4.95346,7000,236,31,-64
1420.0,346188,A319,VLG6814,52.4767,4.96178,7025,227,5,64
1440.0,346188,A319,VLG6814,52.49963,4.9649,7000,227,4,-64
1460.0,346188,A319,VLG6814,52.52163,4.96802,6950,228,4,-832
1480.0,346188,A319,VLG6814,52.54065,4.97063,6625,226,5,-1024
1500.0,346188,A319,VLG6814,52.56027,4.97343,6400,221,5,-512
1520.0,346188,A319,VLG6814,52.58057,4.97597,6200,220,359,-832
1540.0,346188,A319,VLG6814,52.59824,4.96376,5850,207,314,-1024
1560.0,346188,A319,VLG6814,52.60356,4.92839,5475,207,268,-896
1580.0,346188,A319,VLG6814,52.60304,4.9015,5175,204,268,-1088
