time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4B18F3,A320,SWR734,50.90112,4.53082,24725,458,319,-640
20.0,4B18F3,A320,SWR734,50.92758,4.48769,24500,456,310,-704
40.0,4B18F3,A320,SWR734,50.94493,4.45347,24300,453,308,-832
60.0,4B18F3,A320,SWR734,50.97209,4.39957,24050,453,308,-576
80.0,4B18F3,A320,SWR734,50.9963,4.35143,24000,452,308,-64
100.0,4B18F3,A320,SWR734,51.02749,4.28925,24000,451,308,0
120.0,4B18F3,A320,SWR734,51.05008,4.24406,24000,452,308,0
140.0,4B18F3,A320,SWR734,51.07475,4.19477,24000,451,308,0
160.0,4B18F3,A320,SWR734,51.10169,4.1407,24000,452,308,0
180.0,4B18F3,A320,SWR734,51.12725,4.0892,23925,452,308,-640
200.0,4B18F3,A320,SWR734,51.15225,4.03877,23625,449,308,-896
220.0,4B18F3,A320,SWR734,51.182,3.97858,23275,449,308,-896
240.0,4B18F3,A320,SWR734,51.20444,3.93532,23000,448,313,-1344
260.0,4B18F3,A320,SWR734,51.23674,3.89412,22650,449,328,-1408
280.0,4B18F3,A320,SWR734,51.27254,3.86551,22300,439,335,-1088
300.0,4B18F3,A320,SWR734,51.30872,3.84039,22050,417,336,-704
320.0,4B18F3,A320,SWR734,51.34268,3.81686,21750,396,336,-1024
340.0,4B18F3,A320,SWR734,51.37637,3.79362,21425,378,336,-960
360.0,4B18F3,A320,SWR734,51.42943,3.7571,20950,359,336,-896
380.0,4B18F3,A320,SWR734,51.44041,3.74968,20850,357,336,-896
400.0,4B18F3,A320,SWR734,51.46907,3.73016,20525,352,337,-1088
420.0,4B18F3,A320,SWR734,51.49906,3.7101,20200,351,337,-960
440.0,4B18F3,A320,SWR734,51.53044,3.69362,19850,355,347,-1408
460.0,4B18F3,A320,SWR734,51.56273,3.68636,19550,355,353,-960
480.0,4B18F3,A320,SWR734,51.59647,3.67983,19150,351,352,-1728
