time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,44CE67,A319,BEL23U,52.10495,3.86787,24975,458,148,-2688
20.0,44CE67,A319,BEL23U,52.09099,3.88176,24575,455,148,-2816
40.0,44CE67,A319,BEL23U,52.05341,3.91853,23850,445,149,-1216
60.0,44CE67,A319,BEL23U,52.01907,3.95149,23350,429,149,-2048
80.0,44CE67,A319,BEL23U,51.98474,3.98419,22650,420,149,-2112
100.0,44CE67,A319,BEL23U,51.95334,4.0136,21900,414,150,-2240
120.0,44CE67,A319,BEL23U,51.91799,4.04634,21125,408,150,-2752
140.0,44CE67,A319,BEL23U,51.88513,4.07496,20225,405,155,-2752
160.0,44CE67,A319,BEL23U,51.85114,4.09454,19450,400,162,-2368
180.0,44CE67,A319,BEL23U,51.8159,4.11209,18700,396,162,-2240
200.0,44CE67,A319,BEL23U,51.77994,4.13012,17900,392,162,-2240
220.0,44CE67,A319,BEL23U,51.74341,4.14823,17125,389,162,-2112
240.0,44CE67,A319,BEL23U,51.70962,4.16519,16425,384,162,-2176
260.0,44CE67,A319,BEL23U,51.67616,4.18193,15675,381,162,-2432
280.0,44CE67,A319,BEL23U,51.64412,4.19754,14950,380,163,-2240
300.0,44CE67,A319,BEL23U,51.61079,4.21326,14275,377,163,-1984
320.0,44CE67,A319,BEL23U,51.57746,4.22874,13625,371,164,-1920
340.0,44CE67,A319,BEL23U,51.54385,4.24408,12950,367,164,-2112
360.0,44CE67,A319,BEL23U,51.51201,4.2585,12275,363,164,-2368
380.0,44CE67,A319,BEL23U,51.47993,4.27277,11600,360,164,-1408
400.0,44CE67,A319,BEL23U,51.44897,4.28642,11250,347,164,-1024
420.0,44CE67,A319,BEL23U,51.41972,4.29944,10850,336,164,-1984
440.0,44CE67,A319,BEL23U,51.38794,4.31412,10175,335,163,-1536
460.0,44CE67,A319,BEL23U,51.35902,4.32735,9700,329,164,-1408
480.0,44CE67,A319,BEL23U,51.32961,4.34074,9125,324,163,-1856
500.0,44CE67,A319,BEL23U,51.29977,4.3544,8825,311,163,-640
520.0,44CE67,A319,BEL23U,51.27478,4.36592,8575,299,163,-1152
540.0,44CE67,A319,BEL23U,51.24683,4.37902,8150,293,163,-1088
560.0,44CE67,A319,BEL23U,51.22192,4.39119,8000,294,163,-128
580.0,44CE67,A319,BEL23U,51.19466,4.40453,8000,294,162,64
600.0,44CE67,A319,BEL23U,51.1696,4.4168,8000,291,163,64
620.0,44CE67,A319,BEL23U,51.14178,4.43039,8000,292,162,0
640.0,44CE67,A319,BEL23U,51.11468,4.44359,8000,291,162,0
660.0,44CE67,A319,BEL23U,51.0922,4.45457,8000,291,162,0
680.0,44CE67,A319,BEL23U,51.06697,4.46709,8000,292,161,0
700.0,44CE67,A319,BEL23U,51.04189,4.50091,8000,297,121,0
720.0,44CE67,A319,BEL23U,51.03612,4.53238,8000,297,95,0
740.0,44CE67,A319,BEL23U,51.03913,4.58145,8000,297,81,0
760.0,44CE67,A319,BEL23U,51.0456,4.65233,8000,296,81,0
780.0,44CE67,A319,BEL23U,51.04715,4.66986,8000,296,81,-64
800.0,44CE67,A319,BEL23U,51.0503,4.70619,7900,289,82,-512
820.0,44CE67,A319,BEL23U,51.05457,4.75663,7650,270,82,-768
840.0,44CE67,A319,BEL23U,51.05841,4.80266,7225,265,82,-1280
860.0,44CE67,A319,BEL23U,51.06056,4.82886,6950,264,82,-1152
880.0,44CE67,A319,BEL23U,51.06244,4.88053,6375,259,99,-1536
920.0,44CE67,A319,BEL23U,51.0336,4.92796,5200,249,168,-1792
