time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484B91,B737,KLM86W,51.01441,3.40813,24875,442,35,-1472
20.0,484B91,B737,KLM86W,51.04248,3.43917,24500,421,35,-1344
40.0,484B91,B737,KLM86W,51.06734,3.46737,24150,406,35,-1344
60.0,484B91,B737,KLM86W,51.0997,3.50442,23700,388,35,-1280
80.0,484B91,B737,KLM86W,51.13302,3.54118,23200,371,35,-1280
100.0,484B91,B737,KLM86W,51.17636,3.58978,22550,349,35,-1216
120.0,484B91,B737,KLM86W,51.18329,3.59713,22450,346,35,-1216
140.0,484B91,B737,KLM86W,51.20604,3.62319,22225,333,35,-192
160.0,484B91,B737,KLM86W,51.23251,3.65059,22150,305,27,-384
180.0,484B91,B737,KLM86W,51.25737,3.66592,21825,286,14,-1216
200.0,484B91,B737,KLM86W,51.28204,3.67615,21450,278,14,-1088
220.0,484B91,B737,KLM86W,51.32375,3.69324,20850,266,13,-1088
240.0,484B91,B737,KLM86W,51.33673,3.69534,20650,254,0,-1024
260.0,484B91,B737,KLM86W,51.35387,3.69301,20375,249,354,-1152
280.0,484B91,B737,KLM86W,51.37624,3.6897,20025,245,354,-1088
300.0,484B91,B737,KLM86W,51.39848,3.68688,19700,246,355,-1024
320.0,484B91,B737,KLM86W,51.42444,3.68423,19150,249,357,-1920
340.0,484B91,B737,KLM86W,51.44458,3.68265,18775,247,356,-1408
360.0,484B91,B737,KLM86W,51.46765,3.68042,18350,244,356,-1216
380.0,484B91,B737,KLM86W,51.48949,3.6779,17975,239,355,-960
400.0,484B91,B737,KLM86W,51.51164,3.67493,17600,233,355,-1152
420.0,484B91,B737,KLM86W,51.53375,3.67218,17175,230,355,-1280
440.0,484B91,B737,KLM86W,51.55488,3.66982,16700,229,356,-1984
460.0,484B91,B737,KLM86W,51.58393,3.66684,16300,250,357,-832
480.0,484B91,B737,KLM86W,51.59949,3.67032,16125,270,18,-1024
500.0,484B91,B737,KLM86W,51.62341,3.70003,15625,302,46,-1984
520.0,484B91,B737,KLM86W,51.6411,3.72756,14750,309,45,-3456
540.0,484B91,B737,KLM86W,51.6622,3.76245,13800,321,44,-1792
560.0,484B91,B737,KLM86W,51.68243,3.79407,13300,313,44,-1728
580.0,484B91,B737,KLM86W,51.70308,3.82695,12625,313,44,-2112
600.0,484B91,B737,KLM86W,51.72461,3.86131,11875,314,43,-2048
620.0,484B91,B737,KLM86W,51.74663,3.89214,11250,308,41,-2048
640.0,484B91,B737,KLM86W,51.76744,3.9213,10550,311,41,-2304
660.0,484B91,B737,KLM86W,51.7885,3.95196,10100,305,41,-1088
680.0,484B91,B737,KLM86W,51.80942,3.9818,10000,298,41,-64
700.0,484B91,B737,KLM86W,51.82974,4.01142,9975,294,41,-64
720.0,484B91,B737,KLM86W,51.8497,4.04015,9775,284,41,-832
740.0,484B91,B737,KLM86W,51.86906,4.0685,9525,282,41,-704
760.0,484B91,B737,KLM86W,51.88834,4.09671,9275,281,41,-768
780.0,484B91,B737,KLM86W,51.90852,4.12537,9050,288,42,-704
800.0,484B91,B737,KLM86W,51.92793,4.15436,8800,288,42,-704
820.0,484B91,B737,KLM86W,51.94817,4.18343,8550,289,41,-704
840.0,484B91,B737,KLM86W,51.96794,4.21219,8325,287,41,-640
860.0,484B91,B737,KLM86W,51.98749,4.2408,8075,284,41,-704
880.0,484B91,B737,KLM86W,52.00722,4.26903,8000,279,41,0
900.0,484B91,B737,KLM86W,52.0264,4.29695,8000,276,41,0
920.0,484B91,B737,KLM86W,52.04526,4.32472,8000,275,41,0
940.0,484B91,B737,KLM86W,52.06412,4.35234,8000,275,41,0
960.0,484B91,B737,KLM86W,52.08311,4.37996,8000,275,42,0
980.0,484B91,B737,KLM86W,52.10211,4.40788,8000,277,42,0
1000.0,484B91,B737,KLM86W,52.12111,4.43573,8000,275,41,0
1020.0,484B91,B737,KLM86W,52.14015,4.46342,8000,274,42,0
1040.0,484B91,B737,KLM86W,52.15924,4.49097,8000,275,41,0
1060.0,484B91,B737,KLM86W,52.17851,4.51881,8000,278,42,0
