time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4CA891,B738,RYR8GW,52.79713,2.464,24875,441,106,-1728
20.0,4CA891,B738,RYR8GW,52.79573,2.47192,24800,440,106,-2304
40.0,4CA891,B738,RYR8GW,52.78298,2.54459,23275,454,106,-4800
60.0,4CA891,B738,RYR8GW,52.77351,2.59827,22425,459,106,-1792
80.0,4CA891,B738,RYR8GW,52.76166,2.66548,21475,457,106,-3456
100.0,4CA891,B738,RYR8GW,52.74939,2.73506,20475,457,106,-2496
120.0,4CA891,B738,RYR8GW,52.7357,2.81281,19575,448,106,-2624
140.0,4CA891,B738,RYR8GW,52.72673,2.86446,18825,448,105,-2816
160.0,4CA891,B738,RYR8GW,52.71245,2.94465,17800,442,106,-2496
180.0,4CA891,B738,RYR8GW,52.70183,3.00362,17075,437,106,-2240
200.0,4CA891,B738,RYR8GW,52.68933,3.0732,16275,429,106,-2112
220.0,4CA891,B738,RYR8GW,52.68013,3.12447,15700,423,106,-2176
240.0,4CA891,B738,RYR8GW,52.66823,3.19069,14925,417,106,-2432
260.0,4CA891,B738,RYR8GW,52.65887,3.24207,14200,413,106,-2944
280.0,4CA891,B738,RYR8GW,52.64694,3.30803,13125,404,106,-2880
300.0,4CA891,B738,RYR8GW,52.63703,3.3626,12175,399,106,-3264
320.0,4CA891,B738,RYR8GW,52.62616,3.42201,11275,396,106,-2368
340.0,4CA891,B738,RYR8GW,52.61554,3.47885,10825,386,108,-960
360.0,4CA891,B738,RYR8GW,52.60319,3.53587,10475,379,110,-960
380.0,4CA891,B738,RYR8GW,52.59261,3.58261,10175,374,110,-1088
400.0,4CA891,B738,RYR8GW,52.58057,3.63655,10000,372,109,0
420.0,4CA891,B738,RYR8GW,52.56734,3.69652,10000,371,109,64
440.0,4CA891,B738,RYR8GW,52.55724,3.74273,10000,371,109,-64
460.0,4CA891,B738,RYR8GW,52.54573,3.7957,10000,372,109,0
480.0,4CA891,B738,RYR8GW,52.53434,3.84796,10000,375,109,0
500.0,4CA891,B738,RYR8GW,52.52205,3.90376,9925,356,109,-320
520.0,4CA891,B738,RYR8GW,52.51186,3.95006,9850,339,109,-320
540.0,4CA891,B738,RYR8GW,52.50114,3.99925,9725,325,109,-192
560.0,4CA891,B738,RYR8GW,52.49142,4.04399,9575,318,109,-960
580.0,4CA891,B738,RYR8GW,52.48178,4.08825,9225,315,109,-1088
600.0,4CA891,B738,RYR8GW,52.47177,4.13321,8875,314,110,-1024
620.0,4CA891,B738,RYR8GW,52.46182,4.17725,8550,313,110,-1024
640.0,4CA891,B738,RYR8GW,52.4552,4.22299,8225,308,93,-1088
660.0,4CA891,B738,RYR8GW,52.45459,4.27094,8000,304,91,0
680.0,4CA891,B738,RYR8GW,52.45399,4.31564,8000,303,91,0
700.0,4CA891,B738,RYR8GW,52.45335,4.36165,8000,302,91,0
720.0,4CA891,B738,RYR8GW,52.4528,4.40674,8000,301,90,0
740.0,4CA891,B738,RYR8GW,52.45226,4.45244,8000,301,91,0
760.0,4CA891,B738,RYR8GW,52.45157,4.49796,8000,304,91,0
780.0,4CA891,B738,RYR8GW,52.45078,4.5434,7975,290,91,0
800.0,4CA891,B738,RYR8GW,52.45003,4.58514,8000,278,91,0
820.0,4CA891,B738,RYR8GW,52.4491,4.62723,8000,275,92,64
840.0,4CA891,B738,RYR8GW,52.44817,4.66903,8000,275,91,64
860.0,4CA891,B738,RYR8GW,52.44743,4.71055,8000,271,91,-64
880.0,4CA891,B738,RYR8GW,52.44676,4.75075,7950,268,91,-896
900.0,4CA891,B738,RYR8GW,52.44617,4.79225,7525,270,91,-1984
920.0,4CA891,B738,RYR8GW,52.44543,4.83249,7050,274,91,-1280
940.0,4CA891,B738,RYR8GW,52.44438,4.87411,6750,269,92,-1024
960.0,4CA891,B738,RYR8GW,52.44328,4.91486,6450,264,92,-1472
980.0,4CA891,B738,RYR8GW,52.44217,4.95515,6000,261,92,-960
1000.0,4CA891,B738,RYR8GW,52.4404,5.00529,5550,259,93,-832
1020.0,4CA891,B738,RYR8GW,52.43925,5.03265,5350,254,94,-1344
1040.0,4CA891,B738,RYR8GW,52.43593,5.07074,5025,248,110,-576
