time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4D2027,A320,AMC394,50.90315,4.5282,24975,347,322,-1344
20.0,4D2027,A320,AMC394,50.9247,4.49207,24575,333,309,-1024
40.0,4D2027,A320,AMC394,50.94301,4.45622,24250,320,308,-960
60.0,4D2027,A320,AMC394,50.96465,4.41353,23875,306,308,-960
80.0,4D2027,A320,AMC394,50.9783,4.38666,23625,298,308,-960
100.0,4D2027,A320,AMC394,50.99644,4.35059,23300,292,308,-896
120.0,4D2027,A320,AMC394,51.01273,4.318,23000,291,308,-896
140.0,4D2027,A320,AMC394,51.03081,4.28185,22675,292,308,-960
160.0,4D2027,A320,AMC394,51.04564,4.25215,22375,291,308,-1088
180.0,4D2027,A320,AMC394,51.06248,4.21853,22025,289,308,-960
200.0,4D2027,A320,AMC394,51.07861,4.18617,21725,288,308,-960
220.0,4D2027,A320,AMC394,51.09613,4.15105,21375,288,308,-1024
240.0,4D2027,A320,AMC394,51.1124,4.11835,21025,286,308,-1024
260.0,4D2027,A320,AMC394,51.13289,4.07704,20600,279,308,-1088
280.0,4D2027,A320,AMC394,51.14639,4.04976,20300,271,308,-1024
300.0,4D2027,A320,AMC394,51.16347,4.0155,19950,259,308,-640
320.0,4D2027,A320,AMC394,51.17567,3.99086,19750,250,308,-960
340.0,4D2027,A320,AMC394,51.188,3.96576,19450,242,308,-1024
360.0,4D2027,A320,AMC394,51.20732,3.92654,18975,233,308,-960
380.0,4D2027,A320,AMC394,51.21538,3.91009,18775,228,308,-960
400.0,4D2027,A320,AMC394,51.23653,3.87513,18250,222,330,-1088
420.0,4D2027,A320,AMC394,51.24652,3.87024,18075,226,352,-960
440.0,4D2027,A320,AMC394,51.2684,3.86894,17775,227,358,-832
460.0,4D2027,A320,AMC394,51.29205,3.86815,17425,222,359,-1024
480.0,4D2027,A320,AMC394,51.31174,3.8678,17100,218,359,-960
500.0,4D2027,A320,AMC394,51.32785,3.86734,16850,217,358,-896
520.0,4D2027,A320,AMC394,51.34977,3.86673,16500,217,358,-960
540.0,4D2027,A320,AMC394,51.36841,3.8663,16200,217,359,-960
560.0,4D2027,A320,AMC394,51.38823,3.86585,15875,217,359,-960
580.0,4D2027,A320,AMC394,51.41248,3.86528,15475,215,359,-1024
600.0,4D2027,A320,AMC394,51.43375,3.86482,15125,213,359,-960
620.0,4D2027,A320,AMC394,51.45759,3.86429,14725,212,359,-1024
640.0,4D2027,A320,AMC394,51.47812,3.86375,14375,213,359,-960
660.0,4D2027,A320,AMC394,51.49106,3.86353,14175,213,359,-1024
680.0,4D2027,A320,AMC394,51.50865,3.86314,13850,212,359,-1024
700.0,4D2027,A320,AMC394,51.52583,3.86273,13575,209,359,-960
720.0,4D2027,A320,AMC394,51.54927,3.86221,13175,205,359,-960
740.0,4D2027,A320,AMC394,51.56382,3.86185,12925,204,359,-960
760.0,4D2027,A320,AMC394,51.58292,3.86147,12600,203,359,-960
780.0,4D2027,A320,AMC394,51.60367,3.86093,12250,203,358,-1024
800.0,4D2027,A320,AMC394,51.62022,3.86051,11950,204,359,-960
820.0,4D2027,A320,AMC394,51.63947,3.85994,11600,206,359,-1024
840.0,4D2027,A320,AMC394,51.65823,3.85963,11275,204,359,-1088
860.0,4D2027,A320,AMC394,51.67754,3.85917,10925,203,358,-960
880.0,4D2027,A320,AMC394,51.69731,3.85858,10625,206,358,-768
900.0,4D2027,A320,AMC394,51.71571,3.85895,10350,213,5,-896
920.0,4D2027,A320,AMC394,51.73392,3.87344,10100,236,39,-448
940.0,4D2027,A320,AMC394,51.7498,3.89648,10025,229,42,-64
960.0,4D2027,A320,AMC394,51.76529,3.91908,10000,227,41,0
980.0,4D2027,A320,AMC394,51.78075,3.94135,10000,227,41,0
1000.0,4D2027,A320,AMC394,51.79738,3.9651,10000,226,41,0
1020.0,4D2027,A320,AMC394,51.8129,3.98744,10000,228,41,0
1040.0,4D2027,A320,AMC394,51.82787,4.00882,10000,229,41,0
1060.0,4D2027,A320,AMC394,51.84393,4.03235,10000,230,42,0
1080.0,4D2027,A320,AMC394,51.85977,4.05544,10000,230,41,64
1100.0,4D2027,A320,AMC394,51.87552,4.07808,10000,230,41,0
1120.0,4D2027,A320,AMC394,51.89127,4.1011,10000,231,42,0
1140.0,4D2027,A320,AMC394,51.90742,4.1245,10000,229,41,0
1160.0,4D2027,A320,AMC394,51.92134,4.15032,10000,247,61,0
1180.0,4D2027,A320,AMC394,51.92614,4.19026,10000,278,96,0
1200.0,4D2027,A320,AMC394,51.91482,4.22715,10000,292,134,0
1220.0,4D2027,A320,AMC394,51.89104,4.24592,10000,277,172,0
1240.0,4D2027,A320,AMC394,51.86884,4.23887,10000,247,206,0
1260.0,4D2027,A320,AMC394,51.85194,4.21697,10000,229,223,0
1280.0,4D2027,A320,AMC394,51.83517,4.19197,10000,230,222,64
1300.0,4D2027,A320,AMC394,51.82069,4.17053,10000,228,222,0
1320.0,4D2027,A320,AMC394,51.80575,4.14635,10000,218,234,-64
1340.0,4D2027,A320,AMC394,51.80096,4.11621,10000,206,275,-128
1360.0,4D2027,A320,AMC394,51.80869,4.09033,10000,200,312,0
1380.0,4D2027,A320,AMC394,51.82608,4.07867,10000,215,359,0
1400.0,4D2027,A320,AMC394,51.84613,4.08773,10025,229,22,-128
1420.0,4D2027,A320,AMC394,51.86536,4.1008,9725,227,22,-896
1440.0,4D2027,A320,AMC394,51.886,4.1146,9225,228,22,-2048
1460.0,4D2027,A320,AMC394,51.90491,4.12717,8550,239,22,-1728
1480.0,4D2027,A320,AMC394,51.9234,4.14803,8200,252,41,-704
1500.0,4D2027,A320,AMC394,51.94099,4.17355,8025,250,41,-256
1520.0,4D2027,A320,AMC394,51.95849,4.19874,8000,250,41,0
1540.0,4D2027,A320,AMC394,51.97536,4.22318,8000,249,41,0
1560.0,4D2027,A320,AMC394,51.99271,4.2485,8000,251,41,0
1580.0,4D2027,A320,AMC394,52.00998,4.27376,8000,253,42,0
1600.0,4D2027,A320,AMC394,52.02708,4.29878,8000,253,42,64
1620.0,4D2027,A320,AMC394,52.04439,4.32419,8000,252,42,0
1640.0,4D2027,A320,AMC394,52.06183,4.34975,8000,252,42,0
1660.0,4D2027,A320,AMC394,52.07941,4.37553,8000,251,42,0
1680.0,4D2027,A320,AMC394,52.09633,4.4005,8000,252,42,0
1700.0,4D2027,A320,AMC394,52.11374,4.42596,8000,252,42,0
1720.0,4D2027,A320,AMC394,52.13092,4.45127,8000,252,42,0
1740.0,4D2027,A320,AMC394,52.148,4.47654,8000,252,42,0
1760.0,4D2027,A320,AMC394,52.16597,4.49966,8000,245,35,0
1780.0,4D2027,A320,AMC394,52.18446,4.52103,8000,243,35,0
1800.0,4D2027,A320,AMC394,52.20303,4.54261,8000,246,35,0
1820.0,4D2027,A320,AMC394,52.22156,4.56435,8000,247,35,0
1840.0,4D2027,A320,AMC394,52.23999,4.58603,8000,247,35,0
1860.0,4D2027,A320,AMC394,52.25856,4.60798,8000,246,36,0
1880.0,4D2027,A320,AMC394,52.27679,4.62952,7975,242,36,-64
1900.0,4D2027,A320,AMC394,52.29442,4.6508,8000,228,36,0
1920.0,4D2027,A320,AMC394,52.31122,4.67139,8000,225,37,0
1940.0,4D2027,A320,AMC394,52.32746,4.6914,8000,225,36,0
1960.0,4D2027,A320,AMC394,52.34413,4.71169,8000,225,36,0
1980.0,4D2027,A320,AMC394,52.36103,4.73228,8000,225,36,0
2000.0,4D2027,A320,AMC394,52.37764,4.75243,8000,224,36,-64
2020.0,4D2027,A320,AMC394,52.39426,4.77238,8000,225,36,0
2040.0,4D2027,A320,AMC394,52.41096,4.79271,8000,225,36,0
2060.0,4D2027,A320,AMC394,52.42758,4.81468,8000,232,46,0
2080.0,4D2027,A320,AMC394,52.4356,4.8485,8000,260,87,64
2100.0,4D2027,A320,AMC394,52.43408,4.8909,8000,261,95,-64
2120.0,4D2027,A320,AMC394,52.43193,4.9279,7850,260,95,-960
2140.0,4D2027,A320,AMC394,52.42983,4.96613,7475,258,95,-1152
2160.0,4D2027,A320,AMC394,52.42772,5.00496,7100,255,95,-1216
2180.0,4D2027,A320,AMC394,52.4255,5.04367,6700,252,95,-1088
2200.0,4D2027,A320,AMC394,52.42331,5.08078,6350,249,95,-1024
2220.0,4D2027,A320,AMC394,52.42126,5.11743,6025,243,95,-960
2240.0,4D2027,A320,AMC394,52.4187,5.1635,5725,235,95,-640
2260.0,4D2027,A320,AMC394,52.41717,5.18986,5550,230,95,-640
2280.0,4D2027,A320,AMC394,52.41472,5.22797,5275,222,96,-896
