time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,39CEA6,B738,TVF4010,51.04037,3.56996,24925,407,15,-960
20.0,39CEA6,B738,TVF4010,51.07196,3.58399,24625,408,15,-960
40.0,39CEA6,B738,TVF4010,51.12534,3.60779,24150,409,15,-1024
60.0,39CEA6,B738,TVF4010,51.13991,3.61435,24000,409,16,-1024
80.0,39CEA6,B738,TVF4010,51.17491,3.63016,23700,409,15,-960
100.0,39CEA6,B738,TVF4010,51.23309,3.66298,22800,397,23,-2048
120.0,39CEA6,B738,TVF4010,51.2536,3.67708,22350,395,23,-2496
140.0,39CEA6,B738,TVF4010,51.28032,3.69545,21725,394,23,-2304
160.0,39CEA6,B738,TVF4010,51.3176,3.72093,20900,391,23,-2176
180.0,39CEA6,B738,TVF4010,51.34325,3.7384,20375,388,23,-1984
200.0,39CEA6,B738,TVF4010,51.37547,3.76053,19725,383,23,-1856
220.0,39CEA6,B738,TVF4010,51.40806,3.78288,19075,378,23,-1920
240.0,39CEA6,B738,TVF4010,51.44437,3.80783,18325,373,23,-1984
260.0,39CEA6,B738,TVF4010,51.4715,3.82651,17775,369,23,-1984
280.0,39CEA6,B738,TVF4010,51.50344,3.84842,17075,366,23,-2048
300.0,39CEA6,B738,TVF4010,51.53426,3.86956,16300,366,23,-3328
320.0,39CEA6,B738,TVF4010,51.56568,3.89114,15100,378,23,-3264
340.0,39CEA6,B738,TVF4010,51.59967,3.91462,14250,378,23,-2112
360.0,39CEA6,B738,TVF4010,51.62997,3.9357,13550,374,23,-1984
380.0,39CEA6,B738,TVF4010,51.66106,3.95731,12850,371,23,-2240
400.0,39CEA6,B738,TVF4010,51.69305,3.97943,12125,367,23,-1792
420.0,39CEA6,B738,TVF4010,51.72368,4.00055,11475,361,23,-2112
440.0,39CEA6,B738,TVF4010,51.75403,4.02159,10725,360,23,-2240
460.0,39CEA6,B738,TVF4010,51.78456,4.04289,10150,358,23,-1472
480.0,39CEA6,B738,TVF4010,51.8145,4.06375,10000,354,23,0
500.0,39CEA6,B738,TVF4010,51.84481,4.08493,10000,352,23,0
520.0,39CEA6,B738,TVF4010,51.87556,4.10651,10000,351,23,0
540.0,39CEA6,B738,TVF4010,51.90444,4.12756,10000,356,27,-64
560.0,39CEA6,B738,TVF4010,51.93054,4.15871,10000,353,41,0
580.0,39CEA6,B738,TVF4010,51.95471,4.1938,9975,342,41,0
600.0,39CEA6,B738,TVF4010,51.97697,4.22605,9975,319,41,-64
620.0,39CEA6,B738,TVF4010,51.99829,4.25712,9850,301,42,-1088
640.0,39CEA6,B738,TVF4010,52.01891,4.28741,9375,298,42,-1280
660.0,39CEA6,B738,TVF4010,52.03949,4.31732,8925,295,41,-1408
680.0,39CEA6,B738,TVF4010,52.05954,4.34669,8500,292,42,-1216
700.0,39CEA6,B738,TVF4010,52.07934,4.37578,8075,289,42,-1472
720.0,39CEA6,B738,TVF4010,52.09923,4.40483,7550,289,41,-1664
740.0,39CEA6,B738,TVF4010,52.119,4.43359,7200,291,41,-832
760.0,39CEA6,B738,TVF4010,52.13905,4.46281,6975,288,41,0
780.0,39CEA6,B738,TVF4010,52.1589,4.49145,7000,285,41,0
800.0,39CEA6,B738,TVF4010,52.17865,4.52011,7000,284,41,0
820.0,39CEA6,B738,TVF4010,52.19795,4.5481,7000,282,41,0
840.0,39CEA6,B738,TVF4010,52.21756,4.57649,7000,284,41,0
860.0,39CEA6,B738,TVF4010,52.23734,4.60526,6975,281,41,-448
880.0,39CEA6,B738,TVF4010,52.25596,4.63223,6825,268,41,-448
900.0,39CEA6,B738,TVF4010,52.27444,4.65899,6700,255,41,-576
920.0,39CEA6,B738,TVF4010,52.29185,4.68433,6350,252,42,-1088
940.0,39CEA6,B738,TVF4010,52.30875,4.70955,5975,250,42,-1216
960.0,39CEA6,B738,TVF4010,52.32582,4.73526,5575,251,42,-1472
980.0,39CEA6,B738,TVF4010,52.34282,4.7614,5225,258,43,-448
1000.0,39CEA6,B738,TVF4010,52.36042,4.78933,5100,254,44,-448
