time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4844C6,B738,KLM94F,50.82294,4.64226,24650,424,320,-2560
20.0,4844C6,B738,KLM94F,50.86498,4.58748,23525,414,320,-2624
40.0,4844C6,B738,KLM94F,50.88346,4.56421,22975,409,319,-2624
60.0,4844C6,B738,KLM94F,50.90886,4.52511,22175,400,312,-2752
80.0,4844C6,B738,KLM94F,50.93122,4.48257,21350,394,308,-2560
100.0,4844C6,B738,KLM94F,50.95352,4.43779,20775,392,308,-1088
120.0,4844C6,B738,KLM94F,50.97828,4.38774,20425,397,308,-1024
140.0,4844C6,B738,KLM94F,50.99977,4.3445,20100,397,308,-1024
160.0,4844C6,B738,KLM94F,51.02536,4.29447,20000,395,308,0
180.0,4844C6,B738,KLM94F,51.0449,4.25591,20000,394,308,0
220.0,4844C6,B738,KLM94F,51.09668,4.17124,19825,406,332,-832
240.0,4844C6,B738,KLM94F,51.13228,4.15504,19575,416,353,-768
260.0,4844C6,B738,KLM94F,51.18416,4.1538,19225,417,359,-768
280.0,4844C6,B738,KLM94F,51.20923,4.15306,19075,417,359,-768
300.0,4844C6,B738,KLM94F,51.24966,4.15179,18800,415,358,-768
320.0,4844C6,B738,KLM94F,51.2905,4.15031,18525,413,358,-896
340.0,4844C6,B738,KLM94F,51.32361,4.14917,18250,411,358,-960
360.0,4844C6,B738,KLM94F,51.36658,4.14786,17425,405,359,-2560
380.0,4844C6,B738,KLM94F,51.40388,4.14682,16575,401,359,-2496
400.0,4844C6,B738,KLM94F,51.43529,4.14604,15925,396,359,-2432
420.0,4844C6,B738,KLM94F,51.47713,4.14504,15025,390,359,-2624
440.0,4844C6,B738,KLM94F,51.50712,4.14421,14350,387,358,-2688
460.0,4844C6,B738,KLM94F,51.5452,4.14311,13525,383,359,-2368
480.0,4844C6,B738,KLM94F,51.57994,4.14214,12875,374,359,-2432
500.0,4844C6,B738,KLM94F,51.6133,4.14124,12175,368,358,-2368
520.0,4844C6,B738,KLM94F,51.64598,4.14032,11475,363,359,-2240
540.0,4844C6,B738,KLM94F,51.67964,4.13918,10625,361,358,-2496
560.0,4844C6,B738,KLM94F,51.71358,4.13826,10025,360,359,-768
580.0,4844C6,B738,KLM94F,51.74733,4.13742,10000,357,359,0
600.0,4844C6,B738,KLM94F,51.77922,4.13658,10000,356,359,0
620.0,4844C6,B738,KLM94F,51.81199,4.13567,10000,358,359,0
640.0,4844C6,B738,KLM94F,51.84523,4.13475,10000,359,359,0
660.0,4844C6,B738,KLM94F,51.87888,4.13368,10000,360,359,0
680.0,4844C6,B738,KLM94F,51.9118,4.13824,10000,363,17,-128
700.0,4844C6,B738,KLM94F,51.93903,4.16688,9925,342,41,-576
720.0,4844C6,B738,KLM94F,51.96151,4.20078,9825,323,44,-320
740.0,4844C6,B738,KLM94F,51.98274,4.2339,9450,314,43,-1280
760.0,4844C6,B738,KLM94F,52.00378,4.26568,9000,310,42,-1408
780.0,4844C6,B738,KLM94F,52.0252,4.29691,8475,310,42,-1600
800.0,4844C6,B738,KLM94F,52.04652,4.32799,7950,308,41,-1536
820.0,4844C6,B738,KLM94F,52.06807,4.3589,7400,309,41,-1728
840.0,4844C6,B738,KLM94F,52.0893,4.38982,7000,306,42,-384
860.0,4844C6,B738,KLM94F,52.11006,4.42058,7000,302,42,0
880.0,4844C6,B738,KLM94F,52.13087,4.45088,7000,299,41,64
900.0,4844C6,B738,KLM94F,52.15159,4.48101,7000,298,42,0
920.0,4844C6,B738,KLM94F,52.17212,4.51122,7000,299,42,0
940.0,4844C6,B738,KLM94F,52.19218,4.54159,7000,299,42,0
960.0,4844C6,B738,KLM94F,52.21285,4.5722,7000,300,42,-64
980.0,4844C6,B738,KLM94F,52.23352,4.60272,7000,300,42,0
1000.0,4844C6,B738,KLM94F,52.25414,4.63372,7000,301,43,64
1020.0,4844C6,B738,KLM94F,52.27416,4.66472,7000,302,42,-64
1040.0,4844C6,B738,KLM94F,52.29501,4.69587,7000,301,42,0
1060.0,4844C6,B738,KLM94F,52.31506,4.72534,7000,301,42,0
1080.0,4844C6,B738,KLM94F,52.33553,4.75632,6875,300,42,-1280
1100.0,4844C6,B738,KLM94F,52.35595,4.78886,6375,301,43,-1216
1120.0,4844C6,B738,KLM94F,52.3769,4.82017,6000,299,43,-448
1140.0,4844C6,B738,KLM94F,52.39687,4.85176,5975,278,43,0
1160.0,4844C6,B738,KLM94F,52.41382,4.8784,5975,261,43,0
1180.0,4844C6,B738,KLM94F,52.43394,4.90936,6000,256,43,0
1200.0,4844C6,B738,KLM94F,52.44923,4.93332,6000,255,43,0
1220.0,4844C6,B738,KLM94F,52.47198,4.96689,5975,254,33,-256
1240.0,4844C6,B738,KLM94F,52.49034,4.97688,5850,249,6,-640
1260.0,4844C6,B738,KLM94F,52.5113,4.97963,5700,247,4,-448
1280.0,4844C6,B738,KLM94F,52.53243,4.98206,5550,246,4,-384
1300.0,4844C6,B738,KLM94F,52.55464,4.98238,5375,239,347,-704
1320.0,4844C6,B738,KLM94F,52.57173,4.96513,5175,220,308,-704
