time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484F18,B738,KLM1074,52.76761,2.61647,24950,449,105,-2176
20.0,484F18,B738,KLM1074,52.75602,2.68208,24125,445,105,-2368
40.0,484F18,B738,KLM1074,52.74422,2.74971,23350,437,106,-2304
60.0,484F18,B738,KLM1074,52.73396,2.81007,22625,432,106,-2496
80.0,484F18,B738,KLM1074,52.72083,2.88548,21600,428,105,-2496
100.0,484F18,B738,KLM1074,52.71184,2.93531,20925,424,106,-2496
120.0,484F18,B738,KLM1074,52.70123,2.99715,20150,419,106,-2304
140.0,484F18,B738,KLM1074,52.68997,3.06076,19350,413,106,-2240
160.0,484F18,B738,KLM1074,52.67954,3.11768,18600,407,106,-2304
180.0,484F18,B738,KLM1074,52.66786,3.18573,17800,401,105,-2304
200.0,484F18,B738,KLM1074,52.65857,3.23814,17225,396,106,-2880
220.0,484F18,B738,KLM1074,52.64836,3.2959,16525,396,106,-1984
240.0,484F18,B738,KLM1074,52.63751,3.3532,15950,388,106,-1408
260.0,484F18,B738,KLM1074,52.62777,3.40615,15575,374,106,-1088
280.0,484F18,B738,KLM1074,52.61755,3.4626,14975,367,106,-1600
300.0,484F18,B738,KLM1074,52.60826,3.51578,14325,363,106,-1920
320.0,484F18,B738,KLM1074,52.59869,3.56857,13750,361,106,-1472
340.0,484F18,B738,KLM1074,52.5895,3.61874,13150,361,106,-1792
360.0,484F18,B738,KLM1074,52.57874,3.6792,12550,359,106,-1344
380.0,484F18,B738,KLM1074,52.56935,3.73085,12100,355,106,-1280
400.0,484F18,B738,KLM1074,52.56092,3.77459,11775,350,106,-1088
420.0,484F18,B738,KLM1074,52.55194,3.8245,11500,340,106,-1088
440.0,484F18,B738,KLM1074,52.54295,3.87331,11125,333,106,-1280
460.0,484F18,B738,KLM1074,52.53373,3.92141,10650,330,106,-1408
480.0,484F18,B738,KLM1074,52.52484,3.96897,10250,325,108,-1152
500.0,484F18,B738,KLM1074,52.51309,4.01688,9850,321,111,-1216
520.0,484F18,B738,KLM1074,52.50288,4.05724,9475,316,111,-1152
540.0,484F18,B738,KLM1074,52.49212,4.10355,9100,311,111,-1408
560.0,484F18,B738,KLM1074,52.48141,4.1475,8575,311,111,-1536
580.0,484F18,B738,KLM1074,52.47089,4.189,8325,310,111,-640
600.0,484F18,B738,KLM1074,52.45967,4.23698,8075,308,111,-704
620.0,484F18,B738,KLM1074,52.44896,4.27808,7850,309,112,-640
640.0,484F18,B738,KLM1074,52.43849,4.32155,7625,309,112,-640
660.0,484F18,B738,KLM1074,52.42809,4.36295,7400,307,109,-768
680.0,484F18,B738,KLM1074,52.4249,4.41023,7175,299,93,-704
700.0,484F18,B738,KLM1074,52.42327,4.45558,7000,298,93,-64
720.0,484F18,B738,KLM1074,52.42168,4.49821,7000,296,93,0
740.0,484F18,B738,KLM1074,52.42001,4.54512,7000,295,93,0
760.0,484F18,B738,KLM1074,52.41833,4.5919,7000,295,93,0
780.0,484F18,B738,KLM1074,52.41696,4.63219,7000,295,93,0
800.0,484F18,B738,KLM1074,52.41535,4.67923,7000,296,93,0
820.0,484F18,B738,KLM1074,52.41382,4.72396,7000,296,93,0
840.0,484F18,B738,KLM1074,52.41233,4.76854,6925,293,93,-704
860.0,484F18,B738,KLM1074,52.41088,4.81193,6750,279,93,-320
880.0,484F18,B738,KLM1074,52.40953,4.85313,6625,267,93,-384
900.0,484F18,B738,KLM1074,52.40818,4.89315,6300,262,93,-1088
920.0,484F18,B738,KLM1074,52.4068,4.93469,5875,262,92,-1152
940.0,484F18,B738,KLM1074,52.40567,4.97249,5525,263,93,-1088
960.0,484F18,B738,KLM1074,52.40427,5.0122,5125,262,93,-1088
