time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484135,B738,TRA89M,51.17627,3.60817,24825,361,23,-1024
20.0,484135,B738,TRA89M,51.21112,3.63284,24450,359,23,-1024
60.0,484135,B738,TRA89M,51.26477,3.66989,23825,351,23,-1152
80.0,484135,B738,TRA89M,51.28711,3.68554,23550,348,23,-1088
100.0,484135,B738,TRA89M,51.317,3.7072,23100,344,23,-2496
120.0,484135,B738,TRA89M,51.34264,3.72466,22325,346,23,-2176
140.0,484135,B738,TRA89M,51.37631,3.7484,21550,342,23,-1984
160.0,484135,B738,TRA89M,51.40292,3.76764,20950,337,23,-1984
180.0,484135,B738,TRA89M,51.44215,3.7957,20050,332,23,-1984
200.0,484135,B738,TRA89M,51.45932,3.80758,19650,329,23,-1920
220.0,484135,B738,TRA89M,51.4866,3.82703,19025,324,23,-1920
240.0,484135,B738,TRA89M,51.51242,3.84455,18425,320,23,-1920
260.0,484135,B738,TRA89M,51.53989,3.86475,17825,315,24,-1856
280.0,484135,B738,TRA89M,51.56624,3.88374,17200,312,24,-1856
320.0,484135,B738,TRA89M,51.62732,3.92709,15825,303,23,-1728
340.0,484135,B738,TRA89M,51.64343,3.93793,15450,301,23,-1792
360.0,484135,B738,TRA89M,51.67284,3.95874,14775,299,24,-1728
380.0,484135,B738,TRA89M,51.69594,3.97594,14250,295,24,-1792
400.0,484135,B738,TRA89M,51.71869,3.99212,13750,292,24,-1536
420.0,484135,B738,TRA89M,51.74286,4.00971,13375,282,24,-1152
440.0,484135,B738,TRA89M,51.76744,4.02748,12975,273,23,-1152
460.0,484135,B738,TRA89M,51.7896,4.04304,12575,268,23,-1472
480.0,484135,B738,TRA89M,51.81184,4.05915,12075,265,23,-1472
500.0,484135,B738,TRA89M,51.83446,4.07533,11575,264,24,-1472
520.0,484135,B738,TRA89M,51.85719,4.09195,11075,259,23,-1536
540.0,484135,B738,TRA89M,51.87912,4.10767,10575,259,24,-1472
560.0,484135,B738,TRA89M,51.90047,4.12308,10100,258,25,-1472
580.0,484135,B738,TRA89M,51.92253,4.14635,9825,266,38,-768
600.0,484135,B738,TRA89M,51.93929,4.17038,9575,269,41,-896
620.0,484135,B738,TRA89M,51.95815,4.19746,9250,274,41,-896
640.0,484135,B738,TRA89M,51.97723,4.22508,8950,274,41,-896
660.0,484135,B738,TRA89M,51.99596,4.25247,8650,271,42,-768
680.0,484135,B738,TRA89M,52.01472,4.28001,8400,273,42,-768
700.0,484135,B738,TRA89M,52.03354,4.30763,8150,273,42,-704
720.0,484135,B738,TRA89M,52.05263,4.33517,7900,275,41,-704
740.0,484135,B738,TRA89M,52.07121,4.36279,7675,275,41,-704
760.0,484135,B738,TRA89M,52.09026,4.39003,7400,269,41,-832
780.0,484135,B738,TRA89M,52.10884,4.4165,7100,262,41,-832
800.0,484135,B738,TRA89M,52.12633,4.44199,7000,247,41,0
820.0,484135,B738,TRA89M,52.14372,4.46743,7000,240,41,0
840.0,484135,B738,TRA89M,52.16057,4.49168,7000,242,42,-64
860.0,484135,B738,TRA89M,52.17738,4.51617,7000,242,41,0
880.0,484135,B738,TRA89M,52.19362,4.53903,7000,239,41,0
900.0,484135,B738,TRA89M,52.21019,4.56306,7000,239,41,0
920.0,484135,B738,TRA89M,52.227,4.58828,7000,239,41,64
940.0,484135,B738,TRA89M,52.24324,4.61121,7000,240,41,0
960.0,484135,B738,TRA89M,52.25963,4.63516,7000,240,41,-64
980.0,484135,B738,TRA89M,52.27629,4.65942,7000,240,42,0
1000.0,484135,B738,TRA89M,52.29357,4.68496,7000,238,42,-64
1020.0,484135,B738,TRA89M,52.3114,4.71149,7000,238,42,0
1040.0,484135,B738,TRA89M,52.32724,4.7345,6925,237,41,-832
1060.0,484135,B738,TRA89M,52.34245,4.75716,6650,238,41,-768
1080.0,484135,B738,TRA89M,52.35893,4.78149,6400,240,41,-768
1100.0,484135,B738,TRA89M,52.37741,4.8084,6000,242,42,-1024
1120.0,484135,B738,TRA89M,52.39138,4.83304,5700,252,59,-1024
1140.0,484135,B738,TRA89M,52.39572,4.86908,5350,267,91,-1152
1160.0,484135,B738,TRA89M,52.39458,4.90921,5050,262,92,-960
