time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484164,B738,KLM34M,52.77942,2.57385,24975,464,122,-1792
20.0,484164,B738,KLM34M,52.76524,2.61271,24600,461,122,-1728
40.0,484164,B738,KLM34M,52.73964,2.67776,23900,454,122,-1792
60.0,484164,B738,KLM34M,52.72046,2.73018,23400,448,122,-1856
80.0,484164,B738,KLM34M,52.69397,2.79908,22650,443,122,-1984
100.0,484164,B738,KLM34M,52.67651,2.84475,22125,440,121,-1984
120.0,484164,B738,KLM34M,52.65328,2.90714,21425,437,121,-1856
140.0,484164,B738,KLM34M,52.63359,2.9576,20875,432,121,-1664
160.0,484164,B738,KLM34M,52.6111,3.01127,20300,429,126,-1728
180.0,484164,B738,KLM34M,52.58647,3.06633,19675,425,126,-1856
200.0,484164,B738,KLM34M,52.56469,3.11541,19150,419,126,-1856
220.0,484164,B738,KLM34M,52.54174,3.16657,18550,415,126,-1216
240.0,484164,B738,KLM34M,52.51849,3.21915,18350,399,126,-448
260.0,484164,B738,KLM34M,52.4977,3.26467,17975,391,126,-1280
280.0,484164,B738,KLM34M,52.47629,3.31474,17650,381,125,-1408
300.0,484164,B738,KLM34M,52.45848,3.36403,17125,375,110,-1664
320.0,484164,B738,KLM34M,52.45455,3.41541,16600,354,85,-1792
340.0,484164,B738,KLM34M,52.46484,3.46344,16000,326,60,-1536
360.0,484164,B738,KLM34M,52.48039,3.50605,15450,323,59,-1408
380.0,484164,B738,KLM34M,52.49835,3.54759,14875,301,41,-1600
400.0,484164,B738,KLM34M,52.52117,3.57566,14300,293,35,-1600
420.0,484164,B738,KLM34M,52.5412,3.60023,13900,288,36,-1408
440.0,484164,B738,KLM34M,52.56153,3.62463,13450,285,36,-1984
460.0,484164,B738,KLM34M,52.58308,3.65036,12850,286,35,-1536
480.0,484164,B738,KLM34M,52.6038,3.6783,12275,300,48,-1728
500.0,484164,B738,KLM34M,52.61623,3.75748,11525,336,91,-832
520.0,484164,B738,KLM34M,52.61595,3.77271,11425,334,91,-1216
540.0,484164,B738,KLM34M,52.61525,3.82293,11075,326,91,-1024
560.0,484164,B738,KLM34M,52.61488,3.87197,10675,320,90,-1216
580.0,484164,B738,KLM34M,52.61238,3.92258,10225,322,104,-896
600.0,484164,B738,KLM34M,52.6004,3.97972,10000,316,113,64
620.0,484164,B738,KLM34M,52.59062,4.00977,10000,317,118,-64
640.0,484164,B738,KLM34M,52.57633,4.05199,10000,319,119,-64
660.0,484164,B738,KLM34M,52.56213,4.09453,9975,315,119,-64
680.0,484164,B738,KLM34M,52.54826,4.13486,9975,297,119,64
700.0,484164,B738,KLM34M,52.53481,4.17331,9975,289,119,-704
720.0,484164,B738,KLM34M,52.52117,4.21137,9600,289,119,-1024
740.0,484164,B738,KLM34M,52.5076,4.25133,9275,287,120,-960
760.0,484164,B738,KLM34M,52.49463,4.28718,8950,287,119,-960
780.0,484164,B738,KLM34M,52.4815,4.32485,8625,286,119,-1024
800.0,484164,B738,KLM34M,52.46819,4.36267,8300,285,119,-960
820.0,484164,B738,KLM34M,52.45548,4.40018,7975,285,120,-960
840.0,484164,B738,KLM34M,52.4424,4.43738,7625,281,119,-1024
860.0,484164,B738,KLM34M,52.42946,4.4741,7300,277,119,-1024
880.0,484164,B738,KLM34M,52.41666,4.51059,7000,275,120,-320
900.0,484164,B738,KLM34M,52.40395,4.5463,7000,269,118,64
920.0,484164,B738,KLM34M,52.39897,4.58514,7000,263,89,0
940.0,484164,B738,KLM34M,52.39961,4.62692,7000,264,88,0
960.0,484164,B738,KLM34M,52.40027,4.66487,7000,263,88,0
980.0,484164,B738,KLM34M,52.40108,4.70673,7000,263,88,0
1000.0,484164,B738,KLM34M,52.40195,4.74632,7000,262,88,0
1020.0,484164,B738,KLM34M,52.40278,4.78392,7000,262,88,0
1040.0,484164,B738,KLM34M,52.40353,4.8237,7000,262,88,0
1060.0,484164,B738,KLM34M,52.40423,4.86333,6750,262,88,-1408
1080.0,484164,B738,KLM34M,52.40511,4.90296,6225,263,87,-1600
1100.0,484164,B738,KLM34M,52.40609,4.94259,5725,262,87,-1408
1120.0,484164,B738,KLM34M,52.40702,4.9823,5225,261,88,-1472
