time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4951D5,A320,TAP674,51.18591,3.61938,24900,374,25,-1024
40.0,4951D5,A320,TAP674,51.26253,3.66825,23475,371,14,-1408
60.0,4951D5,A320,TAP674,51.29045,3.6796,23100,372,14,-1408
80.0,4951D5,A320,TAP674,51.33138,3.6966,22475,371,14,-1408
120.0,4951D5,A320,TAP674,51.39125,3.72117,21350,365,14,-1088
140.0,4951D5,A320,TAP674,51.42311,3.73424,21050,352,14,-896
160.0,4951D5,A320,TAP674,51.44469,3.74313,20825,343,14,-1024
180.0,4951D5,A320,TAP674,51.47369,3.75504,20550,334,14,-832
200.0,4951D5,A320,TAP674,51.50316,3.76717,20275,324,14,-768
220.0,4951D5,A320,TAP674,51.53226,3.77922,19725,319,14,-2176
240.0,4951D5,A320,TAP674,51.56419,3.7925,18675,323,14,-2624
260.0,4951D5,A320,TAP674,51.59082,3.80363,17950,321,14,-2048
280.0,4951D5,A320,TAP674,51.62201,3.81656,17200,315,14,-2112
300.0,4951D5,A320,TAP674,51.64549,3.82629,16625,310,14,-2112
320.0,4951D5,A320,TAP674,51.67573,3.83881,15825,306,14,-2304
340.0,4951D5,A320,TAP674,51.70092,3.84926,15100,306,14,-2304
360.0,4951D5,A320,TAP674,51.72689,3.86665,14350,298,34,-2496
380.0,4951D5,A320,TAP674,51.74776,3.89502,13575,296,41,-2176
400.0,4951D5,A320,TAP674,51.76786,3.92365,12925,292,41,-1280
420.0,4951D5,A320,TAP674,51.78891,3.95367,12400,279,41,-1600
440.0,4951D5,A320,TAP674,51.80704,3.97972,11850,274,41,-1984
460.0,4951D5,A320,TAP674,51.82581,4.00688,11425,272,41,-1152
480.0,4951D5,A320,TAP674,51.84462,4.03397,11050,268,41,-1088
500.0,4951D5,A320,TAP674,51.86256,4.05982,10700,264,41,-960
520.0,4951D5,A320,TAP674,51.88098,4.08638,10375,258,41,-1024
540.0,4951D5,A320,TAP674,51.89862,4.11195,10075,252,41,-512
560.0,4951D5,A320,TAP674,51.91543,4.13769,10000,251,49,-64
580.0,4951D5,A320,TAP674,51.92459,4.17046,10000,244,80,0
600.0,4951D5,A320,TAP674,51.92093,4.2054,10000,237,116,0
620.0,4951D5,A320,TAP674,51.90527,4.23164,10000,237,151,0
640.0,4951D5,A320,TAP674,51.88426,4.23887,10000,242,183,0
660.0,4951D5,A320,TAP674,51.86353,4.22521,10000,252,216,64
680.0,4951D5,A320,TAP674,51.84672,4.20029,10000,253,223,0
700.0,4951D5,A320,TAP674,51.82949,4.17427,9875,254,223,-1088
720.0,4951D5,A320,TAP674,51.81679,4.14355,9500,259,248,-960
740.0,4951D5,A320,TAP674,51.81445,4.10503,9175,265,280,-1024
760.0,4951D5,A320,TAP674,51.82764,4.07095,8850,269,320,-896
780.0,4951D5,A320,TAP674,51.85126,4.05744,8550,268,359,-960
800.0,4951D5,A320,TAP674,51.87316,4.06815,8225,259,33,-960
820.0,4951D5,A320,TAP674,51.89163,4.09449,7950,257,42,-960
840.0,4951D5,A320,TAP674,51.90852,4.11919,7600,258,41,-1024
860.0,4951D5,A320,TAP674,51.93158,4.15236,7175,256,41,-1024
880.0,4951D5,A320,TAP674,51.94423,4.17091,7050,256,42,-128
900.0,4951D5,A320,TAP674,51.96282,4.19827,7000,259,42,0
920.0,4951D5,A320,TAP674,51.98007,4.22394,7000,258,42,0
940.0,4951D5,A320,TAP674,51.99932,4.24582,6850,264,21,-1024
960.0,4951D5,A320,TAP674,52.02687,4.25775,6500,260,13,-960
980.0,4951D5,A320,TAP674,52.04526,4.26483,6225,258,13,-960
1000.0,4951D5,A320,TAP674,52.069,4.27431,5925,255,14,-960
1020.0,4951D5,A320,TAP674,52.09242,4.28428,5600,257,14,-1024
1040.0,4951D5,A320,TAP674,52.11433,4.2939,5275,259,15,-960
