time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,345042,A321,VLG83WG,50.81895,3.30087,24650,348,28,-1088
20.0,345042,A321,VLG83WG,50.83532,3.31474,24450,348,28,-1024
40.0,345042,A321,VLG83WG,50.85782,3.33376,24225,345,28,-832
60.0,345042,A321,VLG83WG,50.88588,3.35762,23875,345,28,-1152
80.0,345042,A321,VLG83WG,50.9236,3.38988,23400,342,28,-960
100.0,345042,A321,VLG83WG,50.95862,3.41964,23025,341,28,-960
140.0,345042,A321,VLG83WG,50.9977,3.45284,22525,340,28,-1088
160.0,345042,A321,VLG83WG,51.02911,3.47977,22125,340,28,-960
180.0,345042,A321,VLG83WG,51.05077,3.49823,22025,340,28,-64
200.0,345042,A321,VLG83WG,51.0802,3.52342,22000,343,28,0
220.0,345042,A321,VLG83WG,51.11105,3.54999,22000,342,28,0
240.0,345042,A321,VLG83WG,51.13477,3.57004,22000,340,27,64
260.0,345042,A321,VLG83WG,51.16319,3.59062,22000,358,23,-64
280.0,345042,A321,VLG83WG,51.20137,3.61762,21975,380,24,0
300.0,345042,A321,VLG83WG,51.23218,3.6396,22000,389,24,-128
320.0,345042,A321,VLG83WG,51.26267,3.66158,21800,389,24,-1024
340.0,345042,A321,VLG83WG,51.29442,3.68431,21450,388,24,-1024
360.0,345042,A321,VLG83WG,51.33096,3.71048,21075,388,24,-960
380.0,345042,A321,VLG83WG,51.35847,3.73008,20825,387,24,-960
400.0,345042,A321,VLG83WG,51.39322,3.75502,20350,384,24,-1856
420.0,345042,A321,VLG83WG,51.42295,3.7764,19700,380,24,-2240
440.0,345042,A321,VLG83WG,51.45498,3.79944,19125,370,24,-896
460.0,345042,A321,VLG83WG,51.49618,3.82919,18800,364,24,-1728
480.0,345042,A321,VLG83WG,51.51627,3.84358,18250,367,24,-3200
500.0,345042,A321,VLG83WG,51.54735,3.86593,17125,372,24,-2624
520.0,345042,A321,VLG83WG,51.579,3.88893,16350,367,24,-2304
540.0,345042,A321,VLG83WG,51.60883,3.91052,15475,359,23,-3072
560.0,345042,A321,VLG83WG,51.63928,3.9325,14275,353,24,-3840
580.0,345042,A321,VLG83WG,51.66865,3.95401,13025,353,24,-2752
600.0,345042,A321,VLG83WG,51.69794,3.97537,12475,329,24,-1344
620.0,345042,A321,VLG83WG,51.72387,3.99467,12050,303,24,-1280
640.0,345042,A321,VLG83WG,51.74952,4.01344,11550,282,24,-1792
660.0,345042,A321,VLG83WG,51.77225,4.0299,10900,273,24,-2304
680.0,345042,A321,VLG83WG,51.79504,4.04631,9950,273,24,-3008
700.0,345042,A321,VLG83WG,51.81853,4.06346,9125,271,24,-2368
720.0,345042,A321,VLG83WG,51.84068,4.07964,8375,267,24,-2752
740.0,345042,A321,VLG83WG,51.86348,4.09622,7500,268,24,-2176
760.0,345042,A321,VLG83WG,51.88619,4.11301,7050,267,24,-576
780.0,345042,A321,VLG83WG,51.90821,4.12984,7000,263,28,-64
800.0,345042,A321,VLG83WG,51.92743,4.15405,7000,269,41,0
820.0,345042,A321,VLG83WG,51.94634,4.18147,7000,270,42,0
840.0,345042,A321,VLG83WG,51.96179,4.21302,7000,276,59,64
860.0,345042,A321,VLG83WG,51.97501,4.25085,7000,278,60,-64
880.0,345042,A321,VLG83WG,51.98712,4.28592,7000,277,60,64
900.0,345042,A321,VLG83WG,51.99971,4.32205,6975,276,60,-256
920.0,345042,A321,VLG83WG,52.01207,4.35773,6650,266,60,-1024
940.0,345042,A321,VLG83WG,52.02389,4.3921,5950,263,60,-2944
960.0,345042,A321,VLG83WG,52.03587,4.4268,5100,266,60,-2368
