time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484B92,B737,KLM1254,51.08098,3.45134,24650,415,26,-1088
20.0,484B92,B737,KLM1254,51.09146,3.45965,24550,416,26,-896
40.0,484B92,B737,KLM1254,51.1233,3.48602,24275,419,26,-896
60.0,484B92,B737,KLM1254,51.16328,3.51822,23950,424,26,-960
100.0,484B92,B737,KLM1254,51.22864,3.57071,23350,424,26,-1088
120.0,484B92,B737,KLM1254,51.27059,3.60451,22950,421,26,-1024
140.0,484B92,B737,KLM1254,51.31197,3.63815,22525,418,26,-1088
160.0,484B92,B737,KLM1254,51.34,3.66051,22250,415,26,-1024
180.0,484B92,B737,KLM1254,51.37578,3.68962,21900,412,26,-1024
200.0,484B92,B737,KLM1254,51.40549,3.71442,21600,410,26,-1024
220.0,484B92,B737,KLM1254,51.4379,3.74046,21300,409,27,-1024
240.0,484B92,B737,KLM1254,51.48142,3.77617,20850,406,27,-1024
260.0,484B92,B737,KLM1254,51.50684,3.79682,20600,405,27,-1024
280.0,484B92,B737,KLM1254,51.53505,3.82004,20050,402,27,-3200
300.0,484B92,B737,KLM1254,51.56824,3.84705,18950,397,26,-2496
320.0,484B92,B737,KLM1254,51.6015,3.87483,17875,391,27,-3264
340.0,484B92,B737,KLM1254,51.63248,3.89984,16900,386,27,-3136
360.0,484B92,B737,KLM1254,51.66428,3.92586,16000,380,27,-2688
380.0,484B92,B737,KLM1254,51.69477,3.95119,15100,372,27,-3008
400.0,484B92,B737,KLM1254,51.72549,3.97659,14100,369,27,-2944
420.0,484B92,B737,KLM1254,51.75571,4.00139,13200,361,27,-3072
440.0,484B92,B737,KLM1254,51.78559,4.02588,12250,358,27,-2112
460.0,484B92,B737,KLM1254,51.81441,4.04984,11600,346,27,-1920
480.0,484B92,B737,KLM1254,51.84234,4.07318,10925,336,26,-1856
500.0,484B92,B737,KLM1254,51.86948,4.09538,10575,319,26,-576
520.0,484B92,B737,KLM1254,51.89561,4.11736,10350,300,27,-896
540.0,484B92,B737,KLM1254,51.91785,4.13941,10050,293,37,-704
560.0,484B92,B737,KLM1254,51.93896,4.16939,9800,282,41,-832
580.0,484B92,B737,KLM1254,51.95746,4.19584,9375,277,41,-1088
600.0,484B92,B737,KLM1254,51.97613,4.22322,9050,271,42,-960
620.0,484B92,B737,KLM1254,51.9948,4.25045,8700,269,42,-1024
640.0,484B92,B737,KLM1254,52.01333,4.27784,8350,268,42,-960
660.0,484B92,B737,KLM1254,52.0313,4.30499,8050,269,42,-1024
680.0,484B92,B737,KLM1254,52.04973,4.33191,7700,266,41,-960
700.0,484B92,B737,KLM1254,52.06826,4.35843,7375,266,41,-1024
720.0,484B92,B737,KLM1254,52.0866,4.38488,7100,257,41,-448
740.0,484B92,B737,KLM1254,52.10378,4.41015,7000,243,42,-64
760.0,484B92,B737,KLM1254,52.11993,4.43447,7000,237,42,0
780.0,484B92,B737,KLM1254,52.13627,4.45841,7000,236,42,-64
800.0,484B92,B737,KLM1254,52.15229,4.4825,7000,235,42,0
820.0,484B92,B737,KLM1254,52.16825,4.50659,7000,236,42,-64
840.0,484B92,B737,KLM1254,52.1845,4.53068,7000,235,42,0
860.0,484B92,B737,KLM1254,52.20099,4.55612,7000,237,42,0
880.0,484B92,B737,KLM1254,52.21662,4.57926,7000,237,42,0
900.0,484B92,B737,KLM1254,52.23277,4.60343,7000,236,42,0
920.0,484B92,B737,KLM1254,52.2486,4.62776,7000,237,42,0
940.0,484B92,B737,KLM1254,52.26517,4.65224,7000,238,42,0
960.0,484B92,B737,KLM1254,52.28183,4.67789,7000,237,42,0
980.0,484B92,B737,KLM1254,52.2986,4.7034,7000,236,42,-64
1000.0,484B92,B737,KLM1254,52.31447,4.72649,7000,235,42,0
1020.0,484B92,B737,KLM1254,52.32923,4.74947,6975,234,43,-192
1040.0,484B92,B737,KLM1254,52.34601,4.77493,6550,236,42,-1216
1060.0,484B92,B737,KLM1254,52.36226,4.79935,6150,237,42,-1024
1080.0,484B92,B737,KLM1254,52.37746,4.82268,5825,237,42,-960
1100.0,484B92,B737,KLM1254,52.39192,4.85176,5500,244,68,-512
1120.0,484B92,B737,KLM1254,52.39458,4.88831,5375,243,88,-512
1140.0,484B92,B737,KLM1254,52.39515,4.92258,5150,237,88,-768
