time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,A64CDB,A359,DAL134,52.91593,1.74942,24975,447,105,-2048
20.0,A64CDB,A359,DAL134,52.90901,1.79153,24600,444,105,-1216
40.0,A64CDB,A359,DAL134,52.90136,1.8377,24300,437,105,-1600
60.0,A64CDB,A359,DAL134,52.88383,1.9426,23275,429,105,-1536
80.0,A64CDB,A359,DAL134,52.87697,1.98341,22875,426,105,-2112
100.0,A64CDB,A359,DAL134,52.86831,2.03537,22300,425,105,-2048
120.0,A64CDB,A359,DAL134,52.85886,2.0918,21725,422,105,-1728
140.0,A64CDB,A359,DAL134,52.84799,2.1563,21050,418,105,-1856
160.0,A64CDB,A359,DAL134,52.83824,2.2139,20450,416,105,-1856
180.0,A64CDB,A359,DAL134,52.82767,2.27645,20050,422,105,-256
200.0,A64CDB,A359,DAL134,52.81705,2.33864,20000,426,105,0
220.0,A64CDB,A359,DAL134,52.80616,2.40224,20000,427,105,0
240.0,A64CDB,A359,DAL134,52.79503,2.4669,20000,428,105,0
260.0,A64CDB,A359,DAL134,52.78313,2.53578,20000,429,105,0
280.0,A64CDB,A359,DAL134,52.77385,2.58932,19975,428,105,-640
300.0,A64CDB,A359,DAL134,52.76299,2.65182,19425,425,106,-1984
320.0,A64CDB,A359,DAL134,52.75244,2.71221,18900,418,106,-1344
340.0,A64CDB,A359,DAL134,52.74042,2.78084,18275,413,106,-1600
360.0,A64CDB,A359,DAL134,52.73108,2.83424,18025,416,106,-192
380.0,A64CDB,A359,DAL134,52.72018,2.89619,18000,416,106,0
400.0,A64CDB,A359,DAL134,52.70929,2.95792,18000,415,106,0
420.0,A64CDB,A359,DAL134,52.69816,3.02077,17975,414,106,-640
440.0,A64CDB,A359,DAL134,52.68796,3.07793,17550,410,106,-1152
460.0,A64CDB,A359,DAL134,52.67753,3.1362,16975,389,106,-2240
480.0,A64CDB,A359,DAL134,52.66697,3.19475,15900,376,106,-3776
500.0,A64CDB,A359,DAL134,52.65766,3.24662,14600,376,106,-4992
520.0,A64CDB,A359,DAL134,52.64799,3.30116,12875,384,106,-5376
540.0,A64CDB,A359,DAL134,52.63802,3.35732,11600,375,106,-1920
560.0,A64CDB,A359,DAL134,52.62827,3.41026,11125,346,106,-1216
580.0,A64CDB,A359,DAL134,52.61869,3.46203,10900,328,106,-512
600.0,A64CDB,A359,DAL134,52.61073,3.50533,10550,313,106,-1792
620.0,A64CDB,A359,DAL134,52.60245,3.55094,9975,311,106,-1600
640.0,A64CDB,A359,DAL134,52.59421,3.59645,9575,307,106,-1088
660.0,A64CDB,A359,DAL134,52.58597,3.64181,9175,304,106,-1408
680.0,A64CDB,A359,DAL134,52.57796,3.68553,8725,304,106,-1280
700.0,A64CDB,A359,DAL134,52.56986,3.72907,8300,302,106,-1280
720.0,A64CDB,A359,DAL134,52.5618,3.77296,7975,296,106,-1024
740.0,A64CDB,A359,DAL134,52.55408,3.81485,7475,298,106,-1664
760.0,A64CDB,A359,DAL134,52.54591,3.85849,7100,299,107,-832
780.0,A64CDB,A359,DAL134,52.54086,3.90336,7000,298,91,-64
800.0,A64CDB,A359,DAL134,52.54123,3.94731,6900,295,88,-1088
820.0,A64CDB,A359,DAL134,52.54211,3.99259,6550,290,87,-1088
840.0,A64CDB,A359,DAL134,52.5433,4.03595,6100,290,87,-1536
860.0,A64CDB,A359,DAL134,52.54472,4.08056,5625,291,87,-1344
880.0,A64CDB,A359,DAL134,52.54605,4.12399,5225,288,86,-896
