time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4845EB,B738,TFL570,50.82637,3.18871,24425,363,35,-1088
20.0,4845EB,B738,TFL570,50.84532,3.21046,24225,361,35,-896
40.0,4845EB,B738,TFL570,50.87596,3.24524,24000,360,35,64
80.0,4845EB,B738,TFL570,50.93083,3.3074,24000,359,35,-64
100.0,4845EB,B738,TFL570,50.94919,3.32819,24000,359,35,0
120.0,4845EB,B738,TFL570,51.00021,3.38631,24000,360,35,0
140.0,4845EB,B738,TFL570,51.00291,3.38943,24000,360,35,0
160.0,4845EB,B738,TFL570,51.03127,3.4218,24000,360,35,0
180.0,4845EB,B738,TFL570,51.05803,3.45245,24000,361,35,0
200.0,4845EB,B738,TFL570,51.08512,3.48351,24000,361,35,0
220.0,4845EB,B738,TFL570,51.11247,3.51496,24000,363,35,0
240.0,4845EB,B738,TFL570,51.14452,3.55185,24000,363,35,0
260.0,4845EB,B738,TFL570,51.18391,3.59741,24000,363,36,-64
280.0,4845EB,B738,TFL570,51.19643,3.61183,24000,364,35,-64
300.0,4845EB,B738,TFL570,51.22492,3.64296,23975,350,30,-64
320.0,4845EB,B738,TFL570,51.24913,3.66127,23700,329,21,-1152
340.0,4845EB,B738,TFL570,51.27667,3.67426,23325,315,15,-1152
360.0,4845EB,B738,TFL570,51.30542,3.69148,22950,312,24,-1088
380.0,4845EB,B738,TFL570,51.33013,3.70911,22525,305,24,-1600
400.0,4845EB,B738,TFL570,51.35829,3.72917,21900,302,24,-1664
420.0,4845EB,B738,TFL570,51.38539,3.74856,21325,299,24,-1664
440.0,4845EB,B738,TFL570,51.40726,3.76419,20850,297,24,-1664
460.0,4845EB,B738,TFL570,51.43799,3.78627,20175,295,24,-1600
480.0,4845EB,B738,TFL570,51.45554,3.79913,19800,294,24,-1664
500.0,4845EB,B738,TFL570,51.48561,3.82088,19150,291,24,-1600
520.0,4845EB,B738,TFL570,51.50465,3.83461,18725,289,24,-1600
540.0,4845EB,B738,TFL570,51.52917,3.85227,18200,286,24,-1600
560.0,4845EB,B738,TFL570,51.55688,3.87222,17575,285,24,-1600
600.0,4845EB,B738,TFL570,51.6162,3.91551,16325,281,24,-1536
620.0,4845EB,B738,TFL570,51.62466,3.9219,16100,282,25,-1984
640.0,4845EB,B738,TFL570,51.64732,3.94647,15250,296,39,-2560
680.0,4845EB,B738,TFL570,51.70093,4.03117,12975,320,44,-2240
700.0,4845EB,B738,TFL570,51.70894,4.04386,12700,321,44,-1920
720.0,4845EB,B738,TFL570,51.73132,4.07934,12050,319,44,-1856
740.0,4845EB,B738,TFL570,51.7505,4.10993,11550,316,44,-1856
760.0,4845EB,B738,TFL570,51.77119,4.14311,11000,313,44,-1152
780.0,4845EB,B738,TFL570,51.79179,4.17595,10425,307,44,-2176
800.0,4845EB,B738,TFL570,51.81176,4.20792,9825,302,45,-2176
820.0,4845EB,B738,TFL570,51.8313,4.23953,9175,300,44,-1344
840.0,4845EB,B738,TFL570,51.85114,4.27124,8600,299,44,-1792
860.0,4845EB,B738,TFL570,51.87135,4.30323,8225,292,44,-512
880.0,4845EB,B738,TFL570,51.88921,4.33203,8050,277,45,-512
900.0,4845EB,B738,TFL570,51.90742,4.36142,7725,271,45,-1280
920.0,4845EB,B738,TFL570,51.92497,4.38951,7300,268,44,-1216
940.0,4845EB,B738,TFL570,51.94275,4.41847,6850,267,45,-1344
960.0,4845EB,B738,TFL570,51.9597,4.44617,6425,264,45,-1216
980.0,4845EB,B738,TFL570,51.97688,4.47403,6000,262,44,-1216
1000.0,4845EB,B738,TFL570,51.99424,4.50228,5575,260,45,-1216
1020.0,4845EB,B738,TFL570,52.01193,4.53084,5150,259,44,-1152
