time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484161,B738,KLM1670,50.78775,3.23715,24625,404,30,-2624
20.0,484161,B738,KLM1670,50.81358,3.26096,23925,400,30,-2624
40.0,484161,B738,KLM1670,50.84729,3.29174,23000,395,30,-2688
60.0,484161,B738,KLM1670,50.87448,3.31795,22300,390,30,-2240
100.0,484161,B738,KLM1670,50.93741,3.37669,22000,384,30,0
120.0,484161,B738,KLM1670,50.96613,3.40361,21975,371,30,128
140.0,484161,B738,KLM1670,51.01414,3.44822,21975,329,30,-64
160.0,484161,B738,KLM1670,51.02234,3.4555,21975,325,30,0
180.0,484161,B738,KLM1670,51.04784,3.47933,21975,318,30,0
200.0,484161,B738,KLM1670,51.08163,3.51105,21500,314,30,-2048
220.0,484161,B738,KLM1670,51.09951,3.52737,21075,313,30,-1664
240.0,484161,B738,KLM1670,51.12413,3.55064,20550,308,30,-1536
260.0,484161,B738,KLM1670,51.14955,3.57494,20075,303,30,-960
280.0,484161,B738,KLM1670,51.17326,3.59765,20000,299,30,-64
300.0,484161,B738,KLM1670,51.2,3.6223,20000,298,30,0
320.0,484161,B738,KLM1670,51.22211,3.63922,20000,284,12,-64
340.0,484161,B738,KLM1670,51.24944,3.64471,20000,281,5,0
360.0,484161,B738,KLM1670,51.2771,3.64868,20000,283,5,-192
380.0,484161,B738,KLM1670,51.29763,3.65181,19625,283,5,-2176
400.0,484161,B738,KLM1670,51.32263,3.65563,19075,286,5,-832
420.0,484161,B738,KLM1670,51.355,3.66053,18925,283,5,-1408
440.0,484161,B738,KLM1670,51.37719,3.66615,18425,290,16,-1664
460.0,484161,B738,KLM1670,51.40494,3.68703,18025,300,30,-64
480.0,484161,B738,KLM1670,51.42503,3.70484,18000,322,28,-576
500.0,484161,B738,KLM1670,51.45354,3.72917,17650,335,28,-1792
520.0,484161,B738,KLM1670,51.48065,3.75183,17050,346,28,-896
540.0,484161,B738,KLM1670,51.50798,3.77655,17025,352,28,0
560.0,484161,B738,KLM1670,51.53755,3.80171,16975,356,28,-512
580.0,484161,B738,KLM1670,51.56644,3.82695,16400,353,28,-3456
600.0,484161,B738,KLM1670,51.59486,3.85212,15375,356,28,-2752
620.0,484161,B738,KLM1670,51.62499,3.87856,14600,350,28,-1472
640.0,484161,B738,KLM1670,51.65167,3.90208,14150,341,28,-1536
660.0,484161,B738,KLM1670,51.6796,3.92635,13650,338,28,-1536
680.0,484161,B738,KLM1670,51.70702,3.9504,13150,337,28,-1536
700.0,484161,B738,KLM1670,51.73407,3.97438,12650,336,28,-1536
720.0,484161,B738,KLM1670,51.7614,3.99836,12150,334,28,-1472
740.0,484161,B738,KLM1670,51.78937,4.02233,11650,334,28,-1536
760.0,484161,B738,KLM1670,51.81564,4.04616,11175,330,28,-1536
780.0,484161,B738,KLM1670,51.84279,4.06969,10650,324,28,-1536
800.0,484161,B738,KLM1670,51.86879,4.09285,10150,325,28,-1536
820.0,484161,B738,KLM1670,51.89481,4.11532,9650,322,29,-1536
840.0,484161,B738,KLM1670,51.91915,4.1413,9475,308,39,-256
860.0,484161,B738,KLM1670,51.94006,4.17259,9400,290,41,-320
880.0,484161,B738,KLM1670,51.9597,4.20074,9200,277,41,-1152
900.0,484161,B738,KLM1670,51.97893,4.22829,8825,274,41,-1088
920.0,484161,B738,KLM1670,51.99738,4.25552,8475,270,42,-960
940.0,484161,B738,KLM1670,52.01582,4.28261,8150,267,41,-960
960.0,484161,B738,KLM1670,52.03455,4.30939,7825,267,41,-960
980.0,484161,B738,KLM1670,52.0529,4.33647,7475,269,42,-960
1000.0,484161,B738,KLM1670,52.07105,4.36353,7150,268,42,-960
1020.0,484161,B738,KLM1670,52.0893,4.3892,7000,264,42,0
1040.0,484161,B738,KLM1670,52.1077,4.41742,7000,264,42,0
1060.0,484161,B738,KLM1670,52.12556,4.44264,7000,264,41,0
1080.0,484161,B738,KLM1670,52.14409,4.4706,7000,264,42,0
1100.0,484161,B738,KLM1670,52.16217,4.49738,7000,263,42,0
1120.0,484161,B738,KLM1670,52.18044,4.52415,7000,264,42,0
1140.0,484161,B738,KLM1670,52.19833,4.55093,7000,263,42,0
1160.0,484161,B738,KLM1670,52.21614,4.57718,6975,251,42,0
1180.0,484161,B738,KLM1670,52.23294,4.6019,7000,237,41,-64
1200.0,484161,B738,KLM1670,52.24892,4.6257,7000,235,42,0
1220.0,484161,B738,KLM1670,52.26521,4.64951,7000,234,42,0
1240.0,484161,B738,KLM1670,52.28207,4.67445,7000,232,42,-64
1260.0,484161,B738,KLM1670,52.29749,4.69704,7000,233,42,0
1280.0,484161,B738,KLM1670,52.31277,4.72092,7000,233,42,0
1300.0,484161,B738,KLM1670,52.32816,4.74617,6875,240,53,-1216
1320.0,484161,B738,KLM1670,52.34088,4.77669,6375,246,55,-1280
1340.0,484161,B738,KLM1670,52.35374,4.80736,6025,243,56,-704
1360.0,484161,B738,KLM1670,52.36615,4.83772,5700,239,56,-832
1380.0,484161,B738,KLM1670,52.37814,4.8674,5450,233,56,-768
1400.0,484161,B738,KLM1670,52.38919,4.90006,5050,243,77,-1024
