time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,48418C,B739,KLM22A,50.86153,3.26806,24950,401,33,-1536
20.0,48418C,B739,KLM22A,50.87393,3.28098,24750,400,32,-1536
40.0,48418C,B739,KLM22A,50.90753,3.31602,24200,399,32,-1536
60.0,48418C,B739,KLM22A,50.92612,3.33502,23900,398,33,-1536
80.0,48418C,B739,KLM22A,50.96157,3.37151,23325,395,33,-1472
100.0,48418C,B739,KLM22A,50.99368,3.40472,22800,393,33,-1536
120.0,48418C,B739,KLM22A,51.01948,3.43147,22375,392,33,-1472
140.0,48418C,B739,KLM22A,51.05452,3.4676,22000,388,33,0
160.0,48418C,B739,KLM22A,51.08037,3.49258,22000,382,27,0
180.0,48418C,B739,KLM22A,51.11018,3.5157,22000,379,25,0
200.0,48418C,B739,KLM22A,51.15369,3.54782,22000,380,25,0
220.0,48418C,B739,KLM22A,51.18772,3.57437,22000,381,25,0
240.0,48418C,B739,KLM22A,51.2065,3.5877,22000,381,25,-64
260.0,48418C,B739,KLM22A,51.25155,3.62274,21850,382,25,-512
280.0,48418C,B739,KLM22A,51.2745,3.63976,21700,381,25,-640
300.0,48418C,B739,KLM22A,51.30441,3.6626,21500,379,25,-640
320.0,48418C,B739,KLM22A,51.33289,3.68428,21325,379,25,-640
340.0,48418C,B739,KLM22A,51.36433,3.70841,21100,378,25,-640
360.0,48418C,B739,KLM22A,51.40224,3.73713,20825,374,25,-704
380.0,48418C,B739,KLM22A,51.42696,3.75621,20475,372,25,-2176
400.0,48418C,B739,KLM22A,51.46422,3.78457,19525,365,25,-2432
420.0,48418C,B739,KLM22A,51.49164,3.8055,18775,362,25,-2624
440.0,48418C,B739,KLM22A,51.51855,3.82643,18000,361,25,-2880
460.0,48418C,B739,KLM22A,51.5506,3.85078,17025,361,25,-2688
480.0,48418C,B739,KLM22A,51.5799,3.87275,16250,358,25,-2176
500.0,48418C,B739,KLM22A,51.60901,3.89569,15525,352,25,-2240
520.0,48418C,B739,KLM22A,51.63826,3.91833,14800,347,25,-2240
540.0,48418C,B739,KLM22A,51.66777,3.9415,14050,342,25,-2240
560.0,48418C,B739,KLM22A,51.697,3.96355,13275,337,25,-2304
580.0,48418C,B739,KLM22A,51.72414,3.98552,12575,339,25,-2176
600.0,48418C,B739,KLM22A,51.75156,4.00645,11900,346,25,-2240
620.0,48418C,B739,KLM22A,51.78076,4.02894,11150,346,25,-2176
640.0,48418C,B739,KLM22A,51.81189,4.05373,10525,338,25,-320
660.0,48418C,B739,KLM22A,51.83656,4.07288,10400,318,25,-704
680.0,48418C,B739,KLM22A,51.86307,4.09308,10175,301,25,-704
700.0,48418C,B739,KLM22A,51.8871,4.11223,9950,288,25,-640
720.0,48418C,B739,KLM22A,51.91058,4.13223,9750,279,33,-576
740.0,48418C,B739,KLM22A,51.93027,4.1581,9550,280,42,-704
760.0,48418C,B739,KLM22A,51.94972,4.1861,9350,279,41,-512
780.0,48418C,B739,KLM22A,51.97017,4.21538,9175,279,41,-512
800.0,48418C,B739,KLM22A,51.9894,4.24347,9025,279,41,-512
820.0,48418C,B739,KLM22A,52.0079,4.2701,8850,278,42,-448
840.0,48418C,B739,KLM22A,52.02667,4.29817,8700,279,42,-512
860.0,48418C,B739,KLM22A,52.04594,4.32625,8550,277,42,-512
880.0,48418C,B739,KLM22A,52.06467,4.35417,8375,278,42,-448
900.0,48418C,B739,KLM22A,52.08426,4.38248,8200,279,42,-448
920.0,48418C,B739,KLM22A,52.10321,4.41063,8050,281,42,-512
940.0,48418C,B739,KLM22A,52.12257,4.43901,7900,282,41,-512
960.0,48418C,B739,KLM22A,52.14175,4.46754,7700,278,42,-576
980.0,48418C,B739,KLM22A,52.16043,4.49364,7500,266,42,-704
1000.0,48418C,B739,KLM22A,52.1786,4.52171,7275,257,42,-640
1020.0,48418C,B739,KLM22A,52.19665,4.54858,7075,250,42,-640
1040.0,48418C,B739,KLM22A,52.21321,4.57268,7000,252,42,64
1060.0,48418C,B739,KLM22A,52.22983,4.60007,7000,259,48,0
1080.0,48418C,B739,KLM22A,52.24567,4.62799,7000,261,48,0
1100.0,48418C,B739,KLM22A,52.26237,4.65912,7000,261,48,0
1120.0,48418C,B739,KLM22A,52.27919,4.69014,7000,262,48,0
1140.0,48418C,B739,KLM22A,52.29394,4.71667,7000,262,48,0
1160.0,48418C,B739,KLM22A,52.31039,4.7477,7000,262,48,0
1180.0,48418C,B739,KLM22A,52.32625,4.77576,6975,261,48,-640
1200.0,48418C,B739,KLM22A,52.3425,4.80518,6650,262,47,-1024
1220.0,48418C,B739,KLM22A,52.35915,4.83589,6325,260,47,-960
1240.0,48418C,B739,KLM22A,52.37751,4.86938,5975,259,47,-960
1260.0,48418C,B739,KLM22A,52.39203,4.8959,5700,259,48,-960
1280.0,48418C,B739,KLM22A,52.40717,4.92371,5400,257,48,-960
1300.0,48418C,B739,KLM22A,52.42488,4.95056,5075,255,31,-832
