time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,AB0E54,A333,DAL258,52.87021,2.52811,24925,399,108,-1536
20.0,AB0E54,A333,DAL258,52.85718,2.59113,24375,398,108,-1472
60.0,AB0E54,A333,DAL258,52.83195,2.70468,23325,396,111,-2048
80.0,AB0E54,A333,DAL258,52.82657,2.72736,22950,398,111,-3392
100.0,AB0E54,A333,DAL258,52.8062,2.81311,21025,405,111,-3328
120.0,AB0E54,A333,DAL258,52.79572,2.85774,20550,390,111,-768
140.0,AB0E54,A333,DAL258,52.78796,2.89074,20400,386,111,-960
160.0,AB0E54,A333,DAL258,52.77058,2.96364,19975,377,111,-960
180.0,AB0E54,A333,DAL258,52.76184,2.99995,19750,378,111,-960
200.0,AB0E54,A333,DAL258,52.7496,3.05114,19425,379,111,-1024
220.0,AB0E54,A333,DAL258,52.73607,3.1076,19075,373,111,-1088
240.0,AB0E54,A333,DAL258,52.72362,3.15951,18750,371,111,-1024
260.0,AB0E54,A333,DAL258,52.71054,3.21374,18400,371,111,-1024
280.0,AB0E54,A333,DAL258,52.69327,3.28529,17475,370,111,-3456
300.0,AB0E54,A333,DAL258,52.68448,3.32169,16650,365,111,-3392
320.0,AB0E54,A333,DAL258,52.67325,3.36786,15600,361,111,-3904
340.0,AB0E54,A333,DAL258,52.66045,3.42028,14275,359,111,-3392
360.0,AB0E54,A333,DAL258,52.64458,3.48565,12975,346,111,-3264
380.0,AB0E54,A333,DAL258,52.63669,3.51807,12300,341,111,-3200
400.0,AB0E54,A333,DAL258,52.62437,3.56819,10925,345,111,-4032
420.0,AB0E54,A333,DAL258,52.61307,3.6142,10075,334,111,-1344
440.0,AB0E54,A333,DAL258,52.60254,3.65908,9725,306,107,-1088
460.0,AB0E54,A333,DAL258,52.59784,3.70836,9175,298,95,-2176
480.0,AB0E54,A333,DAL258,52.59599,3.74763,8775,298,94,-1280
500.0,AB0E54,A333,DAL258,52.59393,3.79523,8325,298,94,-896
520.0,AB0E54,A333,DAL258,52.59197,3.83862,7975,295,94,-1280
540.0,AB0E54,A333,DAL258,52.58983,3.8839,7550,295,94,-1280
560.0,AB0E54,A333,DAL258,52.58769,3.92832,7100,296,94,-768
580.0,AB0E54,A333,DAL258,52.58559,3.97266,7000,296,94,-64
600.0,AB0E54,A333,DAL258,52.58345,4.01731,7000,295,94,64
620.0,AB0E54,A333,DAL258,52.58134,4.06403,7000,296,92,0
640.0,AB0E54,A333,DAL258,52.58178,4.10795,7000,298,87,-64
660.0,AB0E54,A333,DAL258,52.58303,4.15252,7000,297,87,-64
680.0,AB0E54,A333,DAL258,52.58496,4.20128,6975,295,82,-64
700.0,AB0E54,A333,DAL258,52.59398,4.27505,7000,269,78,0
720.0,AB0E54,A333,DAL258,52.59517,4.28467,7000,268,78,-64
740.0,AB0E54,A333,DAL258,52.60021,4.32461,6750,269,78,-1152
760.0,AB0E54,A333,DAL258,52.6051,4.36298,6425,268,78,-1024
780.0,AB0E54,A333,DAL258,52.61064,4.40709,6075,268,78,-704
800.0,AB0E54,A333,DAL258,52.61511,4.44381,5750,272,78,-1088
820.0,AB0E54,A333,DAL258,52.61981,4.48289,5450,271,78,-896
840.0,AB0E54,A333,DAL258,52.62451,4.52237,5150,269,79,-1024
