time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484371,B772,KLM706,52.09763,2.3159,24875,428,66,-1856
20.0,484371,B772,KLM706,52.1093,2.35886,24450,411,66,-1792
40.0,484371,B772,KLM706,52.12541,2.41852,23750,389,66,-2560
60.0,484371,B772,KLM706,52.13635,2.45895,23150,391,66,-2304
80.0,484371,B772,KLM706,52.15393,2.52495,22200,409,66,-2304
100.0,484371,B772,KLM706,52.16492,2.56645,21650,415,66,-2432
120.0,484371,B772,KLM706,52.18008,2.62346,20850,415,66,-1984
140.0,484371,B772,KLM706,52.19428,2.67729,20275,409,66,-1920
160.0,484371,B772,KLM706,52.20917,2.73371,19625,404,66,-1984
180.0,484371,B772,KLM706,52.2243,2.79108,18925,400,66,-1984
200.0,484371,B772,KLM706,52.23999,2.85103,18250,394,67,-1856
220.0,484371,B772,KLM706,52.25716,2.91679,17500,388,66,-1920
240.0,484371,B772,KLM706,52.26714,2.95479,17050,386,66,-1920
260.0,484371,B772,KLM706,52.28041,3.00552,16400,383,66,-2240
280.0,484371,B772,KLM706,52.29506,3.0622,15575,384,67,-2240
300.0,484371,B772,KLM706,52.30898,3.11584,14925,380,67,-1792
320.0,484371,B772,KLM706,52.32192,3.16563,14375,375,66,-1664
340.0,484371,B772,KLM706,52.33533,3.21766,13775,372,67,-2048
360.0,484371,B772,KLM706,52.34841,3.26859,13050,372,67,-2048
380.0,484371,B772,KLM706,52.36158,3.31952,12425,367,66,-1920
400.0,484371,B772,KLM706,52.3748,3.37074,11750,366,67,-2176
420.0,484371,B772,KLM706,52.38858,3.42491,11025,366,67,-1856
440.0,484371,B772,KLM706,52.40171,3.47623,10450,360,67,-1792
460.0,484371,B772,KLM706,52.41372,3.52371,10050,356,67,-576
480.0,484371,B772,KLM706,52.42625,3.57323,9975,357,67,64
500.0,484371,B772,KLM706,52.43916,3.62396,10000,355,67,64
520.0,484371,B772,KLM706,52.45171,3.67351,10000,354,67,-64
540.0,484371,B772,KLM706,52.46419,3.7228,10000,355,67,0
560.0,484371,B772,KLM706,52.47652,3.77184,10000,355,67,0
580.0,484371,B772,KLM706,52.48965,3.82423,9975,344,67,64
600.0,484371,B772,KLM706,52.50059,3.86789,10000,325,67,-64
620.0,484371,B772,KLM706,52.51369,3.92044,9650,315,67,-2112
640.0,484371,B772,KLM706,52.51968,3.96198,9325,315,87,-640
660.0,484371,B772,KLM706,52.51623,4.00507,9075,311,106,-1024
680.0,484371,B772,KLM706,52.50604,4.04878,8775,305,111,-768
700.0,484371,B772,KLM706,52.49492,4.09615,8375,300,110,-1344
720.0,484371,B772,KLM706,52.48476,4.13971,7950,298,111,-1216
740.0,484371,B772,KLM706,52.47601,4.17677,7550,297,111,-1408
760.0,484371,B772,KLM706,52.46628,4.21875,7150,295,111,-1088
780.0,484371,B772,KLM706,52.46111,4.26583,6725,292,85,-1344
800.0,484371,B772,KLM706,52.46892,4.30389,6225,292,63,-1664
820.0,484371,B772,KLM706,52.48099,4.34274,5950,285,63,-256
840.0,484371,B772,KLM706,52.49249,4.38049,5825,273,63,-448
860.0,484371,B772,KLM706,52.50417,4.41964,5650,262,64,-512
880.0,484371,B772,KLM706,52.51382,4.45251,5475,254,64,-640
900.0,484371,B772,KLM706,52.52435,4.48837,5225,247,62,-960
