time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,345251,B788,AEA1091,51.01909,3.48786,24900,499,26,-1920
20.0,345251,B788,AEA1091,51.04458,3.50754,24550,498,25,-1728
40.0,345251,B788,AEA1091,51.08597,3.53968,23975,495,26,-1728
60.0,345251,B788,AEA1091,51.13902,3.58139,23250,491,26,-1728
80.0,345251,B788,AEA1091,51.17124,3.60672,22800,488,26,-1664
100.0,345251,B788,AEA1091,51.21105,3.63632,22275,480,22,-1536
120.0,345251,B788,AEA1091,51.24987,3.65997,22000,466,18,-256
140.0,345251,B788,AEA1091,51.29787,3.68272,21975,465,14,-320
160.0,345251,B788,AEA1091,51.33426,3.69987,21700,468,18,-1536
180.0,345251,B788,AEA1091,51.37985,3.72704,20875,464,22,-2496
200.0,345251,B788,AEA1091,51.41263,3.75049,20200,461,25,-2368
220.0,345251,B788,AEA1091,51.45479,3.78258,19350,454,25,-2304
240.0,345251,B788,AEA1091,51.48816,3.80765,18675,448,25,-2240
260.0,345251,B788,AEA1091,51.52551,3.83614,17925,442,25,-1792
280.0,345251,B788,AEA1091,51.56414,3.86551,17225,432,25,-2624
300.0,345251,B788,AEA1091,51.5965,3.89015,16525,428,25,-2176
320.0,345251,B788,AEA1091,51.63239,3.91762,15800,424,25,-2176
340.0,345251,B788,AEA1091,51.66728,3.94424,15075,414,25,-2240
360.0,345251,B788,AEA1091,51.70119,3.96996,14350,394,25,-1984
380.0,345251,B788,AEA1091,51.73294,3.99422,13725,376,25,-2112
400.0,345251,B788,AEA1091,51.76437,4.0184,12775,378,25,-2752
420.0,345251,B788,AEA1091,51.79495,4.04186,11975,356,25,-1856
440.0,345251,B788,AEA1091,51.82375,4.06398,11475,326,25,-1280
460.0,345251,B788,AEA1091,51.85016,4.08417,10850,309,25,-2816
480.0,345251,B788,AEA1091,51.87579,4.10406,9850,312,25,-2496
500.0,345251,B788,AEA1091,51.90166,4.12437,9325,314,28,-1344
520.0,345251,B788,AEA1091,51.92546,4.15222,8875,314,36,-1408
540.0,345251,B788,AEA1091,51.95085,4.173,8425,308,21,-1408
560.0,345251,B788,AEA1091,51.97739,4.18901,7975,306,20,-1280
580.0,345251,B788,AEA1091,52.00388,4.20572,7600,302,21,-1024
600.0,345251,B788,AEA1091,52.02946,4.22203,7225,296,21,-1280
620.0,345251,B788,AEA1091,52.05464,4.23767,7000,296,20,-256
640.0,345251,B788,AEA1091,52.08055,4.2532,7000,297,20,0
660.0,345251,B788,AEA1091,52.10685,4.26882,7000,298,20,-64
680.0,345251,B788,AEA1091,52.13273,4.2842,7000,298,20,0
700.0,345251,B788,AEA1091,52.15823,4.29947,7000,299,20,-64
720.0,345251,B788,AEA1091,52.18451,4.31519,7000,299,20,0
740.0,345251,B788,AEA1091,52.21029,4.3305,6975,298,20,-64
760.0,345251,B788,AEA1091,52.23589,4.34572,6975,279,20,0
780.0,345251,B788,AEA1091,52.25858,4.35951,7000,268,20,-128
800.0,345251,B788,AEA1091,52.28249,4.37405,6975,266,20,-448
820.0,345251,B788,AEA1091,52.30535,4.3881,6725,267,20,-960
840.0,345251,B788,AEA1091,52.32834,4.40208,6400,266,20,-1024
860.0,345251,B788,AEA1091,52.35123,4.41559,6075,265,19,-1024
880.0,345251,B788,AEA1091,52.37443,4.4293,5750,264,19,-1024
900.0,345251,B788,AEA1091,52.39869,4.44381,5400,263,20,-1024
920.0,345251,B788,AEA1091,52.41968,4.45653,5175,257,20,-576
