,status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,personal_status,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,credit,sex
0,<200,6,Other,A43,1169,Unknown/None,4+ years,4,single,A101,4,A121,67,A143,A152,2,A173,1,A192,A201,1,1.0
1,<200,48,None/Paid,A43,5951,<500,1-4 years,2,divorced/separated/married,A101,2,A121,22,A143,A152,1,A173,1,A191,A201,2,0.0
2,None,12,Other,A46,2096,<500,4+ years,2,single,A101,3,A121,49,A143,A152,1,A172,2,A191,A201,1,1.0
3,<200,42,None/Paid,A42,7882,<500,4+ years,2,single,A103,4,A122,45,A143,A153,1,A173,2,A191,A201,1,1.0
4,<200,24,Delay,A40,4870,<500,1-4 years,3,single,A101,4,A124,53,A143,A153,2,A173,2,A191,A201,2,1.0
5,None,36,None/Paid,A46,9055,Unknown/None,1-4 years,2,single,A101,4,A124,35,A143,A153,1,A172,2,A192,A201,1,1.0
6,None,24,None/Paid,A42,2835,500+,4+ years,3,single,A101,4,A122,53,A143,A152,1,A173,1,A191,A201,1,1.0
7,<200,36,None/Paid,A41,6948,<500,1-4 years,2,single,A101,2,A123,35,A143,A151,1,A174,1,A192,A201,1,1.0
8,None,12,None/Paid,A43,3059,500+,4+ years,2,divorced/separated,A101,4,A121,61,A143,A152,1,A172,1,A191,A201,1,1.0
9,<200,30,Other,A40,5234,<500,Unemployed,4,married/widowed,A101,2,A123,28,A143,A152,2,A174,1,A191,A201,2,1.0
10,<200,12,None/Paid,A40,1295,<500,1-4 years,3,divorced/separated/married,A101,1,A123,25,A143,A151,1,A173,1,A191,A201,2,0.0
11,<200,48,None/Paid,A49,4308,<500,1-4 years,3,divorced/separated/married,A101,4,A122,24,A143,A151,1,A173,1,A191,A201,2,0.0
12,<200,12,None/Paid,A43,1567,<500,1-4 years,1,divorced/separated/married,A101,1,A123,22,A143,A152,1,A173,1,A192,A201,1,0.0
13,<200,24,Other,A40,1199,<500,4+ years,4,single,A101,4,A123,60,A143,A152,2,A172,1,A191,A201,2,1.0
14,<200,15,None/Paid,A40,1403,<500,1-4 years,2,divorced/separated/married,A101,4,A123,28,A143,A151,1,A173,1,A191,A201,1,0.0
15,<200,24,None/Paid,A43,1282,<500,1-4 years,4,divorced/separated/married,A101,2,A123,32,A143,A152,1,A172,1,A191,A201,2,0.0
16,None,24,Other,A43,2424,Unknown/None,4+ years,4,single,A101,4,A122,53,A143,A152,2,A173,1,A191,A201,1,1.0
17,<200,30,None/Paid,A49,8072,Unknown/None,1-4 years,2,single,A101,3,A123,25,A141,A152,3,A173,1,A191,A201,1,1.0
18,<200,24,None/Paid,A41,12579,<500,4+ years,4,divorced/separated/married,A101,2,A124,44,A143,A153,1,A174,1,A192,A201,2,0.0
19,None,24,None/Paid,A43,3430,500+,4+ years,3,single,A101,2,A123,31,A143,A152,1,A173,2,A192,A201,1,1.0
20,None,9,Other,A40,2134,<500,1-4 years,4,single,A101,4,A123,48,A143,A152,3,A173,1,A192,A201,1,1.0
21,<200,6,None/Paid,A43,2647,500+,1-4 years,2,single,A101,3,A121,44,A143,A151,1,A173,2,A191,A201,1,1.0
22,<200,10,Other,A40,2241,<500,1-4 years,1,single,A101,3,A121,48,A143,A151,2,A172,2,A191,A202,1,1.0
23,<200,12,Other,A41,1804,<500,1-4 years,3,single,A101,4,A122,44,A143,A152,1,A173,1,A191,A201,1,1.0
24,None,10,Other,A42,2069,Unknown/None,1-4 years,2,married/widowed,A101,1,A123,26,A143,A152,2,A173,1,A191,A202,1,1.0
25,<200,6,None/Paid,A42,1374,<500,1-4 years,1,single,A101,2,A121,36,A141,A152,1,A172,1,A192,A201,1,1.0
26,None,6,None/Paid,A43,426,<500,4+ years,4,married/widowed,A101,4,A123,39,A143,A152,1,A172,1,A191,A201,1,1.0
27,200+,12,None/Paid,A43,409,500+,1-4 years,3,divorced/separated/married,A101,3,A121,42,A143,A151,2,A173,1,A191,A201,1,0.0
28,<200,7,None/Paid,A43,2415,<500,1-4 years,3,single,A103,2,A121,34,A143,A152,1,A173,1,A191,A201,1,1.0
29,<200,60,Delay,A49,6836,<500,4+ years,3,single,A101,4,A124,63,A143,A152,2,A173,1,A192,A201,2,1.0
30,<200,18,None/Paid,A49,1913,500+,1-4 years,3,married/widowed,A101,3,A121,36,A141,A152,1,A173,1,A192,A201,1,1.0
31,<200,24,None/Paid,A42,4020,<500,1-4 years,2,single,A101,2,A123,27,A142,A152,1,A173,1,A191,A201,1,1.0
32,<200,18,None/Paid,A40,5866,<500,1-4 years,2,single,A101,2,A123,30,A143,A152,2,A173,1,A192,A201,1,1.0
33,None,12,Other,A49,1264,Unknown/None,4+ years,4,single,A101,4,A124,57,A143,A151,1,A172,1,A191,A201,1,1.0
34,200+,12,None/Paid,A42,1474,<500,1-4 years,4,divorced/separated/married,A101,1,A122,33,A141,A152,1,A174,1,A192,A201,1,0.0
35,<200,45,Other,A43,4746,<500,1-4 years,4,single,A101,2,A122,25,A143,A152,2,A172,1,A191,A201,2,1.0
36,None,48,Other,A46,6110,<500,1-4 years,1,single,A101,3,A124,31,A141,A153,1,A173,1,A192,A201,1,1.0
37,200+,18,None/Paid,A43,2100,<500,1-4 years,4,single,A102,2,A121,37,A142,A152,1,A173,1,A191,A201,2,1.0
38,200+,10,None/Paid,A44,1225,<500,1-4 years,2,single,A101,2,A123,37,A143,A152,1,A173,1,A192,A201,1,1.0
39,<200,9,None/Paid,A43,458,<500,1-4 years,4,single,A101,3,A121,24,A143,A152,1,A173,1,A191,A201,1,1.0
