time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,40631F,A319,EZY58YF,52.79041,2.55135,24975,445,101,-192
20.0,40631F,A319,EZY58YF,52.78042,2.61632,24625,441,106,-1408
40.0,40631F,A319,EZY58YF,52.76827,2.68098,23925,436,107,-2304
60.0,40631F,A319,EZY58YF,52.75611,2.74282,23225,432,107,-1984
80.0,40631F,A319,EZY58YF,52.74248,2.81368,22550,425,107,-1728
100.0,40631F,A319,EZY58YF,52.73261,2.86673,22000,420,106,-2112
140.0,40631F,A319,EZY58YF,52.70906,2.99515,20550,411,106,-2112
160.0,40631F,A319,EZY58YF,52.69504,3.07138,19900,400,106,-1344
180.0,40631F,A319,EZY58YF,52.68875,3.10529,19550,397,106,-2304
200.0,40631F,A319,EZY58YF,52.6774,3.16626,18775,396,107,-1664
220.0,40631F,A319,EZY58YF,52.66672,3.22388,18325,386,106,-1600
240.0,40631F,A319,EZY58YF,52.65509,3.28636,17600,382,107,-1856
260.0,40631F,A319,EZY58YF,52.64621,3.33412,17125,378,106,-1408
280.0,40631F,A319,EZY58YF,52.6366,3.38593,16550,374,107,-1856
300.0,40631F,A319,EZY58YF,52.62675,3.43841,15800,363,107,-3264
320.0,40631F,A319,EZY58YF,52.61529,3.49891,14575,364,107,-3392
340.0,40631F,A319,EZY58YF,52.60664,3.54482,13625,367,107,-3200
360.0,40631F,A319,EZY58YF,52.59631,3.59894,12850,359,107,-1728
380.0,40631F,A319,EZY58YF,52.58704,3.64801,12100,348,107,-2688
400.0,40631F,A319,EZY58YF,52.57668,3.70247,11500,334,107,-1280
420.0,40631F,A319,EZY58YF,52.56821,3.74657,10950,328,107,-2048
440.0,40631F,A319,EZY58YF,52.55896,3.79494,10325,329,107,-1536
460.0,40631F,A319,EZY58YF,52.54994,3.8414,9875,326,107,-1472
480.0,40631F,A319,EZY58YF,52.54074,3.88924,9400,321,107,-1408
500.0,40631F,A319,EZY58YF,52.53127,3.93898,8950,316,107,-1472
520.0,40631F,A319,EZY58YF,52.52257,3.98148,8450,315,110,-1536
540.0,40631F,A319,EZY58YF,52.51231,4.02382,8025,311,112,-1344
560.0,40631F,A319,EZY58YF,52.50604,4.07326,7450,307,90,-1600
580.0,40631F,A319,EZY58YF,52.50691,4.11751,6975,309,87,-1600
600.0,40631F,A319,EZY58YF,52.50824,4.1626,6475,311,87,-1536
620.0,40631F,A319,EZY58YF,52.5097,4.20959,5975,308,87,-1472
640.0,40631F,A319,EZY58YF,52.51126,4.25957,5475,303,86,-960
660.0,40631F,A319,EZY58YF,52.51286,4.30161,5100,297,85,-1600
