time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484B92,B737,KLM38M,52.77264,2.61459,24875,408,84,-896
20.0,484B92,B737,KLM38M,52.77786,2.69707,24250,397,84,-1344
40.0,484B92,B737,KLM38M,52.7802,2.73293,23950,392,84,-1408
60.0,484B92,B737,KLM38M,52.78391,2.79205,23400,387,84,-1856
80.0,484B92,B737,KLM38M,52.78738,2.85072,22775,387,84,-1984
100.0,484B92,B737,KLM38M,52.79059,2.90352,22225,384,84,-1920
120.0,484B92,B737,KLM38M,52.79513,2.97612,21500,380,83,-1280
140.0,484B92,B737,KLM38M,52.79869,3.03032,21125,373,83,-1344
160.0,484B92,B737,KLM38M,52.80373,3.10326,20500,366,83,-1600
180.0,484B92,B737,KLM38M,52.80653,3.1446,20150,363,83,-1472
200.0,484B92,B737,KLM38M,52.81036,3.20229,19625,360,83,-1472
220.0,484B92,B737,KLM38M,52.81329,3.24554,19250,356,83,-1536
240.0,484B92,B737,KLM38M,52.81659,3.29676,18850,351,83,-1344
260.0,484B92,B737,KLM38M,52.81975,3.34408,18500,344,84,-1280
280.0,484B92,B737,KLM38M,52.82301,3.39603,18100,338,84,-1280
300.0,484B92,B737,KLM38M,52.82108,3.47,17275,337,108,-1792
320.0,484B92,B737,KLM38M,52.8111,3.49586,16950,333,127,-1600
340.0,484B92,B737,KLM38M,52.78226,3.54187,16225,332,135,-1664
360.0,484B92,B737,KLM38M,52.76384,3.57228,15775,330,134,-1600
380.0,484B92,B737,KLM38M,52.7438,3.60641,15250,328,134,-1728
400.0,484B92,B737,KLM38M,52.72472,3.63861,14750,327,134,-1728
420.0,484B92,B737,KLM38M,52.70352,3.67424,14150,328,134,-1856
440.0,484B92,B737,KLM38M,52.68214,3.70979,13550,329,134,-1792
460.0,484B92,B737,KLM38M,52.66049,3.74535,12950,330,135,-1600
480.0,484B92,B737,KLM38M,52.6375,3.78244,12400,327,135,-1344
500.0,484B92,B737,KLM38M,52.61742,3.81577,11950,323,134,-1472
520.0,484B92,B737,KLM38M,52.59659,3.85025,11525,317,134,-1664
540.0,484B92,B737,KLM38M,52.57411,3.88748,11025,313,135,-1280
560.0,484B92,B737,KLM38M,52.55236,3.92243,10600,307,135,-1344
580.0,484B92,B737,KLM38M,52.53592,3.9488,10175,307,133,-1536
600.0,484B92,B737,KLM38M,52.51949,3.99149,9700,306,114,-1216
620.0,484B92,B737,KLM38M,52.51007,4.03275,9250,304,106,-1728
640.0,484B92,B737,KLM38M,52.51089,4.07852,8650,305,76,-1792
660.0,484B92,B737,KLM38M,52.52321,4.11987,8225,299,61,-1408
680.0,484B92,B737,KLM38M,52.53648,4.1597,7775,296,61,-1344
700.0,484B92,B737,KLM38M,52.5498,4.20109,7275,296,61,-1472
720.0,484B92,B737,KLM38M,52.56239,4.23843,6825,293,61,-1344
740.0,484B92,B737,KLM38M,52.57993,4.28894,6175,292,60,-1408
760.0,484B92,B737,KLM38M,52.5889,4.3161,5850,291,61,-1536
780.0,484B92,B737,KLM38M,52.5943,4.35883,5400,289,90,-1280
