time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,AB599B,A333,DAL132,52.82571,2.17647,24975,393,104,-1792
20.0,AB599B,A333,DAL132,52.81718,2.23,24500,391,104,-1408
40.0,AB599B,A333,DAL132,52.80797,2.28782,24050,387,104,-1344
60.0,AB599B,A333,DAL132,52.79892,2.34436,23650,382,104,-1152
80.0,AB599B,A333,DAL132,52.78991,2.40012,23200,379,104,-1536
100.0,AB599B,A333,DAL132,52.77976,2.46313,22575,378,104,-1920
120.0,AB599B,A333,DAL132,52.76971,2.52529,22000,376,104,-1216
140.0,AB599B,A333,DAL132,52.76303,2.56653,21675,373,105,-1344
160.0,AB599B,A333,DAL132,52.75378,2.62314,21200,370,105,-1408
180.0,AB599B,A333,DAL132,52.7449,2.67731,20775,366,105,-1344
200.0,AB599B,A333,DAL132,52.7363,2.72964,20325,364,105,-1408
220.0,AB599B,A333,DAL132,52.72762,2.78252,19700,358,105,-2304
240.0,AB599B,A333,DAL132,52.71911,2.83455,18975,352,105,-2304
260.0,AB599B,A333,DAL132,52.70928,2.8938,18175,347,105,-704
280.0,AB599B,A333,DAL132,52.70174,2.93907,17900,347,105,-1088
300.0,AB599B,A333,DAL132,52.69322,2.99009,17575,347,105,-960
320.0,AB599B,A333,DAL132,52.68489,3.04015,17225,347,105,-960
340.0,AB599B,A333,DAL132,52.67628,3.09124,16900,346,105,-1024
360.0,AB599B,A333,DAL132,52.66823,3.13942,16575,341,105,-1024
380.0,AB599B,A333,DAL132,52.65984,3.18933,16250,336,105,-1024
400.0,AB599B,A333,DAL132,52.65134,3.23952,15900,332,105,-1408
420.0,AB599B,A333,DAL132,52.64328,3.2872,15425,332,105,-1408
440.0,AB599B,A333,DAL132,52.63499,3.33576,14975,330,105,-1408
460.0,AB599B,A333,DAL132,52.62671,3.38455,14500,329,105,-1408
480.0,AB599B,A333,DAL132,52.61838,3.43338,14025,326,105,-1344
500.0,AB599B,A333,DAL132,52.6105,3.47931,13600,325,105,-1408
520.0,AB599B,A333,DAL132,52.60249,3.52575,13150,323,105,-1344
540.0,AB599B,A333,DAL132,52.59402,3.57487,12675,321,105,-1344
560.0,AB599B,A333,DAL132,52.58578,3.62251,12225,319,105,-1408
580.0,AB599B,A333,DAL132,52.57745,3.67061,11775,316,105,-1344
600.0,AB599B,A333,DAL132,52.57009,3.71322,11350,315,106,-1280
620.0,AB599B,A333,DAL132,52.56236,3.75764,10925,313,105,-1344
640.0,AB599B,A333,DAL132,52.5544,3.80331,10525,310,106,-704
660.0,AB599B,A333,DAL132,52.54658,3.84804,10275,303,106,-1536
680.0,AB599B,A333,DAL132,52.53882,3.89229,9775,304,106,-1280
700.0,AB599B,A333,DAL132,52.53108,3.93656,9325,303,106,-1280
720.0,AB599B,A333,DAL132,52.52252,3.98003,8925,301,110,-1280
740.0,AB599B,A333,DAL132,52.51213,4.0228,8450,300,111,-1408
760.0,AB599B,A333,DAL132,52.5018,4.06518,8000,299,111,-1536
780.0,AB599B,A333,DAL132,52.4913,4.10835,7575,297,111,-1088
800.0,AB599B,A333,DAL132,52.48155,4.1482,7175,295,111,-1344
820.0,AB599B,A333,DAL132,52.47145,4.18917,6775,293,112,-1216
840.0,AB599B,A333,DAL132,52.46095,4.2321,6325,291,111,-1152
860.0,AB599B,A333,DAL132,52.45134,4.27094,5925,288,111,-1536
880.0,AB599B,A333,DAL132,52.44131,4.3116,5500,288,111,-960
900.0,AB599B,A333,DAL132,52.43141,4.352,5125,284,111,-1344
