time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4841A9,B738,TRA22X,50.69055,3.44607,24950,334,25,-1536
20.0,4841A9,B738,TRA22X,50.70912,3.45993,24600,335,25,-1472
40.0,4841A9,B738,TRA22X,50.74155,3.4846,24025,332,26,-1536
80.0,4841A9,B738,TRA22X,50.7897,3.5218,23150,329,25,-1472
100.0,4841A9,B738,TRA22X,50.81098,3.53859,22775,327,25,-1472
120.0,4841A9,B738,TRA22X,50.83584,3.55743,22325,326,25,-1472
140.0,4841A9,B738,TRA22X,50.87848,3.59085,21550,323,25,-1536
180.0,4841A9,B738,TRA22X,50.91577,3.61984,20850,317,26,-1536
200.0,4841A9,B738,TRA22X,50.94747,3.64449,20250,313,26,-1536
220.0,4841A9,B738,TRA22X,50.97363,3.66653,19775,315,32,-1088
240.0,4841A9,B738,TRA22X,50.99723,3.69102,19450,311,32,-960
260.0,4841A9,B738,TRA22X,51.01692,3.71063,19200,309,32,-960
280.0,4841A9,B738,TRA22X,51.05803,3.75206,18625,307,32,-960
300.0,4841A9,B738,TRA22X,51.06762,3.76167,18500,306,32,-960
320.0,4841A9,B738,TRA22X,51.0935,3.78784,18125,301,31,-1024
340.0,4841A9,B738,TRA22X,51.11627,3.8101,17825,300,31,-1024
360.0,4841A9,B738,TRA22X,51.14066,3.83484,17475,300,32,-1024
380.0,4841A9,B738,TRA22X,51.15956,3.85384,17225,301,32,-1024
400.0,4841A9,B738,TRA22X,51.18457,3.87884,16875,303,32,-1024
420.0,4841A9,B738,TRA22X,51.20658,3.90167,16550,302,32,-1024
440.0,4841A9,B738,TRA22X,51.23381,3.92807,16175,304,32,-960
460.0,4841A9,B738,TRA22X,51.25662,3.95241,15850,302,33,-960
480.0,4841A9,B738,TRA22X,51.27799,3.97385,15550,294,32,-1024
500.0,4841A9,B738,TRA22X,51.30025,3.99598,15225,295,32,-1024
520.0,4841A9,B738,TRA22X,51.32412,4.02054,14900,296,32,-1024
540.0,4841A9,B738,TRA22X,51.34698,4.04404,14575,294,32,-1024
560.0,4841A9,B738,TRA22X,51.36974,4.06738,14225,288,32,-1024
580.0,4841A9,B738,TRA22X,51.39162,4.09019,13875,282,32,-1344
600.0,4841A9,B738,TRA22X,51.41739,4.11579,13300,280,32,-1536
620.0,4841A9,B738,TRA22X,51.43648,4.13583,12875,278,32,-1536
640.0,4841A9,B738,TRA22X,51.46463,4.16426,12225,274,32,-1472
660.0,4841A9,B738,TRA22X,51.47835,4.17839,11925,272,32,-1472
680.0,4841A9,B738,TRA22X,51.50172,4.20242,11375,269,32,-1472
700.0,4841A9,B738,TRA22X,51.52048,4.2218,10950,267,32,-1408
720.0,4841A9,B738,TRA22X,51.54157,4.24286,10475,263,32,-1408
740.0,4841A9,B738,TRA22X,51.56135,4.26376,10125,257,32,-448
760.0,4841A9,B738,TRA22X,51.58058,4.28303,9975,243,32,-832
780.0,4841A9,B738,TRA22X,51.59985,4.30375,9575,248,32,-1152
800.0,4841A9,B738,TRA22X,51.62145,4.32594,9150,248,33,-1152
820.0,4841A9,B738,TRA22X,51.63881,4.34402,8800,248,32,-1152
840.0,4841A9,B738,TRA22X,51.65855,4.36409,8400,251,32,-1152
860.0,4841A9,B738,TRA22X,51.67763,4.38325,8025,251,32,-1216
880.0,4841A9,B738,TRA22X,51.69708,4.40336,7625,248,32,-1152
900.0,4841A9,B738,TRA22X,51.71651,4.42436,7225,244,32,-1152
920.0,4841A9,B738,TRA22X,51.73668,4.44501,6825,241,33,-1152
940.0,4841A9,B738,TRA22X,51.75394,4.46358,6475,238,33,-1088
960.0,4841A9,B738,TRA22X,51.77251,4.48288,6100,238,32,-1152
980.0,4841A9,B738,TRA22X,51.79151,4.50218,5725,240,32,-1088
1000.0,4841A9,B738,TRA22X,51.81059,4.52187,5325,243,32,-1088
