time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4CA2BF,B738,RYR7FF,52.79594,2.51076,24975,357,101,-256
20.0,4CA2BF,B738,RYR7FF,52.79438,2.52301,24875,355,101,-1536
40.0,4CA2BF,B738,RYR7FF,52.78828,2.57002,24200,362,102,-1792
60.0,4CA2BF,B738,RYR7FF,52.78055,2.6317,23500,363,99,-1920
80.0,4CA2BF,B738,RYR7FF,52.77827,2.68027,23000,363,90,-1600
100.0,4CA2BF,B738,RYR7FF,52.77892,2.73476,22500,360,88,-1408
120.0,4CA2BF,B738,RYR7FF,52.77965,2.78793,22025,354,88,-1472
140.0,4CA2BF,B738,RYR7FF,52.7807,2.84126,21525,347,88,-1536
160.0,4CA2BF,B738,RYR7FF,52.78181,2.89419,21025,341,87,-1536
180.0,4CA2BF,B738,RYR7FF,52.78288,2.94787,20475,337,88,-1792
200.0,4CA2BF,B738,RYR7FF,52.78251,2.99683,19875,335,98,-1856
220.0,4CA2BF,B738,RYR7FF,52.77362,3.04525,19250,332,113,-1792
240.0,4CA2BF,B738,RYR7FF,52.76088,3.09044,18725,328,114,-1024
260.0,4CA2BF,B738,RYR7FF,52.74867,3.13652,18175,326,113,-1216
280.0,4CA2BF,B738,RYR7FF,52.73616,3.18466,17650,319,113,-1536
300.0,4CA2BF,B738,RYR7FF,52.72527,3.22525,17150,316,114,-1728
320.0,4CA2BF,B738,RYR7FF,52.71286,3.27095,16400,318,114,-2880
340.0,4CA2BF,B738,RYR7FF,52.70087,3.31551,15325,334,113,-3200
360.0,4CA2BF,B738,RYR7FF,52.68847,3.36252,14450,343,113,-2432
380.0,4CA2BF,B738,RYR7FF,52.67618,3.40953,13750,342,113,-2048
400.0,4CA2BF,B738,RYR7FF,52.66254,3.46116,13050,341,114,-1536
420.0,4CA2BF,B738,RYR7FF,52.65044,3.50613,12550,334,113,-1536
440.0,4CA2BF,B738,RYR7FF,52.63787,3.55212,12075,331,114,-1472
460.0,4CA2BF,B738,RYR7FF,52.62497,3.59917,11600,327,114,-1280
480.0,4CA2BF,B738,RYR7FF,52.61353,3.64174,11175,324,113,-1536
500.0,4CA2BF,B738,RYR7FF,52.60138,3.68717,10700,322,113,-1344
520.0,4CA2BF,B738,RYR7FF,52.58963,3.73138,10250,320,113,-1280
540.0,4CA2BF,B738,RYR7FF,52.57773,3.77569,9850,313,113,-1472
560.0,4CA2BF,B738,RYR7FF,52.56537,3.82118,9375,312,114,-1408
580.0,4CA2BF,B738,RYR7FF,52.55417,3.86224,8875,312,114,-1408
600.0,4CA2BF,B738,RYR7FF,52.54244,3.90509,8500,307,113,-1088
620.0,4CA2BF,B738,RYR7FF,52.53108,3.94723,8150,301,113,-1280
640.0,4CA2BF,B738,RYR7FF,52.52037,3.98918,7575,304,111,-1536
660.0,4CA2BF,B738,RYR7FF,52.51009,4.03167,7100,303,111,-1408
680.0,4CA2BF,B738,RYR7FF,52.49943,4.07514,6600,301,111,-1408
700.0,4CA2BF,B738,RYR7FF,52.489,4.11752,6100,301,112,-1408
720.0,4CA2BF,B738,RYR7FF,52.47876,4.15924,5625,299,111,-1472
740.0,4CA2BF,B738,RYR7FF,52.46838,4.20164,5125,298,111,-1472
