time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,485874,E75L,KLM1634,50.88932,4.54193,24925,345,331,-1152
20.0,485874,E75L,KLM1634,50.91069,4.51798,24625,340,317,-1088
40.0,485874,E75L,KLM1634,50.93298,4.47775,24250,337,308,-1024
60.0,485874,E75L,KLM1634,50.95203,4.43977,23900,334,308,-960
80.0,485874,E75L,KLM1634,50.96722,4.40945,23650,333,308,-1024
100.0,485874,E75L,KLM1634,50.98746,4.3713,23300,333,314,-1088
120.0,485874,E75L,KLM1634,51.01447,4.33722,22875,333,327,-1216
140.0,485874,E75L,KLM1634,51.03899,4.31786,22525,333,337,-1216
160.0,485874,E75L,KLM1634,51.06632,4.29977,22150,332,337,-1152
180.0,485874,E75L,KLM1634,51.09727,4.27932,21725,332,337,-1152
200.0,485874,E75L,KLM1634,51.12814,4.25888,21300,333,337,-1216
220.0,485874,E75L,KLM1634,51.15184,4.24317,20975,334,337,-1152
240.0,485874,E75L,KLM1634,51.18014,4.22432,20600,334,337,-1152
260.0,485874,E75L,KLM1634,51.20877,4.20532,20200,332,337,-1216
280.0,485874,E75L,KLM1634,51.24678,4.18,19675,329,337,-1152
300.0,485874,E75L,KLM1634,51.26573,4.16901,19425,330,343,-1152
320.0,485874,E75L,KLM1634,51.29521,4.15936,19050,334,352,-1216
340.0,485874,E75L,KLM1634,51.32877,4.15677,18575,336,358,-1344
360.0,485874,E75L,KLM1634,51.36313,4.1555,18100,334,358,-1344
380.0,485874,E75L,KLM1634,51.39148,4.15436,17675,332,358,-1344
400.0,485874,E75L,KLM1634,51.42025,4.15321,17275,330,358,-1344
420.0,485874,E75L,KLM1634,51.45242,4.15192,16800,326,358,-1344
440.0,485874,E75L,KLM1634,51.48083,4.15083,16375,323,358,-1344
460.0,485874,E75L,KLM1634,51.51224,4.14948,15925,322,358,-1344
480.0,485874,E75L,KLM1634,51.5392,4.14838,15525,319,358,-1344
500.0,485874,E75L,KLM1634,51.56815,4.14719,15100,314,358,-1280
520.0,485874,E75L,KLM1634,51.59679,4.146,14675,311,358,-1280
540.0,485874,E75L,KLM1634,51.62553,4.14474,14275,311,358,-1280
560.0,485874,E75L,KLM1634,51.65385,4.14352,13850,310,358,-1280
580.0,485874,E75L,KLM1634,51.68275,4.14237,13425,309,358,-1280
600.0,485874,E75L,KLM1634,51.71148,4.14116,13025,307,358,-1216
620.0,485874,E75L,KLM1634,51.74011,4.13999,12600,305,358,-1216
640.0,485874,E75L,KLM1634,51.76949,4.13872,12175,301,358,-1280
660.0,485874,E75L,KLM1634,51.79541,4.13769,11800,300,358,-1216
680.0,485874,E75L,KLM1634,51.82306,4.13658,11400,301,358,-1216
700.0,485874,E75L,KLM1634,51.85137,4.13536,10975,306,358,-1216
720.0,485874,E75L,KLM1634,51.87904,4.13821,10575,311,11,-1280
740.0,485874,E75L,KLM1634,51.90723,4.14954,10175,300,14,-1088
760.0,485874,E75L,KLM1634,51.93302,4.16021,9850,288,14,-1024
780.0,485874,E75L,KLM1634,51.95909,4.17096,9500,284,14,-1024
800.0,485874,E75L,KLM1634,51.98409,4.18116,9175,284,14,-1024
820.0,485874,E75L,KLM1634,52.00983,4.19189,8825,284,14,-1024
840.0,485874,E75L,KLM1634,52.03482,4.20235,8500,283,14,-1024
860.0,485874,E75L,KLM1634,52.06064,4.2128,8175,283,13,-1024
880.0,485874,E75L,KLM1634,52.08586,4.22267,7875,281,13,-896
900.0,485874,E75L,KLM1634,52.11113,4.23233,7575,281,13,-896
920.0,485874,E75L,KLM1634,52.13646,4.24214,7275,281,13,-896
940.0,485874,E75L,KLM1634,52.16178,4.2521,6975,282,13,-896
960.0,485874,E75L,KLM1634,52.18715,4.26207,6700,282,13,-896
980.0,485874,E75L,KLM1634,52.21252,4.27219,6375,283,13,-1024
1000.0,485874,E75L,KLM1634,52.23794,4.28216,6050,281,13,-1024
1020.0,485874,E75L,KLM1634,52.26288,4.29337,5700,282,20,-1024
1040.0,485874,E75L,KLM1634,52.2878,4.30986,5375,283,22,-1024
1060.0,485874,E75L,KLM1634,52.31149,4.32602,5050,284,22,-1024
