time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,485209,B738,TRA43T,51.97137,6.83624,24950,340,305,-1024
20.0,485209,B738,TRA43T,51.98628,6.80187,24675,336,304,-960
40.0,485209,B738,TRA43T,52.00562,6.75728,24325,334,305,-1024
60.0,485209,B738,TRA43T,52.02383,6.71532,23975,333,305,-1024
80.0,485209,B738,TRA43T,52.03688,6.68541,23725,332,305,-1024
160.0,485209,B738,TRA43T,52.1158,6.50322,22200,323,305,-1024
180.0,485209,B738,TRA43T,52.12645,6.47856,22000,321,304,-1024
200.0,485209,B738,TRA43T,52.14107,6.44447,21700,320,304,-1024
220.0,485209,B738,TRA43T,52.15833,6.40411,21350,318,304,-1024
240.0,485209,B738,TRA43T,52.17468,6.36603,21025,316,304,-1024
260.0,485209,B738,TRA43T,52.19234,6.32492,20675,317,304,-960
280.0,485209,B738,TRA43T,52.20992,6.28387,20325,317,304,-960
300.0,485209,B738,TRA43T,52.22668,6.24463,20000,315,304,-1024
320.0,485209,B738,TRA43T,52.24157,6.20971,19700,312,304,-1024
340.0,485209,B738,TRA43T,52.25789,6.17134,19350,312,304,-1024
360.0,485209,B738,TRA43T,52.27407,6.1332,19025,309,304,-960
380.0,485209,B738,TRA43T,52.29022,6.09529,18700,306,304,-960
400.0,485209,B738,TRA43T,52.30724,6.05522,18350,304,304,-1024
420.0,485209,B738,TRA43T,52.32216,6.01982,18050,304,304,-960
440.0,485209,B738,TRA43T,52.33882,5.98049,17700,303,304,-960
460.0,485209,B738,TRA43T,52.35688,5.93803,17325,301,304,-960
480.0,485209,B738,TRA43T,52.37034,5.90609,17050,302,304,-1024
500.0,485209,B738,TRA43T,52.38803,5.86372,16650,302,304,-1024
520.0,485209,B738,TRA43T,52.40195,5.83037,16350,298,304,-1024
540.0,485209,B738,TRA43T,52.42457,5.77638,15875,299,304,-1024
560.0,485209,B738,TRA43T,52.43486,5.75195,15650,301,304,-1024
580.0,485209,B738,TRA43T,52.45441,5.70541,15250,302,304,-960
620.0,485209,B738,TRA43T,52.4902,5.61935,14475,287,304,-960
640.0,485209,B738,TRA43T,52.49975,5.59659,14275,282,304,-576
660.0,485209,B738,TRA43T,52.51318,5.56023,13950,283,296,-1216
680.0,485209,B738,TRA43T,52.52124,5.52948,13725,286,292,-832
700.0,485209,B738,TRA43T,52.53048,5.49285,13450,289,292,-896
720.0,485209,B738,TRA43T,52.54523,5.43343,13000,289,292,-896
740.0,485209,B738,TRA43T,52.55035,5.41267,12850,288,291,-896
760.0,485209,B738,TRA43T,52.56029,5.37201,12550,289,291,-896
780.0,485209,B738,TRA43T,52.57091,5.32875,12225,292,291,-896
800.0,485209,B738,TRA43T,52.58057,5.28929,11950,290,291,-896
820.0,485209,B738,TRA43T,52.59032,5.24933,11650,289,291,-896
840.0,485209,B738,TRA43T,52.60035,5.20838,11350,288,291,-896
860.0,485209,B738,TRA43T,52.61055,5.16742,11050,288,292,-896
880.0,485209,B738,TRA43T,52.62055,5.12685,10725,285,291,-896
900.0,485209,B738,TRA43T,52.6301,5.08804,10425,275,291,-832
920.0,485209,B738,TRA43T,52.63973,5.04877,10150,270,291,-832
940.0,485209,B738,TRA43T,52.64858,5.01188,9875,264,291,-832
960.0,485209,B738,TRA43T,52.65747,4.97484,9625,261,291,-768
980.0,485209,B738,TRA43T,52.66635,4.93843,9350,260,291,-832
1000.0,485209,B738,TRA43T,52.67535,4.90179,9075,258,291,-832
1020.0,485209,B738,TRA43T,52.68396,4.86498,8825,257,288,-768
1040.0,485209,B738,TRA43T,52.688,4.82704,8550,261,272,-832
1060.0,485209,B738,TRA43T,52.68815,4.78659,8275,260,270,-832
1080.0,485209,B738,TRA43T,52.68824,4.74547,8000,260,269,-832
1100.0,485209,B738,TRA43T,52.68819,4.70856,7725,256,270,-768
1120.0,485209,B738,TRA43T,52.68823,4.67041,7475,248,270,-832
1140.0,485209,B738,TRA43T,52.68828,4.63272,7200,240,270,-768
1160.0,485209,B738,TRA43T,52.68824,4.5966,6950,232,269,-704
1180.0,485209,B738,TRA43T,52.68722,4.5627,6725,231,259,-704
1200.0,485209,B738,TRA43T,52.67702,4.53233,6500,237,227,-704
1220.0,485209,B738,TRA43T,52.6582,4.51508,6250,240,194,-704
1240.0,485209,B738,TRA43T,52.63489,4.51365,5975,241,179,-768
1260.0,485209,B738,TRA43T,52.61292,4.51389,5750,239,177,-704
1280.0,485209,B738,TRA43T,52.59329,4.52911,5475,236,136,-896
1300.0,485209,B738,TRA43T,52.58409,4.56207,5175,230,98,-896
