time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,485009,B738,TRA5748,50.91986,3.26126,24925,420,38,-960
20.0,485009,B738,TRA5748,50.94814,3.29723,24600,418,38,-1024
40.0,485009,B738,TRA5748,50.98178,3.33473,24225,408,32,-896
80.0,485009,B738,TRA5748,51.02973,3.37662,23675,387,27,-1088
100.0,485009,B738,TRA5748,51.06348,3.40523,23275,376,27,-1088
120.0,485009,B738,TRA5748,51.0976,3.43434,22875,366,27,-1088
140.0,485009,B738,TRA5748,51.14145,3.47023,22350,363,27,-1024
160.0,485009,B738,TRA5748,51.15486,3.48148,22200,363,27,-1024
200.0,485009,B738,TRA5748,51.20787,3.52654,21600,359,28,-1024
220.0,485009,B738,TRA5748,51.24131,3.55499,21225,354,27,-1024
240.0,485009,B738,TRA5748,51.26723,3.57712,20925,352,28,-960
260.0,485009,B738,TRA5748,51.29425,3.60018,20600,351,28,-1024
280.0,485009,B738,TRA5748,51.3241,3.62445,20250,349,27,-960
300.0,485009,B738,TRA5748,51.3561,3.65234,19900,349,28,-1024
320.0,485009,B738,TRA5748,51.38129,3.67432,19600,348,28,-1024
340.0,485009,B738,TRA5748,51.40897,3.69734,19275,346,28,-1024
360.0,485009,B738,TRA5748,51.43968,3.72385,18925,346,27,-1024
380.0,485009,B738,TRA5748,51.47058,3.74998,18400,342,27,-1600
400.0,485009,B738,TRA5748,51.49418,3.76991,17950,339,27,-1600
420.0,485009,B738,TRA5748,51.52253,3.78693,17475,323,10,-448
440.0,485009,B738,TRA5748,51.54991,3.78887,17075,308,1,-1280
460.0,485009,B738,TRA5748,51.58309,3.79028,16575,303,1,-1344
480.0,485009,B738,TRA5748,51.60781,3.7912,16200,299,1,-1280
500.0,485009,B738,TRA5748,51.63327,3.79196,15800,296,0,-1280
520.0,485009,B738,TRA5748,51.66069,3.79281,15375,292,0,-1280
540.0,485009,B738,TRA5748,51.68756,3.79333,14975,289,0,-1216
560.0,485009,B738,TRA5748,51.71411,3.79348,14550,287,0,-1472
580.0,485009,B738,TRA5748,51.74183,3.80608,14200,304,31,-1536
600.0,485009,B738,TRA5748,51.75999,3.83636,13900,319,52,-1280
620.0,485009,B738,TRA5748,51.77847,3.87337,13400,316,50,-1472
640.0,485009,B738,TRA5748,51.79723,3.90968,12925,315,49,-1472
660.0,485009,B738,TRA5748,51.81601,3.94736,12425,313,49,-1472
680.0,485009,B738,TRA5748,51.83487,3.98314,11925,312,49,-1536
700.0,485009,B738,TRA5748,51.85323,4.01695,11450,310,49,-1472
720.0,485009,B738,TRA5748,51.8719,4.05396,10950,308,49,-1408
740.0,485009,B738,TRA5748,51.89172,4.08684,10475,300,36,-768
760.0,485009,B738,TRA5748,51.91621,4.10461,10150,287,20,-960
780.0,485009,B738,TRA5748,51.94066,4.11877,9825,288,20,-960
800.0,485009,B738,TRA5748,51.9657,4.13368,9525,287,20,-960
820.0,485009,B738,TRA5748,51.99092,4.14925,9175,287,20,-1024
840.0,485009,B738,TRA5748,52.01541,4.16382,8950,276,20,-576
860.0,485009,B738,TRA5748,52.03865,4.17732,8700,268,20,-1024
880.0,485009,B738,TRA5748,52.06174,4.19121,8325,263,20,-1088
900.0,485009,B738,TRA5748,52.08427,4.20502,7975,260,20,-1088
920.0,485009,B738,TRA5748,52.10685,4.21891,7625,260,20,-1024
940.0,485009,B738,TRA5748,52.12958,4.23355,7275,259,20,-1024
960.0,485009,B738,TRA5748,52.15215,4.24736,6950,260,20,-960
980.0,485009,B738,TRA5748,52.17444,4.26003,6625,259,19,-960
1000.0,485009,B738,TRA5748,52.19733,4.27376,6300,259,19,-1024
1020.0,485009,B738,TRA5748,52.21974,4.28608,5975,258,19,-960
1040.0,485009,B738,TRA5748,52.24315,4.29962,5625,259,18,-1024
1060.0,485009,B738,TRA5748,52.26544,4.31198,5300,258,18,-960
