time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484415,B772,KLM642,52.71119,2.54859,24975,350,103,-1600
20.0,484415,B772,KLM642,52.70705,2.57669,24675,348,103,-1536
40.0,484415,B772,KLM642,52.69965,2.62667,24175,344,103,-1600
60.0,484415,B772,KLM642,52.69212,2.67715,23650,340,103,-1536
80.0,484415,B772,KLM642,52.68471,2.72697,23150,337,103,-1600
100.0,484415,B772,KLM642,52.67679,2.77954,22600,334,103,-1536
120.0,484415,B772,KLM642,52.66974,2.82639,22100,331,103,-1536
140.0,484415,B772,KLM642,52.6626,2.87437,21600,328,103,-1536
160.0,484415,B772,KLM642,52.65524,2.92346,21075,326,103,-1536
180.0,484415,B772,KLM642,52.64793,2.9718,20575,324,103,-1536
200.0,484415,B772,KLM642,52.64085,3.01834,20075,322,103,-1536
220.0,484415,B772,KLM642,52.63362,3.0661,19550,319,104,-1536
240.0,484415,B772,KLM642,52.62643,3.11272,19075,317,104,-1472
260.0,484415,B772,KLM642,52.61911,3.1603,18550,315,104,-1472
280.0,484415,B772,KLM642,52.61204,3.20644,18050,315,104,-1536
300.0,484415,B772,KLM642,52.60501,3.25235,17550,316,104,-1536
320.0,484415,B772,KLM642,52.59779,3.29927,17050,316,104,-1536
340.0,484415,B772,KLM642,52.59032,3.34732,16525,316,104,-1536
360.0,484415,B772,KLM642,52.58345,3.3914,16050,314,104,-1536
380.0,484415,B772,KLM642,52.57624,3.43747,15525,312,104,-1536
400.0,484415,B772,KLM642,52.56898,3.48351,15025,310,104,-1536
420.0,484415,B772,KLM642,52.56189,3.52913,14500,307,104,-1536
440.0,484415,B772,KLM642,52.5547,3.57475,14000,305,104,-1536
460.0,484415,B772,KLM642,52.54765,3.61938,13475,303,104,-1536
480.0,484415,B772,KLM642,52.54076,3.663,13000,302,104,-1536
500.0,484415,B772,KLM642,52.53374,3.7072,12475,300,104,-1536
520.0,484415,B772,KLM642,52.52671,3.75199,11975,299,104,-1536
540.0,484415,B772,KLM642,52.51982,3.79483,11475,298,105,-1472
560.0,484415,B772,KLM642,52.51255,3.8398,10950,297,104,-1472
580.0,484415,B772,KLM642,52.50586,3.88214,10475,296,104,-1472
600.0,484415,B772,KLM642,52.49899,3.92525,10100,290,104,-576
620.0,484415,B772,KLM642,52.49184,3.96638,9900,279,106,-1152
640.0,484415,B772,KLM642,52.48453,4.00687,9525,275,106,-1024
660.0,484415,B772,KLM642,52.47736,4.04697,9175,270,106,-1024
680.0,484415,B772,KLM642,52.47042,4.08644,8850,266,105,-960
700.0,484415,B772,KLM642,52.46405,4.12356,8525,261,105,-960
720.0,484415,B772,KLM642,52.45753,4.16193,8200,256,105,-960
740.0,484415,B772,KLM642,52.45065,4.19846,7875,251,107,-960
760.0,484415,B772,KLM642,52.44361,4.23476,7550,247,107,-1728
780.0,484415,B772,KLM642,52.43678,4.27025,7000,252,107,-1344
800.0,484415,B772,KLM642,52.42973,4.30702,6500,255,107,-1600
820.0,484415,B772,KLM642,52.42336,4.34478,6000,261,97,-1536
840.0,484415,B772,KLM642,52.42848,4.38394,5550,271,62,-1216
860.0,484415,B772,KLM642,52.44151,4.41917,5175,271,58,-1088
